,Local (|)
0,5.8222964377459325
1,4.819326498361296
2,4.5443592813231835
3,4.759088029331452
4,5.006201363523911
5,5.253414286079161
6,5.521514911612792
7,5.71896652071285
8,5.847602249569008
9,5.927640267584799
10,6.023956492475951
11,6.187038571839664
12,6.3369261796318685
13,6.413343440596889
14,6.50329620236081
15,6.575176823635135
16,6.66265910105422
17,6.721405017707193
18,6.788990110188942
19,6.873912841920992
20,6.963327165098615
21,7.023167296217014
22,7.045670230983675
23,7.116055890586745
24,7.117287090300701
25,7.160737231176864
26,7.203479299906354
27,7.239714340025042
28,7.251393772727844
29,7.289638030532661
30,7.310817654310082
31,7.342784545021704
32,7.3483221549815525
33,7.361796507062056
34,7.376316669321073
35,7.397782246114438
36,7.414464241026042
37,7.409268158280299
38,7.426832272866395
39,7.434071154422724
40,7.470301636562532
41,7.467844525284468
42,7.4749926040163075
43,7.484464916722387
44,7.504589369530095
45,7.4848092147251855
46,7.511931701810161
47,7.5047652057682095
48,7.533502053242829
49,7.5327648596912935
50,7.540438653696336
51,7.529387618849535
52,7.555040908467093
53,7.54808719921276
54,7.558641543559573
55,7.557866292334966
56,7.547795705095273
57,7.57396270979314
58,7.586512394427278
59,7.581734848053426
60,7.5704420057899755
61,7.575181750622122
62,7.583639448345069
63,7.61532295535771
64,7.5991987156881295
65,7.617071972942423
66,7.60238623261789
67,7.621562497689058
68,7.620281085513255
69,7.609492036781659
70,7.612505695169998
71,7.6318141383671785
72,7.638262855460848
73,7.640268398706077
74,7.635267297664877
75,7.626515905567348
76,7.641198672723481
77,7.639415591914359
78,7.6510494191010086
79,7.631531165719837
80,7.647915842150659
81,7.672014145289228
82,7.658444540979876
83,7.662077659982469
84,7.649440091175104
85,7.657152367268199
86,7.659816817749774
87,7.66133786243445
88,7.670503411344865
89,7.661933630922163
90,7.674147884411609
91,7.689914446089676
92,7.681047118476361
93,7.666275118244105
94,7.680009497198381
95,7.679948829648228
96,7.686016712220664
97,7.688045308735062
98,7.6852234178691115
99,7.697068518146558
