,Local (|)
0,7.8596066490763326
1,7.6825889179327085
2,7.54156064847655
3,7.392731752329658
4,7.39730406040248
5,7.332024012806261
6,7.216241197939163
7,7.124622610607529
8,7.043180653808925
9,6.862146415502671
10,7.026200936218867
11,6.97829863703519
12,6.896069317144972
13,6.896053690629038
14,6.874708017673107
15,6.845337835385574
16,6.860282666050741
17,6.78679144429904
18,6.730354117193247
19,6.660315299837453
20,6.805867125766454
21,6.756913482089413
22,6.684513493135775
23,6.70030933984215
24,6.627364151248808
25,6.679607476967405
26,6.53949364693534
27,6.538205450553076
28,6.522148244469291
29,6.469847321766419
30,6.542576188325336
31,6.537553707249113
32,6.454346840367956
33,6.539481118964469
34,6.437993802025165
35,6.427196687657809
36,6.38089450901375
37,6.317540922102303
38,6.414870653001646
39,6.369309139847288
40,6.276455983123316
41,6.2925707877704635
42,6.26583091159864
43,6.265607094443777
44,6.339318879604162
45,6.2443952607132225
46,6.270977643508501
47,6.188213388564942
48,6.295010754015657
49,6.209684788302509
50,6.207840112250273
51,6.21111402106709
52,6.194192475306431
53,6.193195134745378
54,6.237345749707244
55,6.272715240781493
56,6.132822310312539
57,6.1198237519516185
58,6.079025400192776
59,6.141476441000087
60,6.094761573651142
61,6.089337283410154
62,6.163478706639468
63,5.973568934609936
64,5.994711899804152
65,6.118586597707373
66,6.0620107094205435
67,5.995626388487678
68,5.947814714420612
69,5.96611232599006
70,6.01598905354642
71,5.842712357543422
72,5.887043986020135
73,5.893932570356292
74,5.864173918926721
75,5.937108949758719
76,5.917764519454094
77,5.902961354919835
78,5.964317582878466
79,5.817810113645008
80,5.889495987211721
81,5.885604189339482
82,5.7673698816090555
83,5.799513728337363
84,5.8463777903657945
85,5.852141772315216
86,5.804032358222179
87,5.71995634359987
88,5.758401295642257
89,5.736490153733956
90,5.715417611229638
91,5.791979928208431
92,5.7566004482299595
93,5.818280181372287
94,5.765476014577273
95,5.632121591772784
96,5.706002225393881
97,5.738891976752735
98,5.524049894340203
99,5.615384991684827
100,5.788362239208515
101,5.702630712459633
102,5.659254989801006
103,5.639640745025661
104,5.645220879189058
105,5.595853295691708
106,5.6426673571824155
107,5.641596310939024
108,5.578098188800102
109,5.640284906247329
110,5.469105167870885
111,5.5709412518270165
112,5.6151527900372615
113,5.548200649771259
114,5.488969128313238
115,5.466291384381
116,5.563111911918765
117,5.59883397518902
118,5.567609010534599
119,5.500221606437394
120,5.486993948272432
121,5.49853889604648
122,5.443233207782106
123,5.452023546680567
124,5.496592414686848
125,5.43449307648564
126,5.39329984685001
127,5.381980331704663
128,5.410280578356175
129,5.444987808662724
130,5.484098591367458
131,5.438394379994769
132,5.430927097139817
133,5.42495783707699
134,5.358896915106559
135,5.4457775041914855
136,5.314697509093286
137,5.476805829750169
138,5.348755561158196
139,5.438906540109689
140,5.3634891787161365
141,5.2825345130130925
142,5.420003493469512
143,5.340676614483155
144,5.371554495753785
145,5.294500129181574
146,5.274799460836545
147,5.243997194751718
148,5.385501045056472
149,5.239393719029796
150,5.326026807884978
151,5.2873933742726855
152,5.304670103916771
153,5.236057734138189
154,5.286609023114243
155,5.293674805065354
156,5.326530655535655
157,5.370718615314321
158,5.213795623266049
159,5.170780443117711
160,5.282716153596125
161,5.400575707658762
162,5.347035381070567
163,5.288571969379529
164,5.179833676486127
165,5.12766543100483
166,5.216543695642135
167,5.16956982783908
168,5.234985229782707
169,5.162971249621181
170,5.202554891373603
171,5.216852726750813
172,5.167046022692013
173,5.304692148743475
174,5.191610996686622
175,5.219466822981553
176,5.148364221555831
177,5.182834789246647
178,5.113681943677575
179,5.098499108120101
180,5.144131102580273
181,5.11447165091404
182,5.056340305169856
183,5.127594987149274
184,5.105667972793065
185,5.113066570613417
186,5.02128653959616
187,5.071697771936922
188,5.1318557635862705
189,4.992811362504961
190,5.215771765154353
191,5.230355701930967
192,5.01907431398912
193,5.088726176413266
194,5.151824523167545
195,5.053119598151924
196,5.087629267037939
197,5.044222418498011
198,4.985395652316277
199,5.125296944747008
200,4.973841573213252
201,5.127171712922731
202,5.0473491556758034
203,5.071326485144251
204,5.045110871992811
205,5.096037971762685
206,4.89755314970391
207,5.0074247333096755
208,5.147019129436936
209,5.163262854627445
210,5.11052866508541
211,5.028784265858264
212,5.026836460117574
213,4.9826889764398805
214,5.042729184832282
215,5.014075502838644
216,4.97531269907216
217,4.987895853705978
218,5.004326990398445
219,5.075625102933089
220,5.046960584414115
221,4.933371605474177
222,4.922948336257076
223,4.8781348992150635
224,5.037331820059236
225,4.9638188277883035
226,5.07389113859603
227,5.037496321708217
228,4.919812981836522
229,5.000716429492176
230,4.952508693191973
231,5.013559076025129
232,5.060927597858042
233,5.020114439873192
234,4.896556916558479
235,5.0572913241889115
236,4.840620148955352
237,5.0035953037652625
238,4.9354246271629165
239,4.887339366205858
240,4.935703238383777
241,4.9246354365768035
242,4.93026984443503
243,4.916174773193507
244,5.098708512913877
245,4.760741921384143
246,4.926815680696623
247,5.032085043939597
248,5.180840961909004
249,4.883437352721667
250,4.792647200521642
251,4.90197801777889
252,4.792465883229925
253,4.876794953758912
254,5.029170479758443
255,4.837255306704027
256,4.882768423366568
257,4.871215310413564
258,4.806824557229532
259,4.837556383552426
260,4.894649168828918
261,4.928738872636916
262,4.8403967347686905
263,4.757847607961213
264,4.9188647656217235
265,4.9676903943832285
266,4.831081048071366
267,4.727554762233262
268,4.87010526357589
269,4.7338525306203
270,4.855747367468188
271,4.951631768478242
272,4.811867243575487
273,4.817077614641156
274,4.9478801291506045
275,4.8489852865286025
276,4.886134013568213
277,4.799504633013308
278,5.03833325794176
279,4.832661376189618
280,4.893925296837204
281,4.703180761396197
282,4.895087076230211
283,4.856299969654138
284,4.768498166029671
285,4.778138709950527
286,4.8853219350753
287,4.791533519658951
288,4.868526368670514
289,4.983114595328155
290,4.899907101755157
291,4.936683157650572
292,4.910534743939559
293,4.844404697769078
294,4.89417788266012
295,4.706154318884875
296,4.8842036973808085
297,4.7780135191656505
298,4.856418361031253
299,4.916881906670174
300,4.756953845005989
301,4.865040258485048
302,4.873172716736639
303,4.70345746778466
304,4.839415615098276
305,4.9814728884807415
306,4.790581526785459
307,4.828339340051483
308,4.811772773198991
309,4.999761507675187
310,4.756155807615907
311,4.8434486441374
312,4.756967630431462
313,4.809421279007056
314,4.723361353260685
315,4.601069828876683
316,4.747022703059528
317,4.675283615832211
318,4.7938089785339155
319,4.648518175910379
320,4.775191084197206
321,4.889622569808258
322,4.763259360105445
323,4.71275438243092
324,4.697553959272581
325,4.75223269280673
326,4.7416610283559395
327,4.676272868939697
328,4.556514322588149
329,4.649613214916185
330,4.684403688311072
331,4.749762482640975
332,4.814561934453193
333,4.666261915900773
334,4.8556382426549085
335,4.6910940567607895
336,4.629368671865074
337,4.595719756895257
338,4.666765113108656
339,4.740191541921942
340,4.598279310292361
341,4.6028186031383855
342,4.63794134702055
343,4.8868147607790515
344,4.781330095432297
345,4.761843587836766
346,4.695715821888985
347,4.689401109777991
348,4.780462580767324
349,4.576568285186886
350,4.713006770107979
351,4.65035412464895
352,4.644259622723618
353,4.742549608618123
354,4.8294265325767025
355,4.818845097653454
356,4.545647988686533
357,4.750825542638075
358,4.6435751862793735
359,4.715894854908325
360,4.8021773062167235
361,4.706735977382971
362,4.6200834811296625
363,4.54358258497111
364,4.753002083380933
365,4.682563078479731
366,4.601384549137716
367,4.6675373778230735
368,4.79225461758389
369,4.844305839149239
370,4.65717751083496
371,4.695239515296352
372,4.677984264538283
373,4.618522715911233
374,4.506968529191574
375,4.506333629815591
376,4.589526720503969
377,4.704342864577661
378,4.677345332610503
379,4.683335615104483
380,4.813139993895805
381,4.769126659206522
382,4.742136371948847
383,4.81357424779827
384,4.606371321231278
385,4.892126075027557
386,4.482106078303842
387,4.572010012344753
388,4.641357188125539
389,4.654487091700798
390,4.6897746053740486
391,4.696272076394567
392,4.593243231546333
393,4.670188214670495
394,4.627748552878307
395,4.542047703993193
396,4.715755742440617
397,4.688625328637036
398,4.501517484477396
399,4.807237738601077
400,4.512561361790893
401,4.757126028455679
402,4.629331793030241
403,4.610203552911428
404,4.748340009506541
405,4.6034260740891275
406,4.655224956965765
407,4.774735302685316
408,4.5988576056474475
409,4.444486942257947
410,4.508182728861808
411,4.579366569456173
412,4.6962993368853825
413,4.478082217435515
414,4.931149138794987
415,4.646365992539322
416,4.620601982906827
417,4.814580927014977
418,4.629653797278566
419,4.660198881025292
420,4.61237215576705
421,4.715808467292713
422,4.784323066546883
423,4.681226673776942
424,4.696141924161567
425,4.636371781020353
426,4.612460059094529
427,4.841673989904122
428,4.701256663429106
429,4.503659587742236
430,4.653513539992284
431,4.7214873406918505
432,4.6239481417034005
433,4.444630226423772
434,4.643477022108053
435,4.660103564112281
436,4.594925129727081
437,4.836468994238584
438,4.574546560019272
439,4.701833747292734
440,4.514832881532595
441,4.632515423185258
442,4.637981024391262
443,4.460111702542259
444,4.589943106399758
445,4.687944014691751
446,4.558935238806953
447,4.540500631606373
448,4.815235014813148
449,4.652132413162699
450,4.822317494315548
451,4.680948066437607
452,4.631602412216716
453,4.513345936905285
454,4.535399504273574
455,4.671981732893418
456,4.560087988453083
457,4.477844733993905
458,4.3656350805193025
459,4.7023326918823
460,4.6382115752648145
461,4.669199900028655
462,4.50262537636443
463,4.487778220532736
464,4.716595699522501
465,4.85961774521055
466,4.401060471837612
467,4.6653651373037155
468,4.721478086061605
469,4.379519150089284
470,4.599459914561696
471,4.600657614886396
472,4.424932153521871
473,4.518285994519779
474,4.4200950249258
475,4.702119691626375
476,4.494132896756538
477,4.616152441114614
478,4.528922328562294
479,4.372861229178037
480,4.509950858400552
481,4.467134241582712
482,4.555897507757222
483,4.603878292619616
484,4.484444426439541
485,4.482709744225648
486,4.379372032464436
487,4.589468897385307
488,4.44515993193174
489,4.56934922167019
490,4.461660185241231
491,4.4218138217622185
492,4.370401068137212
493,4.528822839253389
494,4.700745404572773
495,4.47302908403643
496,4.471807749419093
497,4.267670403158387
498,4.539298024514252
499,4.420553781392028
500,4.4145353689458116
501,4.4555724607200204
502,4.3014720257770405
503,4.471209027271069
504,4.415335466374727
505,4.415877686574429
506,4.738415670934209
507,4.402472768683483
508,4.564218380594684
509,4.336645414354856
510,4.372350126226305
511,4.413331309562836
512,4.278764928143308
513,4.5575040437736645
514,4.592175213697087
515,4.61711115757157
516,4.344930161189149
517,4.632225673864169
518,4.305522991644976
519,4.6688855927690645
520,4.4251824823598795
521,4.5241063358686215
522,4.597544533762025
523,4.490392088552961
524,4.340424475387898
525,4.17492473101161
526,4.442821021045524
527,4.47072536826014
528,4.2849859000285395
529,4.574093074239687
530,4.416328294594304
531,4.703120870169973
532,4.579200036917921
533,4.625285412792308
534,4.533794462606492
535,4.473274261598329
536,4.470709656545893
537,4.523865669074636
538,4.431869602147511
539,4.614157309866079
540,4.444147657724353
541,4.541882351576905
542,4.562775326504429
543,4.503451341969611
544,4.567914235520629
545,4.512771795204531
546,4.457869039561247
547,4.513373278886131
548,4.495808834033034
549,4.4355630577374905
550,4.305871612642357
551,4.3320038802836
552,4.524484281395543
553,4.3672337449575345
554,4.468294900039626
555,4.559872329975986
556,4.387382452261718
557,4.523090144424188
558,4.497889497176369
559,4.4504678210167805
560,4.55145531901828
561,4.411961549434122
562,4.642122306327799
563,4.373376382245703
564,4.353679128455174
565,4.357376537820486
566,4.5825180326205945
567,4.457818024655187
568,4.686963637583079
569,4.44425060764339
570,4.333529045638677
571,4.305262007146776
572,4.377390271936201
573,4.47750055716552
574,4.797776528005242
575,4.4605651603719325
576,4.457344070828126
577,4.518634376802208
578,4.415406770541643
579,4.460839494442226
580,4.387928850905689
581,4.815360758628441
582,4.6300530289993835
583,4.264592124391714
584,4.581321135119206
585,4.746249034490176
586,4.556509387509496
587,4.534858653720268
588,4.7616573854962905
589,4.422715423593873
590,4.298190129995485
591,4.66121400290972
592,4.500921754636784
593,4.772349336482981
594,4.750058623516398
595,4.698348628832971
596,4.534348305074377
597,4.685318782575051
598,4.491988008085095
599,4.611725367156433
600,4.462318161643146
601,4.575548745193265
602,4.770026900135802
603,4.400943249122957
604,4.61905048008647
605,4.811347276428745
606,4.3899684056523025
607,4.580043926487432
608,4.487629982047623
609,4.314727304055901
610,4.80849551993789
611,4.775128990590719
612,4.696691012549913
613,4.7673374673971
614,4.54472115072673
615,4.6899321005377566
616,4.514248331463499
617,4.494009326359527
618,4.428757751375026
619,4.5649562439226425
620,4.658106310670469
621,4.596117800369269
622,4.558971363191351
623,4.531534832726026
624,4.827561136406981
625,4.654919525150342
626,4.483649062088946
627,4.53829009853003
628,4.445871423105272
629,4.692380411959855
630,4.666795847254166
631,4.805819441280173
632,4.8533642385308315
633,4.742941545601256
634,4.571570006899927
635,4.738322009806601
636,4.500434888333132
637,4.5841964437930605
638,4.6708223793145836
639,4.744963112660161
640,4.782029600346946
641,4.625016324326086
642,4.8415342959787
643,4.8564790949273196
644,4.797359735180365
645,4.554480643734549
646,4.684738292658418
647,4.634162671057065
648,4.4408150463378036
649,4.573909987767277
650,4.845609997841808
651,4.779248280562414
652,4.911105214536675
653,4.770055979684861
654,4.518817000782862
655,4.683649477698167
656,4.838616839091526
657,4.669992089305402
658,4.722688814821565
659,4.8298809666888625
660,4.725207593881828
661,4.7205591268991896
662,4.946628887588377
663,4.579624448098575
664,4.6501072024192895
665,4.625980239334436
666,4.666360886322124
667,4.661409548657562
668,4.688696769138871
669,4.5921959485184605
670,4.570787300474823
671,4.715819528926399
672,4.433891511545529
673,4.636250705492994
674,4.730865453839444
675,4.5335017173517675
676,4.892193277891377
677,4.778533001506221
678,4.749144997581621
679,4.747997545324977
680,4.751057736356869
681,4.934642881223179
682,4.722894115504865
683,4.6552013284452425
684,4.493448845383301
685,4.771916675278082
686,4.735556215810071
687,4.921684390607243
688,4.445049248049425
689,4.758032422540705
690,4.870767743289065
691,4.743001153515757
692,4.690224345000598
693,4.56952647298797
694,4.731814658138243
695,4.508954333468074
696,4.5906589915118525
697,4.687388831704042
698,4.644651918147722
699,5.098270841060221
700,4.932741945967452
701,4.623457137306309
702,5.226846217668776
703,4.710373548309345
704,4.617945354172144
705,4.96433576714496
706,4.825257743246341
707,4.490405107215322
708,4.608892197795989
709,4.783641782118208
710,4.883039225899648
711,4.662697583534268
712,4.721708616491326
713,4.739960534142979
714,4.529611019088602
715,4.95538982326729
716,4.927413941799256
717,4.515302014104989
718,4.827106042747109
719,5.018900552581144
720,4.90929200342808
721,4.5618504589649795
722,5.009206193421578
723,4.822157740124818
724,4.761140784627769
725,4.769109043368175
726,4.676006873411052
727,4.89627809800873
728,4.927600431473119
729,4.703288025733393
730,4.868184785125785
731,4.983201865869286
732,4.6858948419033855
733,4.7510445813305155
734,4.640903501558806
735,5.004534358613394
736,5.088881502875297
737,4.470770957824568
738,4.927214366744312
739,4.784103660058602
740,4.902915362978419
741,4.911008226846004
742,4.845396413380669
743,4.650846124646235
744,4.75344983814355
745,4.617344837177209
746,4.915739452003316
747,4.737069617277405
748,5.0634798468351505
749,4.68609949313188
750,4.81837084564099
751,4.911784205336388
752,5.068941305037268
753,4.839599524178175
754,5.286963114858689
755,4.869550672836243
756,4.928729776192224
757,4.807724916212832
758,4.762421999675606
759,4.886521307486131
760,4.565962570850322
761,4.915957782395487
762,4.909091344033432
763,4.912995323542326
764,4.815361398734437
765,4.657758370709748
766,5.005690505457862
767,5.232037444931257
768,4.598843709222725
769,4.7746610969791545
770,4.992793522016068
771,4.7261361107521935
772,4.747962903228454
773,5.102993640107716
774,4.717777563481031
775,5.154415947042443
776,5.094761985730846
777,4.920185926205729
778,4.817188832076369
779,4.826551017017348
780,4.808966530838458
781,5.088575728649959
782,4.967321824554308
783,5.018186589673809
784,4.971356727568712
785,5.124423244466028
786,4.716538013602486
787,4.907481209664135
788,4.683969190635286
789,4.8174005143903855
790,4.859096800937277
791,4.8851068998990606
792,5.051404456642205
793,4.895799913385162
794,4.7600331559148295
795,5.101839585355889
796,5.09008313821107
797,4.960877789012561
798,4.974620442245087
799,4.682546611655466
800,4.6383743785090505
801,4.7314795331284385
802,5.146457238284411
803,5.032920671835184
804,5.169985634378937
805,4.849825999406995
806,4.969086336272789
807,4.9349838526732865
808,4.755227338110733
809,4.945989870943086
810,4.99430377945816
811,4.810030216572059
812,4.774585481587602
813,4.856296223276985
814,4.932041652369556
815,5.01853299798361
816,5.099529292740589
817,4.919561609783071
818,4.960215341029557
819,4.963981412185496
820,5.066140613671424
821,5.026443584541589
822,4.812169597821852
823,4.782293722361081
824,5.1653170926881975
825,4.816583476562502
826,5.048072137683312
827,4.964984965291513
828,4.718932443326451
829,4.902788001707021
830,5.100820510842429
831,4.9744178497954845
832,4.781700923882078
833,5.158693050041241
834,5.225581655012695
835,5.1705039840867695
836,5.13744754945827
837,4.891829210710415
838,4.904181989773329
839,4.746150544375126
840,5.184627403407349
841,4.72088213261278
842,4.825240698154469
843,4.805403512580286
844,4.710346626150715
845,4.975304760828483
846,4.962311476327661
847,4.883434955603438
848,4.8636268798377085
849,4.668998106817097
850,4.870096030985581
851,4.931835953057471
852,4.884070454090496
853,4.812006630064888
854,4.793402838483263
855,5.153661167815324
856,5.173573339034674
857,5.09144948792996
858,5.1632322072065655
859,4.841319763953879
860,4.841172117975874
861,4.8907915165684015
862,4.735052356475386
863,4.7832312200700535
864,4.999807386262385
865,4.9495862824684025
866,4.767109666772738
867,5.005281648573654
868,5.116497274948056
869,5.175853298129836
870,4.898916622866384
871,4.871270879522978
872,5.162060955809631
873,4.9616664672909545
874,4.981679178270109
875,5.013495963894031
876,4.946420446357888
877,5.0067270735148535
878,4.827861289774698
879,5.298494282629959
880,4.909492267547996
881,4.929248050345955
882,4.6527571990593986
883,5.249024620337008
884,4.980769541721485
885,4.995316441819432
886,5.16478761410245
887,4.903409563702082
888,5.247552014341236
889,5.170010222107252
890,5.2551901938532755
891,5.027989641941525
892,5.178975420541537
893,5.13158882696827
894,4.766463416551481
895,5.135852491499973
896,5.10673809476057
897,4.844675215444053
898,4.985968414388108
899,5.05214557475764
900,4.944626522468822
901,5.017867216364564
902,5.228091484877818
903,5.263913900306374
904,4.956039344282801
905,4.932742035799097
906,5.170149830476528
907,5.057278076448516
908,5.180773847795373
909,4.909110498733334
910,5.09081054123624
911,4.952265472506672
912,5.1434932587094915
913,4.72460026411278
914,5.194616391741177
915,5.130443805333665
916,4.866264079987407
917,4.869071702056964
918,4.908639892203486
919,4.988277071875098
920,4.952706229459835
921,5.245932101032382
922,4.938736471446419
923,5.026179489706657
924,5.195775350549674
925,4.844134476534984
926,5.0479524082743055
927,5.1560522149147525
928,5.327127013189867
929,4.814262352998935
930,4.894379340130667
931,5.01683274842679
932,5.044574260692053
933,4.981161290161038
934,4.663073782375482
935,4.8853806905297406
936,5.094282187633199
937,5.072493506847278
938,5.165650980930813
939,4.997975971722015
940,4.897125017206741
941,4.942424756526667
942,5.1319509015885085
943,5.048488278224518
944,5.137839599620012
945,5.0290633817399275
946,4.909363102736117
947,5.097987878842877
948,4.968076079185561
949,5.134917405633556
950,4.813983033098852
951,4.94694347771315
952,5.290586181835868
953,5.117270167383061
954,4.886258752502867
955,5.063018899217295
956,5.25590917898612
957,4.9581562744526435
958,5.266745356950041
959,4.781564981403326
960,5.114032286402511
961,4.969497495309393
962,5.057207009164009
963,5.150482956502763
964,4.962068531629695
965,5.342455050080398
966,4.978725608011703
967,5.1047591340186695
968,5.320614171896034
969,5.177581298961938
970,5.002018750392267
971,5.163648723369928
972,5.125478470432127
973,5.406781473560741
974,5.028016151356491
975,5.082525999546098
976,4.921839657806037
977,5.045677709313272
978,4.804570635170738
979,5.13526130303696
980,5.015315136168797
981,5.271214863530263
982,5.150804133853966
983,4.964189254452527
984,5.120022601094472
985,4.909649135003393
986,4.949196369830335
987,5.171896720182348
988,4.690095106733012
989,5.0247093257494795
990,5.137797157715036
991,4.975715329433048
992,5.15775496917364
993,5.116238821932474
994,5.002285470786162
995,5.1806016811556885
996,5.1237466075418086
997,5.163763113587901
998,4.978811945112175
999,5.537594792991659
1000,5.328066051231788
1001,5.120341124211198
1002,5.189834404265411
1003,5.072460150424052
1004,4.919952602364456
1005,5.275392841592578
1006,5.3802094675756
1007,5.369959804975001
1008,4.842467487458557
1009,5.299079907003893
1010,5.144941474979138
1011,5.184605714588968
1012,5.290882074774874
1013,5.227236160954413
1014,5.46999134103091
1015,4.990003393446065
1016,5.135064478991597
1017,5.015743683986492
1018,5.261498057988905
1019,5.395220281431394
1020,5.318371200306435
1021,5.264622999047077
1022,5.30019239487203
1023,5.195455620217577
1024,4.857413129058135
1025,5.197739122642384
1026,5.296291279720581
1027,5.244261560190716
1028,5.061699136138708
1029,5.026212100713269
1030,5.452901585655314
1031,5.29632949603837
1032,5.081538086643901
1033,5.3750002776791215
1034,5.14043024633665
1035,5.304104750662093
1036,4.923744822387239
1037,4.950943707945561
1038,5.370139745743717
1039,5.497919116645868
1040,4.891548651892755
1041,5.126436199659867
1042,5.385985776371701
1043,5.094118836547861
1044,4.90665297090639
1045,5.418350175353886
1046,5.472359410452942
1047,5.135169748511263
1048,5.070570166805503
1049,4.90368611767896
1050,5.094005947909936
1051,5.233684198936951
1052,5.051326046540996
1053,4.875760801525718
1054,5.1484081000439454
1055,5.135559538146995
1056,5.327473140140737
1057,5.4566621441339995
1058,5.361898897314513
1059,5.234201645490199
1060,5.164137706466942
1061,5.238937278048351
1062,5.315284464224083
1063,5.27384454626347
1064,5.398832707118044
1065,4.907708703270888
1066,5.261610023593462
1067,5.097426035475153
1068,5.256039146743977
1069,5.280069945726073
1070,5.188058465420042
1071,5.049098099930297
1072,5.283314743179851
1073,4.8897158839196715
1074,5.335220475534031
1075,5.238338523746149
1076,5.31022046674684
1077,5.4134407088071
1078,5.585316354127453
1079,5.340766692164846
1080,5.283232147051294
1081,4.7984879201889195
1082,5.135341425138732
1083,5.1017939225446325
1084,5.15411598220084
1085,5.010752774930483
1086,5.417714628300025
1087,5.335917450095639
1088,5.252030985876352
1089,5.227568952664874
1090,5.404107513697682
1091,5.075739696265325
1092,5.107362220381788
1093,5.097216455703774
1094,5.083583311223685
1095,5.534783392317798
1096,5.1058853268518245
1097,5.156490021199798
1098,5.239285452827857
1099,5.298598885192035
1100,5.303635988389262
1101,5.344594337693249
1102,5.3918037826314045
1103,5.3714581791167335
1104,5.3876168804740745
1105,5.32413558254387
1106,5.163192768730557
1107,5.359753459789878
1108,5.3183394853533965
1109,5.286250834397064
1110,5.392674209943224
1111,4.953985656196507
1112,5.4942298993563785
1113,4.961122959123753
1114,5.352730234954005
1115,5.469266227708937
1116,5.487999571410982
1117,5.486460542786583
1118,5.431699578807137
1119,5.40507265037089
1120,5.222820147498475
1121,4.940325505765185
1122,5.146154967586515
1123,5.334889742858481
1124,5.198431457211146
1125,5.415413125014214
1126,5.124175433631983
1127,5.422066123371942
1128,5.357474897274365
1129,5.272974429077112
1130,5.081692957642896
1131,5.339963200427744
1132,5.225489730856602
1133,5.3040096483918
1134,5.445554408562558
1135,5.147294834776023
1136,5.074424709819262
1137,5.372334154919423
1138,4.970246054176181
1139,5.229010063704189
1140,5.2942482380506215
1141,5.26885463674558
1142,5.77081821548564
1143,5.250726764235411
1144,5.07927789225544
1145,5.218778914515132
1146,5.313794002619176
1147,5.256083174990648
1148,5.5528817953733345
1149,5.221613637175737
1150,5.595398269627704
1151,5.038752893463585
1152,5.471076924143566
1153,5.423473075081959
1154,5.073599318999256
1155,5.18669077103532
1156,5.242734959368997
1157,5.204875970529407
1158,5.09102569286111
1159,5.394221356710121
1160,5.362499473825326
1161,5.370867635615011
1162,5.316683258530732
1163,5.209782174889664
1164,5.398167014035414
1165,5.2706007475061565
1166,4.983662235386244
1167,5.575482593685491
1168,5.375730045846993
1169,5.472182567659281
1170,5.475173954959954
1171,5.639287559562167
1172,5.358708052530766
1173,5.552862795329621
1174,5.177594559423421
1175,5.333304680989255
1176,5.4937110941172556
1177,5.167817330590259
1178,5.292164907549045
1179,5.511757756882615
1180,5.4872218753798325
1181,5.822615216240449
1182,5.1832766763291325
1183,4.877351514349176
1184,5.333729545418756
1185,5.262127963361438
1186,5.3606669816003505
1187,5.510593366044821
1188,5.214309274315713
1189,5.237505734444255
1190,5.332032204689144
1191,5.304850365332353
1192,5.169992845651673
1193,5.309134606179606
1194,4.815170864240697
1195,5.126460310681838
1196,5.402947958843956
1197,5.497827247323588
1198,5.341718817612786
1199,5.456079651821206
1200,5.5821963870236555
1201,5.021864535525913
1202,5.529223213964967
1203,5.407365949172171
1204,5.330699951126864
1205,5.491953174890219
1206,5.487405164323532
1207,5.401323677493955
1208,5.578418647362423
1209,5.113074215419716
1210,5.490226119703754
1211,5.620620816814437
1212,5.544370233627905
1213,5.1300689878546955
1214,5.424789578609242
1215,5.3879593314383385
1216,5.635477580625662
1217,5.6091902767295885
1218,5.338340727607322
1219,5.281361918436676
1220,5.5510947018191015
1221,5.677219980486176
1222,5.092442588834973
1223,5.520345271282314
1224,5.42273197490107
1225,5.308383444214182
1226,5.480266240002462
1227,5.478814212449566
1228,5.687842716684451
1229,5.045432529704379
1230,5.417740869396448
1231,5.386276370637831
1232,5.218517718416099
1233,5.464489802339914
1234,5.524037063871687
1235,5.4769920695973475
1236,5.210828358300624
1237,5.267370479383721
1238,5.401875168876092
1239,5.629470769060345
1240,5.277739520989767
1241,5.578673266070755
1242,5.587451597175995
1243,5.519050704784479
1244,5.213774539728733
1245,5.661443611758039
1246,5.338379426941639
1247,5.396048822886983
1248,5.1986181720492
1249,5.332983753448447
1250,5.554066026794443
1251,5.588036773496023
1252,5.480204560671212
1253,5.6384306389974395
1254,5.443349191898256
1255,5.538364052113832
1256,5.537468864124527
1257,5.672341365511473
1258,5.697927306573363
1259,5.486078742680079
1260,5.861463347412546
1261,5.604675121250993
1262,5.494451628867241
1263,5.210110931762974
1264,5.517090505375726
1265,5.577426097729466
1266,5.863912711676191
1267,5.428741505747925
1268,5.358268292744006
1269,5.922304124649702
1270,5.468753363064966
1271,5.658035590722425
1272,5.705262157684946
1273,5.304160449535191
1274,5.426161034378505
1275,5.2500764117549865
1276,5.400678850308294
1277,5.536087510372877
1278,5.292111704352794
1279,5.542124817662501
1280,5.501615596177709
1281,5.450809868897022
1282,5.429036639053168
1283,5.571012589784959
1284,5.394227137467744
1285,5.474877005621675
1286,5.514285236636745
1287,5.346246065919125
1288,5.0995583770875115
1289,5.523014354014197
1290,5.806513507313502
1291,5.432580357334634
1292,5.28095405961395
1293,5.6866947904918925
1294,5.5513884457031955
1295,5.356422537413301
1296,5.267835669903464
1297,5.724959272091588
1298,5.589251996176762
1299,5.446304449416437
1300,5.540045470688762
1301,5.802433035135566
1302,5.6066323391637845
1303,5.82976667199392
1304,5.635795117194172
1305,5.727240910054247
1306,5.513101710695409
1307,5.428529596530241
1308,5.643977528726989
1309,5.762451287465999
1310,5.318700624597239
1311,5.616152367017711
1312,5.036768380905423
1313,5.762924300856451
1314,5.484449283774683
1315,5.374974168517792
