,Global (|)
0,5.454391340314961
1,3.669890179853056
2,3.0957510270898143
3,3.0013098485788277
4,2.991894533823504
5,2.9774160363094775
6,2.9720737239621453
7,2.9689192819622634
8,2.9646687283311626
9,2.966259620981354
10,2.9693745285470268
11,2.9639403164074913
12,2.978312093811179
13,2.9743080571055382
14,2.9765750201662615
15,2.956311512714178
16,2.96288432249865
17,2.960995344631519
18,2.9651110777288143
19,2.949870092427804
20,2.9438514257034747
21,2.94411133857858
22,2.9426812854922173
23,2.9289889774478586
24,2.925843845008136
25,2.931360936651215
26,2.9321595895305
27,2.9292406274227387
28,2.9334392820232504
29,2.942225775592657
30,2.943445363739575
31,2.9366868781437825
32,2.9394869425319423
33,2.9387776942378316
34,2.9304471587802214
35,2.943768079375032
36,2.9387935672699252
37,2.935026249583966
38,2.9316488293140237
39,2.930235760298564
40,2.94092114711825
41,2.937330179570259
42,2.92737642673923
43,2.925514659622707
44,2.9333305764629585
45,2.9230376938953784
46,2.9241133072888004
47,2.931451438536867
48,2.9306562012033135
49,2.9173330266589987
50,2.919290662544
51,2.922745439908399
52,2.9317348547209825
53,2.9241799543095977
54,2.9433817859163556
55,2.942551526017764
56,2.9306478751645835
57,2.9296467743366197
58,2.9256271395654414
59,2.9243215409350904
60,2.9468173597566594
61,2.9255397372905985
62,2.921677690446396
63,2.9284095047858143
64,2.9257350714961308
65,2.9223340980363908
66,2.914367070222768
67,2.9261569058381256
68,2.9213752406686546
69,2.9249262651778167
70,2.9401035886144795
71,2.9396957589948647
72,2.920459689561097
73,2.9235841495912416
74,2.91868594996743
75,2.9242759203460302
76,2.927823858363539
77,2.927874564048059
78,2.9174752828649524
79,2.9129027237088256
80,2.931120100782469
81,2.932078542007121
82,2.9357139837019885
83,2.9324649114014196
84,2.9269596004462444
85,2.93368003865282
86,2.92735586967024
87,2.929572650246615
88,2.9190010424867405
89,2.915812753757316
90,2.9198183473057253
91,2.928945243085318
92,2.9283907341965976
93,2.9278468657479486
94,2.9268024556881738
95,2.9391466137733677
96,2.9383262129568055
97,2.9302462287735334
98,2.9317063928605602
99,2.9290537010501057
