,Difference (|)
0,7.851610047936437
1,7.923234557396992
2,7.908413846279433
3,7.620904472480099
4,7.693054754127736
5,7.6045501246614435
6,7.616027316724843
7,7.498924931327002
8,7.398369575039183
9,7.333526054231045
10,7.2563940167849825
11,7.217833375375497
12,7.233677318433136
13,7.022531979049081
14,7.117292503297244
15,7.122360854031993
16,7.177753875516948
17,7.053053996480082
18,7.040357549988292
19,7.050356461445475
20,6.9262252206311095
21,6.8423264735919185
22,6.8419401920953336
23,6.709206630059275
24,6.9195757199934125
25,6.78546616652899
26,6.786206412122791
27,6.814599054841921
28,6.799622579596887
29,6.887182468188455
30,6.778763535027859
31,6.804287562529482
32,6.730455585483383
33,6.649583962835466
34,6.64509342403071
35,6.68389214721476
36,6.649394183093087
37,6.67696750125286
38,6.68550460049087
39,6.474951183433182
40,6.61723534868974
41,6.564955471281736
42,6.511851071404366
43,6.475760099592984
44,6.61595042226723
45,6.663314400782866
46,6.47218909332984
47,6.435591229262218
48,6.4675852705496
49,6.413388920077428
50,6.419126503722348
51,6.3997672552652904
52,6.29660161922284
53,6.334350224696213
54,6.292352520401294
55,6.343740303843128
56,6.358499931583856
57,6.294581827697666
58,6.342396006333024
59,6.3459520726587
60,6.320640359003806
61,6.257903462853627
62,6.332840896578888
63,6.143647341169452
64,6.211266114991523
65,6.186735554974092
66,6.225393306146202
67,6.168005059456018
68,6.216246481926971
69,6.137501338917563
70,6.242279224561219
71,6.1031290299347845
72,6.195157873844997
73,6.19068549184325
74,6.186621158663563
75,6.076586782204291
76,6.09465065662846
77,6.055511696905891
78,6.0879196497526245
79,6.057104987879541
80,6.056720987311017
81,5.993962359878284
82,5.914582466695528
83,5.998933313235668
84,5.914517702702284
85,5.932499035720027
86,5.830568028017493
87,5.928979180677134
88,5.888740776292145
89,5.893892161232073
90,5.876375065829217
91,5.868410933933353
92,5.9149491180876375
93,5.832868527080555
94,5.866785767275565
95,5.896866782186333
96,5.822771994896585
97,5.872779797501537
98,5.832068697048983
99,5.754212506114142
100,5.756562055022137
101,5.737603513316919
102,5.652913229767613
103,5.669169783371302
104,5.777605462570992
105,5.738487861630775
106,5.662175509968849
107,5.609969618706804
108,5.660641151957559
109,5.5926893188625
110,5.550845059740829
111,5.607947271515244
112,5.536624817794571
113,5.633416261661729
114,5.594058174987405
115,5.574306207327579
116,5.533758815909098
117,5.597248277289033
118,5.533998450281869
119,5.491434061435936
120,5.438771437738809
121,5.5192015991278325
122,5.488172931035498
123,5.285170581705091
124,5.443504195798407
125,5.354602427690491
126,5.430633965239236
127,5.427876672416071
128,5.376604276171612
129,5.39645060719047
130,5.2902801209675685
131,5.336556333659396
132,5.19148931744652
133,5.374805696722548
134,5.344566492044071
135,5.366581125971543
136,5.359274767340835
137,5.278842757020935
138,5.2555461416349285
139,5.14585122353918
140,5.349776147434389
141,5.339823131365717
142,5.334292929360459
143,5.287372999887705
144,5.283743678173137
145,5.247421029104253
146,5.1294035114351715
147,5.226034233040068
148,5.26733851615894
149,5.222359377738157
150,5.0838998557979345
151,5.1299807239927695
152,5.14003333251447
153,5.221859227629434
154,5.056736216934528
155,5.019902555194054
156,5.06654030132724
157,5.074839623472385
158,4.934293945612138
159,5.131214245779702
160,4.988052336701917
161,5.06076617843133
162,5.100034198552093
163,5.014477821383006
164,4.991794397711135
165,4.9464434242974615
166,4.963403870423275
167,4.983217982408252
168,4.984047333919133
169,4.950082958447206
170,4.935413116725036
171,4.935364185663315
172,4.923738038624486
173,4.8620681946370015
174,4.993081134708839
175,4.953024538868772
176,4.852973796374185
177,4.846376121325163
178,4.896968011416339
179,4.8199312807245285
180,4.859544579044827
181,4.6842065469046394
182,4.806845035303778
183,4.788683019281441
184,4.808003254040091
185,4.839499358918586
186,4.806959479862321
187,4.712622174788836
188,4.723796621621588
189,4.780303103023524
190,4.71613529769295
191,4.749747660414217
192,4.717628077642248
193,4.658401104174363
194,4.631963264121292
195,4.65435375472386
196,4.6037299074388836
197,4.739236967348842
198,4.662278299851364
199,4.651959847584311
200,4.537732237607773
201,4.734362434073233
202,4.688622345180937
203,4.478650081760446
204,4.616195834265843
205,4.662428207566704
206,4.537197419143469
207,4.516821787559756
208,4.4678510757506205
209,4.5784601250556
210,4.519461364548193
211,4.432087134851552
212,4.504426527997378
213,4.433631622706344
214,4.538527002423277
215,4.48378040528938
216,4.451405630361038
217,4.458687323996388
218,4.558595395112817
219,4.492538877478915
220,4.440802045912517
221,4.46058427991501
222,4.429047067971291
223,4.329635329122787
224,4.370291460336621
225,4.336908020400746
226,4.443182229347783
227,4.383102932056825
228,4.393461575435699
229,4.434636677936668
230,4.348213504541816
231,4.2877531231834105
232,4.400731752481593
233,4.437613962719446
234,4.311519596779797
235,4.37061436158569
236,4.356953166576623
237,4.300137619996736
238,4.340266462518152
239,4.248859204097787
240,4.309879890984653
241,4.346301135493221
242,4.381903595218605
243,4.250540158730745
244,4.368275336532111
245,4.260243217983773
246,4.272052749717629
247,4.258513820754319
248,4.224066818695936
249,4.2867704731351965
250,4.141506336628072
251,4.274984018659736
252,4.222222118050309
253,4.2666870373487304
254,4.28119208763921
255,4.247720198402239
256,4.150781163375701
257,4.055251794021774
258,4.139977692173445
259,4.138360836363637
260,4.143726288826169
261,4.077751047869891
262,4.085468244899592
263,4.128849719207895
264,4.136556215010614
265,4.149744565185604
266,4.205483003602323
267,4.028405540427362
268,4.067290544185211
269,4.105548512342202
270,4.149826019981953
271,3.9769557237724094
272,3.9882414827634753
273,4.061227569634763
274,4.045976125048273
275,3.9932722076041682
276,3.965176653972781
277,4.014989274221517
278,4.1169769132490055
279,3.9759372538214746
280,4.074519850899353
281,3.9446339186816166
282,4.0248207327395455
283,3.9890951385701
284,3.9858472357288077
285,3.9242711554781895
286,3.8929641186348207
287,3.990531557518787
288,4.0047962171650004
289,3.9792406200737456
290,4.012968902269242
291,3.9763937947059476
292,4.059474665550707
293,3.9808774128048485
294,3.850906471716406
295,3.8872071601788525
296,3.9021786480158913
297,3.942772901289883
298,3.8427984422834576
299,3.8408509369285206
300,3.9715251042970743
301,3.8667249477405923
302,3.778932186536479
303,3.9299383930486096
304,3.7848212038663376
305,3.9433479912674887
306,3.854719231001524
307,3.924048013599777
308,3.882485818174104
309,3.8230398740647313
310,3.731895624221355
311,3.839529171738412
312,3.8263133919259817
313,3.7397146628050373
314,3.8215110191134114
315,3.883060097786586
316,3.907455614182758
317,3.805997121417442
318,3.840010171491126
319,3.8424807498149685
320,3.7610742976629026
321,3.847203960822381
322,3.7050546385472107
323,3.803025758447291
324,3.7994808844259333
325,3.766215980991032
326,3.6782656727970227
327,3.7144323494234284
328,3.8178936999526947
329,3.82271631473923
330,3.674335508650032
331,3.751937117484414
332,3.860912163459654
333,3.661002895356418
334,3.6305512935673736
335,3.6930226168164695
336,3.8006731750827223
337,3.9172009353098542
338,3.745419423511903
339,3.676572976224319
340,3.693067217793081
341,3.562746769366282
342,3.65375990904975
343,3.6282686669314876
344,3.6641221340631644
345,3.723610549739368
346,3.6467124610010475
347,3.5995338184201837
348,3.6047450891453447
349,3.613745304464175
350,3.5685464844720975
351,3.684140077037926
352,3.646658145582692
353,3.6397951507269637
354,3.655486583840627
355,3.7120172247816274
356,3.7737539147772767
357,3.566214390769631
358,3.569590574517689
359,3.592361684255153
360,3.698808617678
361,3.6219514072746173
362,3.636248324197496
363,3.7102563061068814
364,3.5900733355309202
365,3.653264239062025
366,3.633920672220017
367,3.6394646331340024
368,3.511442322127973
369,3.5722756548188577
370,3.7103261570788013
371,3.612081217221954
372,3.5718747358273557
373,3.562319902130626
374,3.582716109180824
375,3.597769935826519
376,3.711357938039464
377,3.5790591179269353
378,3.565551845388313
379,3.5854479686812772
380,3.4592081686301803
381,3.6349763251305
382,3.4346264008256187
383,3.6060332608754946
384,3.5801518194319306
385,3.544624917323994
386,3.566620667408181
387,3.5642372135969462
388,3.5917183690389125
389,3.607971029226427
390,3.726363485573123
391,3.695008759352628
392,3.560556405194947
393,3.55625805105125
394,3.5510621286688866
395,3.5798758761989635
396,3.635880290243046
397,3.647793651965428
398,3.5953882843816825
399,3.51515376998712
400,3.5992585506556245
401,3.5451892003875503
402,3.5970567155686792
403,3.449580632649646
404,3.616579405369134
405,3.5489250849145018
406,3.4824931921333
407,3.472692247176352
408,3.569731036995909
409,3.5333365623459296
410,3.528249437504853
411,3.5823804430878154
412,3.440492168248458
413,3.4613977696341722
414,3.5699789445741072
415,3.533337892701366
416,3.4798389252394997
417,3.435329267372352
418,3.485482355282166
419,3.4801885651662747
420,3.625919469894048
421,3.5017716907832055
422,3.467716946240037
423,3.5480090285847297
424,3.5040163485886366
425,3.544194872204424
426,3.4348770455554076
427,3.472944943979452
428,3.511858891250792
429,3.5851132904175604
430,3.4735302100415764
431,3.425534284093505
432,3.5084523796074234
433,3.5071704174600637
434,3.5500202978910433
435,3.6289339149797533
436,3.539555459845621
437,3.5558414848270408
438,3.489015912329665
439,3.5239170245841414
440,3.449166844721336
441,3.4579174583663814
442,3.378594646141325
443,3.577028749541224
444,3.423048076299238
445,3.358900584764143
446,3.4863289252961214
447,3.4207048677933454
448,3.376792941429002
449,3.502379179752649
450,3.5439713328638
451,3.406223836966264
452,3.469294793023287
453,3.483655700538271
454,3.440727274560417
455,3.422124970583604
456,3.4209080873466946
457,3.5263514566678515
458,3.3921857518214003
459,3.3426449987639666
460,3.4285140403957763
461,3.45882435717974
462,3.354051465452981
463,3.5328087879258954
464,3.421229589943049
465,3.435196277335682
466,3.442027494225728
467,3.4320688577818337
468,3.487327825496608
469,3.4730142819589833
470,3.3319405277675167
471,3.3261655751504833
472,3.3668890999431955
473,3.392303684736839
474,3.4842011413347236
475,3.3708764985385278
476,3.4634926630735636
477,3.385226610911502
478,3.284351363002624
479,3.373593735936233
480,3.306091925400696
481,3.352112557548315
482,3.3265039470807842
483,3.230710903984745
484,3.255105167348144
485,3.3176136252615933
486,3.3626475142147307
487,3.322653246109411
488,3.463037440432722
489,3.4184526418187553
490,3.2982047004248862
491,3.373699881255291
492,3.41588863397248
493,3.3509923071144194
494,3.3304841328512587
495,3.3827716211813366
496,3.257395598570043
497,3.3161697358797495
498,3.3795741817127167
499,3.4784587807595915
500,3.3988386858449515
501,3.269232658406436
502,3.3127316477225244
503,3.3064665777332114
504,3.3404598593697856
505,3.3090387694594834
506,3.4216755942891344
507,3.417723691287498
508,3.476975824947159
509,3.3422387623348997
510,3.2868685566424234
511,3.3297564362885153
512,3.377422116835743
513,3.3747228418178743
514,3.343651032062712
515,3.3516039192552776
516,3.287203959961759
517,3.2365742961939508
518,3.221215245971161
519,3.2409007144003708
520,3.325835059414145
521,3.3318163003176267
522,3.293916205795074
523,3.3107708094594464
524,3.358629856983169
525,3.402794942169142
526,3.2641991512520434
527,3.284322085921718
528,3.424798411841551
529,3.281323034445261
530,3.352768234521999
531,3.234042275766324
532,3.3453042643939845
533,3.2631701901289847
534,3.1953388948325054
535,3.2257189105523314
536,3.3669826233981377
537,3.255764463325029
538,3.407293151123534
539,3.236895226227606
540,3.4241157342505915
541,3.2429784833095443
542,3.178373180656939
543,3.2006645022974842
544,3.306321747774547
545,3.4464416501464785
546,3.2096787377498606
547,3.335901490746733
548,3.314717723679225
549,3.263354655460562
550,3.3168312982482564
551,3.229244356030949
552,3.213977026760423
553,3.223907548449609
554,3.308666482260155
555,3.175409366044324
556,3.173696159148411
557,3.3720784129821593
558,3.3405306464919122
559,3.242382361950276
560,3.3919252801737514
561,3.2369890326907234
562,3.4059040278590054
563,3.2394379121031136
564,3.328988147682496
565,3.3956555892151297
566,3.2181102770800174
567,3.285511218302856
568,3.3893172199765154
569,3.205941622210271
570,3.3260716121468907
571,3.2127218978018752
572,3.3300243068723083
573,3.156487588175554
574,3.2554409367169566
575,3.2701699799559765
576,3.29594221326621
577,3.221746967530922
578,3.1610345829754367
579,3.2075971850406595
580,3.306353685982119
581,3.2026887962510147
582,3.317061952339138
583,3.229672234464361
584,3.286420756035715
585,3.3134037347553034
586,3.117094726159232
587,3.2945263156181652
588,3.21777068252725
589,3.373349125298805
590,3.1627975765916214
591,3.3031877666231058
592,3.166710830853535
593,3.3511936295927955
594,3.165526289190007
595,3.3524709357969074
596,3.3775585803409345
597,3.1600230860653435
598,3.148077487497094
599,3.2975307961057476
600,3.264480220321751
601,3.2251511931055763
602,3.1998146977360737
603,3.3495733932025358
604,3.207434585306304
605,3.1846470939608342
606,3.1706723978518494
607,3.2417773275118384
608,3.2183428885099095
609,3.2575214296886794
610,3.351266013113496
611,3.3913973898466265
612,3.343646673035913
613,3.2936695051043205
614,3.250277964546453
615,3.2185398382944648
616,3.2419172037091712
617,3.326341014565167
618,3.220713358563549
619,3.2493857862022164
620,3.1159209642673282
621,3.212908408344767
622,3.13356963405028
623,3.1984268557137647
624,3.2485184741539124
625,3.2434638269353493
626,3.1781781383308587
627,3.205976071587641
628,3.2218572490212507
629,3.167067505664054
630,3.213899037168726
631,3.2459434925871395
632,3.2644910165118133
633,3.3953060556533385
634,3.202006286940111
635,3.2956778319276587
636,3.1223403070489066
637,3.0787715759152015
638,3.1353763745263294
639,3.218454979205545
640,3.278963340390238
641,3.1486181265531545
642,3.1282422266230387
643,3.0695432811000436
644,3.122916108121447
645,3.256010548955957
646,3.1635807289328666
647,3.1869066704471765
648,3.1460137709757685
649,3.0933571874455335
650,3.2692037651301913
651,3.1472675348181984
652,3.1849329228888448
653,3.193233947716695
654,3.098002221809543
655,3.0133594032735824
656,3.234693239357126
657,3.1408061035656787
658,3.1806377133586565
659,3.0896746797267376
660,3.2238296867019356
661,3.111637617285972
662,3.172158443255803
663,3.2531191761629237
664,3.1116251887982593
665,3.20651858575623
666,3.151873341187767
667,3.1253889088558435
668,3.2013151497873418
669,3.1549326390472983
670,3.117718789056881
671,3.1284577660616213
672,3.2492996470079563
673,3.2181557774119622
674,3.086102127493896
675,3.2663219272744928
676,3.2804191844481925
677,3.1238309607509605
678,3.1618921100773174
679,3.1786864507490233
