,Local (|)
0,14601767339.629623
1,50088795.38853475
2,60407647.94957761
3,134666170.64902258
4,394708046.39521253
5,1192613694.506361
6,2423363957.322566
7,3264789298.170512
8,4444292600.453737
9,4767189350.732914
10,5653758696.484239
11,7830769056.593341
12,11503513966.649065
13,16395785546.024954
14,20001158626.39376
15,23084923205.16766
16,30121223765.785694
17,32665386309.125458
18,38153344399.901535
19,40810725658.3158
20,46864875129.46973
21,48033130572.155075
22,53035620701.8864
23,60775891514.55681
24,60090425054.73381
25,66417965675.10595
26,72909694736.25839
27,79014640162.73674
28,79922248560.14789
29,83848730938.05331
30,82656733903.20168
31,88482813015.48611
32,93694131433.07556
33,94097580312.08963
34,102946500559.25807
35,105789983165.36641
36,106904474248.15564
37,106672650145.21158
38,111557584826.06387
39,109943692469.13303
40,116672036398.45694
41,109013257893.52711
42,112304331257.2105
43,112179348768.705
44,115849757837.80074
45,114157213581.03766
46,117553665595.55002
47,117132080390.31921
48,119544441268.1104
49,115878375291.95978
50,118802312774.4142
51,113810476783.47528
52,119011810607.5934
53,119723475206.8807
54,122586779260.57881
55,125055515139.04367
56,120102974169.25063
57,125123453620.94557
58,127545422246.0966
59,125364387477.03711
60,125443399256.16983
61,121126354378.77594
62,120141501897.13657
63,126853054533.56984
64,134830838270.34787
65,127082469936.22261
66,127870243881.0516
67,133219594363.13435
68,132380180606.6119
69,128639866461.24219
70,130057822191.93938
71,131868504043.12369
72,131656217596.90045
73,132571681526.07555
74,134908478627.06767
75,129894411493.88266
76,137874594805.64435
77,136038102166.54814
78,135639285683.40213
79,129988977826.13113
80,140140020216.09372
81,139316072439.26535
82,136348816903.71025
83,139804383481.22528
84,135383697308.61919
85,134656905606.4166
86,134846648557.79059
87,136106532545.42159
88,136317711867.92694
89,135056982583.35052
90,134191846903.88263
91,140081406428.13733
92,140689353037.9878
93,138232283215.0207
94,139579841896.9924
95,143056405555.03046
96,139975801532.44104
97,139878976034.8419
98,144161865602.59348
99,140345510373.7269
