,Local (|)
0,146255301388.37537
1,170549891028.02286
2,111569207324.6196
3,78765442570.69377
4,88720949999.61267
5,71128453960.54033
6,78272239065.4506
7,66334846596.81002
8,70763345633.33469
9,67881067968.18547
10,96306386483.9892
11,60030877368.45069
12,63411268706.87066
13,72301191221.74756
14,49651350082.51623
15,78734608422.91252
16,70614250443.9847
17,72178000240.95212
18,53384087932.47318
19,30382522137.436916
20,58647597379.59361
21,61180631210.04689
22,37756508555.7339
23,68707929751.82269
24,29648595134.48421
25,55425397534.125374
26,49667219310.760704
27,32922411104.682785
28,40761472943.03336
29,44437806052.554214
30,34999020842.42908
31,28679251703.382805
32,31815687412.535263
33,29389463977.698338
34,34815634877.74028
35,20179477909.41678
36,18617414646.15862
37,17767154205.55201
38,26046997070.767075
39,24494709776.160763
40,21738178238.381824
41,23604978845.02865
42,19701001031.317764
43,14224802669.302746
44,16428552685.164707
45,22477727803.96673
46,22402633185.743374
47,16805218532.679174
48,15388831145.647917
49,15994076128.34326
50,11336766511.0267
51,10140793323.883402
52,14783344239.731749
53,8572313596.178072
54,18800878669.925377
55,13936038125.931746
56,11481858383.198189
57,11054909156.199335
58,9634598205.456993
59,13181917788.873484
60,8187207582.385834
61,9698230373.773575
62,8673908826.436234
63,4298351995.063752
64,11102114794.046036
65,10256186167.56131
66,10441342550.184698
67,5536907393.123974
68,8109993066.783093
69,7261414365.778283
70,6365875334.336517
71,4812704420.739246
72,6203216458.771383
73,5508515631.105451
74,3893684755.669261
75,6237711105.295379
76,5984963479.360509
77,3089155855.805535
78,6758081382.788278
79,2392897070.675407
80,3481149479.0768323
81,4862462934.959515
82,3430891367.62569
83,6040901848.225814
84,5971090878.804064
85,4515261889.810262
86,3931976469.344852
87,3100526684.650309
88,2336929231.7324605
89,3428160480.151641
90,2545763524.530913
91,3469353221.942425
92,3603113416.116071
93,3315761247.941186
94,4179328319.942063
95,2084831280.1194212
96,2383405463.8460655
97,1876660423.9011073
98,1106740521.129634
99,1514381315.8898733
100,2096510196.1001267
101,2823832084.0990434
102,1867347945.1723855
103,1292116170.9685829
104,1830667185.6212091
105,1562351414.5372036
106,1773322374.7671063
107,1217828366.4834058
108,1551315346.185492
109,1531981209.088128
110,1016805511.0666624
111,1274758980.5282187
112,1282767315.5447176
113,1563802054.4429457
114,1212655912.9496655
115,1075774128.743977
116,1199136483.1949067
117,1590666158.8524196
118,2277398001.6936197
119,1028862288.1782213
120,2225490329.3839335
121,763568841.6673598
122,590648956.8795501
123,734512389.4641504
124,1095158824.7068744
125,724511767.2888983
126,1424248328.540891
127,437968534.95742166
128,710378626.4884614
129,1191874521.091942
130,713697591.2681948
131,489634645.500177
132,644434693.2006768
133,849258529.6582652
134,441666975.4505889
135,749726496.5998151
136,371198590.33586067
137,620300963.7279805
138,627831513.8965057
139,762656248.4216508
140,599349240.4374309
141,517706461.207277
142,524312606.0229052
143,409383962.4542718
144,848567505.6560484
145,356925578.9607838
146,240806319.42362693
147,610394509.1793934
148,451819151.9725224
149,257382209.72721368
150,444703694.15313333
151,369388408.3038007
152,223174035.67278665
153,340675539.1737256
154,353567952.94193065
155,374516895.2366224
156,207694576.34274584
157,324769388.4809129
158,205712239.1359485
159,227279801.8407486
160,267877586.0626005
161,282014263.9349006
162,213965681.53077576
163,285246047.7946107
164,214956659.56835938
165,266468690.24882805
166,359438915.98475343
167,275987965.0465342
168,411028809.3572456
169,163697251.46549773
170,269151614.43624294
171,239054889.10221645
172,179409204.5387275
173,316246668.3475169
174,168645147.12726024
175,324639685.8022363
176,125033943.1441825
177,379597187.56160885
178,154796740.38160276
179,186601808.79911476
180,284744964.37651306
181,165525850.92366332
182,147065163.34716693
183,263711239.68585482
184,135913702.03929973
185,104152016.24413595
186,236116477.17286375
187,103017478.91858147
188,232378281.9310044
189,97506491.83306529
190,178631610.9774541
191,124564874.01545615
192,97607110.18561785
193,133533061.6708915
194,120069163.28226866
195,190961838.00114068
196,168925826.2910853
197,75477039.06525141
198,99957218.5525745
199,306712333.04052114
200,67694192.0702958
201,230547979.4168475
202,65889655.67405727
203,117736595.6740389
204,206997620.0611698
205,112337547.5550241
206,54766722.773851186
207,77984066.57950202
208,81039780.77163804
209,162400786.0841122
210,172471956.41525325
211,100097182.36661603
212,98544851.43529879
213,83511406.90767594
214,162108664.40465808
215,72602576.10443117
216,91494484.53289475
217,84407813.71817075
218,103140301.01075278
219,76896811.15126753
220,68921078.3790241
221,55396949.576152265
222,50659123.75122742
223,59459631.75130031
224,102910549.54926787
225,65826592.95262571
226,60239707.04934235
227,160284120.34347773
228,101849735.7278762
229,90193607.19015826
230,67041623.34746748
231,114469751.9049637
232,72667667.38923922
233,66673452.60725175
234,31398450.74602024
235,151639782.43821755
236,44930081.44881631
237,47420411.53548708
238,77080705.20055364
239,119579627.58949593
240,58747822.5600115
241,63610482.75728761
242,54322913.99753075
243,48297498.30319423
244,52284454.4890663
245,20735346.19867754
246,40894683.9384388
247,62237268.65857313
248,104091325.16207613
249,29944597.156316288
250,25220468.71589922
251,43829814.68188159
252,37671843.4575344
253,31477291.458230957
254,63635703.60229228
255,20242758.815572724
256,24424642.555532422
257,26753117.834489115
258,23763111.89789224
259,22497368.53541936
260,20872209.32490325
261,47923667.48875155
262,19911244.18372881
263,17989179.799591754
264,75101055.62746073
265,25912123.663279302
266,25695976.743156172
267,15483457.719627919
268,27396969.0779708
269,26137231.567924697
270,58465332.17326577
271,36608174.34306265
272,12867036.799928723
273,20275212.07177093
274,38669566.815221705
275,37879308.88335398
276,30462794.31389207
277,11333561.566084038
278,78374180.56429987
279,122244972.2650231
280,41974395.77243236
281,32427687.182757076
282,19978670.72229068
283,22234911.259906225
284,16175317.574381504
285,16954110.076040935
286,43104098.22283866
287,11418056.810025873
288,37443370.35998071
289,33599611.23711749
290,27695450.82725984
291,46013362.44747682
292,26204603.49127624
293,7953291.100510924
294,44042093.67274048
295,16436907.273873515
296,24814802.833385993
297,25808968.923724644
298,53072061.44773927
299,35253635.59705583
300,14704388.481561769
301,45458885.181277044
302,17078930.556548405
303,30924882.74307974
304,39855623.051674485
305,51873527.813944556
306,102582732.74267414
307,22383427.626555726
308,11942747.645990472
309,32921534.25056485
310,12687372.359982984
311,29010501.4521285
312,8723939.528677287
313,20190659.222880524
314,7574365.539879164
315,5229654.42837826
316,42013299.0732522
317,9633742.160375519
318,239456638.8804413
319,4159329.7629826837
320,15984561.782401051
321,30813369.29721508
322,11199840.956337703
323,12035997.94007912
324,9679102.15306833
325,16416858.620720949
326,175240770.07494274
327,15398343.989398042
328,5610974.948553761
329,31031325.668283258
330,5773799.2724071955
331,291588556.0902564
332,20390088.247110818
333,33977297.45610404
334,114088834.19718462
335,6596170.700957731
336,4474592.253638033
337,5851493.940771089
338,8422798.777789444
339,30331162.5952672
340,9868513.359982248
341,8289125.197761025
342,5131563.730397553
343,27876454.745265197
344,10300098.267632293
345,21677978.071480885
346,4614185.1306822
347,21802976.51502068
348,34120402.3707128
349,4889136.096326083
350,9747681.147943249
351,58498760.44626531
352,7341730.207336533
353,31826356.315980125
354,84952628.9405944
355,33975625.75030389
356,9078001.549240492
357,21993778.87492379
358,7113344.2468948625
359,41641592.036757626
360,34685645.35088355
361,7162354.102096836
362,31276893.047886804
363,15960560.372287313
364,43631953.241225325
365,23362740.960804008
366,13750669.582048219
367,9160336.88152549
368,80191295.7336561
369,20079060.495945524
370,44780433.57677176
371,11156674.794933597
372,9688620.486140294
373,34264937.7744621
374,3939010.01711113
375,9463730.493515383
376,42373284.34538617
377,48894437.18731336
378,46113779.86444279
379,11076559.418965362
380,49852003.059851564
381,175934208.40407437
382,297217344.08000386
383,52331906.09650629
384,4673688.3350725295
385,50920239.882658854
386,3432173.2896326766
387,3288003.1704367776
388,6902474.709480815
389,144898664.08301732
390,47722458.592946954
391,13142451.87518691
392,24531864.654217806
393,165003876.22602808
394,8714860.989117641
395,14660510.08640549
396,26451034.951413974
397,104757617.44869372
398,5311628.740941485
399,210742215.05047268
400,1831628.973446028
401,31308179.01855169
402,6924305.068746713
403,19371392.020013914
404,25410817.81528615
405,7505277.127881219
406,34671787.51121488
407,33272575.31739022
408,22134913.275926586
409,2819824.9720155206
410,6366059.2595289145
411,40935565.71705517
412,74242834.31249519
413,5135974.009264372
414,65273272.71646508
415,11172455.141992144
416,47269293.49737711
417,26863067.19029315
418,89432008.10240296
419,85234735.41931586
420,17871685.35797261
421,17367109.788219865
422,38675911.17369937
423,582522092.9524924
424,38254697.05831708
425,151229431.65832898
426,32152583.450247914
427,195470824.90824944
428,10719693.00939681
429,3378810.0371301984
430,74009297.96270573
431,45184311.015428975
432,100873073.74865566
433,13182065.365662921
434,15961297.024203934
435,9093874.437826876
436,70115922.07532997
437,953789182.9309003
438,152480101.1513839
439,32530807.186001383
440,29155136.48324843
441,9558897.327995487
442,37989325.528665654
443,14305059.189371917
444,18342179.851739556
445,58351516.07659308
446,13487851.640028298
447,3882108.975056319
448,67515747.8286129
449,58467820.20214139
450,38307980.31552583
451,208206393.31954765
452,17832972.6563895
453,127723334.80822963
454,10405692.869318062
455,67218940.88071248
456,14996687.468794156
457,4458528.819292981
458,7423459.384038895
459,20286549.326898735
460,171459045.4977915
461,163937132.31063643
462,9380029.740108693
463,12935932.863472909
464,65432916.12811305
465,81636921.04597859
466,8954600.001133349
467,20183505.249436118
468,53815026.383187644
469,5202043.796723244
470,43664947.30611861
471,64052237.560181394
472,5953321.485293416
473,17139925.18498314
474,15983831.687027145
475,65170475.05322527
476,10024182.439247902
477,33831572.76746904
478,33359267.834256854
479,36821999.44050111
480,34321708.497119755
481,18224848.84378339
482,73119257.01108965
483,9442474.976641072
484,3752208.2188276094
485,8819846.134165334
486,48381780.85720165
487,81603454.68740015
488,15635649.892001895
489,55667824.64143002
490,370393464.01461214
491,49583751.88026625
492,5556017.942539568
493,25457854.839432888
494,276678211.05301934
495,42917026.09289386
496,43832425.94796244
497,6843355.3516440885
498,9759773.39255019
499,6671486.82298287
500,6820737.820355922
501,10919915.209634973
502,2258132.721627886
503,37413023.43375741
504,69311994.64225204
505,29024397.89417401
506,204317001.8937347
507,44692473.825610295
508,39063759.65071454
509,18086752.855797853
510,11860002.652947078
511,125490248.78663167
512,8578450.444669997
513,74758740.39115666
514,9963566.412660614
515,22628072.610894915
516,2711863.108092916
517,44131885.476475194
518,2183771.201401019
519,9621275.601948172
520,4261689.45636948
521,28243225.540726844
522,12802003.51205097
523,9448954.685522744
524,7044032.723861284
525,3448759.7752839797
526,17191190.400277987
527,31759913.02053201
528,6945129.579203128
529,6946088.974839052
530,26493468.537271157
531,104529685.67286715
532,12519983.232241146
533,227278711.47177234
534,18316113.79903303
535,154802326.03268898
536,20110059.497825652
537,20254499.58328026
538,2845015.695642788
539,27936988.819320664
540,23270176.431298226
541,408361753.8231681
542,30240297.593688834
543,44310622.22966514
544,34732068.747387275
545,6605209.935978386
546,8362887.924384753
547,145927414.19452903
548,48220441.64477884
549,9617763.23932111
550,33057196.79144423
551,26585601.210973296
552,8323383.116581428
553,4421222.532738974
554,9134887.478684403
555,23446533.998719297
556,12805689.748920027
557,163696569.8489965
558,51846764.3999911
559,190261372.8616537
560,75084859.56176785
561,21953111.644491278
562,117075697.32974662
563,1486868.5823520834
564,54292421.1696384
565,5258385.20058452
566,150441698.91592056
567,22255389.725255027
568,72860478.5701624
569,16107054.966648042
570,17028519.553451348
571,10505769.645581147
572,1649738.4742123615
573,36881436.671671376
574,299200896.75105757
575,16338544.250134453
576,116973339.79950407
577,50841256.62553551
578,22670546.65167652
579,6955478.702027252
580,17864480.20778863
581,236466715.68333018
582,15852223.64976687
583,10580428.953864696
584,56442963.54766561
585,104209471.79977937
586,29754264.969127335
587,40814629.106790476
588,203928731.19953316
589,17939992.86870473
590,29417863.64817502
591,72332692.12446962
592,73447043.75280187
593,578592800.3346953
594,261795150.56146258
595,126216313.92905267
596,33447336.429162033
597,98592612.51052335
598,11298838.992666222
599,20875521.873230323
600,19471040.31691701
601,79100006.56762896
602,87037808.51377004
603,23967690.1701733
604,17118102.41261644
605,477497963.115098
606,5282409.683801296
607,19007361.196771275
608,5297705.992606305
609,36295458.57615635
610,42558124.817532256
611,32364828.380200665
612,15726497.631901411
613,126420187.84189534
614,8754154.552145941
615,78039444.11680382
616,54007884.11270877
617,44538165.75641079
618,8998085.237127913
619,52990149.40558057
620,45817939.05271863
621,9018236.457521578
622,6228405.499681711
623,28608020.848167595
624,39944137.49226095
625,18376741.596912365
626,32993001.717423987
627,86724802.21252005
628,27664718.46583112
629,101405511.44319889
630,28262024.70473901
631,30470301.148342635
632,78400852.77663952
633,235269883.7984894
634,23619993.03022513
635,76919847.07908224
636,13653000.151210714
637,27705863.0999319
638,30207103.900214612
639,57715836.717139974
640,100926380.00112107
641,49136346.92391111
642,88101197.38917209
643,22346892.857663244
644,178784579.3703132
645,7789205.1062963065
646,18153585.264253665
647,14253715.287140176
648,4153815.2289678813
649,27162322.77745276
650,64718190.22797984
651,121110573.7000047
652,37371522.99973248
653,45645326.26644894
654,18269960.567380022
655,58632396.79413715
656,43250124.46637073
657,30287706.735160206
658,99918656.65565383
659,222802771.53255412
660,136081132.1650995
661,225023716.77214494
662,240103471.38703164
663,67305612.23383975
664,9459743.741531584
665,23386561.717072282
666,16099292.77375263
667,89763016.30241369
668,189062484.08601335
669,10710875.491307644
670,69403190.59517023
671,46970444.03830412
672,21058009.408922583
673,19401559.696404714
674,61118954.35750026
675,55649228.82790961
676,347164865.5824889
677,44649566.26947467
678,77847079.48717684
679,37278778.375443265
680,45967483.84564805
681,53363458.1432387
682,558202897.598913
683,45733904.16393602
684,22088368.70634673
685,52366783.18543874
686,180722794.35891807
687,226984811.9925923
688,9883828.660217896
689,71138671.40108193
690,91693994.21051483
691,86355377.17970051
692,30756046.49758076
693,21723937.622274827
694,67681639.09680034
695,124384107.15982455
696,115065787.32713312
697,39754099.299911544
698,86112278.54118358
699,632350449.0869315
700,116654381.0343293
701,116389661.940844
702,360218028.266065
703,122531923.45299529
704,15257810.572128585
705,73324148.94723955
706,46134278.70196599
707,78069950.53017065
708,43019288.17260486
709,54884263.056408815
710,430777998.4799474
711,31397898.194699313
712,197304813.55647504
713,47415643.09411865
714,53324752.87698712
715,71991193.97257136
716,19726940.18958663
717,15671399.258900978
718,271784264.9584511
719,186497288.20274314
720,144839094.3914081
721,15947920.037765516
722,243761982.12757656
723,71473544.40818554
724,107940234.44055168
725,163894135.72922218
726,6275037.932924318
727,392254373.79753965
728,338152458.8645911
729,112614413.14611202
730,391443799.59509945
731,527931448.2728183
732,223827668.50497943
733,80673968.85475275
734,62315045.55509154
735,221286292.528818
736,177310688.30926195
737,64310673.07954844
738,198674658.30928925
739,349325545.5648978
740,96300541.90048529
741,134129563.0553421
742,154817866.14400038
743,69843450.24836206
744,110472759.60534422
745,76958528.4595553
746,298815967.8107464
747,91958523.78769623
748,155859062.77065143
749,8262625.938130158
750,107021634.45833601
751,257728132.92515656
752,211351109.17393565
753,95858867.05451791
754,973106019.31868
755,66418375.12510917
756,39521922.749123506
757,340571753.6454131
758,33372336.54401576
759,191540051.6423749
760,36084656.94492457
761,174128992.1662698
762,240136345.3755243
763,65530423.49488389
764,107742779.04511398
765,33327419.33407713
766,165151240.93184596
767,51666201.31801546
768,79690019.86504011
769,78298890.87533316
770,129552467.42714965
771,161969021.38622904
772,39139577.81453313
773,488138894.6430573
774,35138176.901170425
775,162174318.19500813
776,143721274.5529117
777,140873160.8663499
778,71051890.3543017
779,83772825.25350115
780,70922115.79961753
781,116132776.15922634
782,168520687.3995815
783,235561219.57186145
784,128654098.8817817
785,281529655.41977555
786,64052854.744165175
787,731174716.7724477
788,29206591.884100884
789,1143499726.4973407
790,160723517.07701254
791,119525285.90677655
792,133233452.1892113
793,1878978377.9864707
794,39039182.74068811
795,161210839.23770848
796,810592194.0737113
797,288058892.07377446
798,256473955.2521024
799,32154548.996285863
800,125798193.00683366
801,61051550.30116747
802,696217284.7274277
803,78354846.5640039
804,133141481.1994054
805,88895998.33019269
806,132607986.24993521
807,130969785.43931597
808,91183525.04385772
809,429948559.15085715
810,117071197.97315317
811,520950903.4866098
812,65630695.59175071
813,47350182.74412192
814,96697505.37238178
815,210771780.11967444
816,343141180.5269076
817,107139088.01555492
818,662557380.4797113
819,53254516.86357325
820,93203140.58146612
821,59089728.71556254
822,46656971.87563813
823,143728730.10211435
824,295968915.0233019
825,139702762.6772049
826,565103584.2249855
827,425307333.35215485
828,68767927.90899992
829,46277868.46169242
830,432324088.57691085
831,300480832.5189676
832,66494636.84669889
833,354668427.3081957
834,164511912.54739317
835,434816567.36883664
836,107165249.6747533
837,113675083.66208068
838,217665325.92168853
839,104554057.25529416
840,407926757.6416779
841,83069184.27999169
842,484114686.191918
843,125156209.5230597
844,56451496.83271458
845,96338974.02149828
846,1990847805.8296926
847,44908959.580746114
848,66960434.429266416
849,1035628668.4196192
850,105077267.53099364
851,263360303.05959174
852,263550044.30520043
853,557158151.002778
854,134581298.3507278
855,99144927.2727019
856,1483579625.5511205
857,468258593.37842137
858,145126430.5143624
859,105242808.5436956
860,61516012.81952629
861,19367497.28018774
862,36984839.5304957
863,102030969.58768128
864,100569399.9638385
865,225649758.5223433
866,53605909.23427854
867,46040318.87242986
868,812009443.7596067
869,197744219.36153588
870,125837790.87803225
871,116543181.21818525
872,433551827.47403985
873,261565740.167424
874,95370050.79673104
875,89319897.88647674
876,57011544.55258302
877,77853262.05261034
878,54615773.80754871
879,965299198.9390733
880,62699066.06926114
881,222945728.36464489
882,578597097.0186276
883,1044652052.0096284
884,309058612.3614198
885,143725233.15739194
886,2037469104.8305745
887,377599600.2574877
888,573322612.9116927
889,516596513.2796857
890,952725618.460086
891,638694135.8546671
892,169403437.40494326
893,101985774.97797489
894,73243277.8195429
895,181034097.30194187
896,576275983.9385818
897,172469025.69637856
898,474849012.8508729
899,233942235.486799
900,237207655.18473455
901,157216578.61052164
902,886647036.5586078
903,100688709.52252458
904,291248704.574632
905,169875459.7272978
906,297098222.07610357
907,713092551.9416319
908,566593076.234886
909,123980952.16975567
910,577203449.334261
911,231151502.71823582
912,199210867.34247127
913,298484168.5356031
914,318422947.53234345
915,451838070.5363263
916,113819429.16039097
917,146062238.01689693
918,506446248.20116013
919,284455793.4319929
920,510437050.2781868
921,989946410.9575016
922,140237162.64767772
923,601748799.1649904
924,1861909909.6051505
925,375935219.490409
926,108534729.09302248
927,381827591.496005
928,1274677042.2040374
929,191132507.34773934
930,120403444.0957787
931,467781303.40277034
932,586982783.1261122
933,267742478.23718882
934,45282286.29754683
935,189676194.53183624
936,300502207.7637598
937,276556438.36132866
938,758734548.7118973
939,2587754171.74076
940,548262485.0783464
941,60958211.02038562
942,662754318.1902653
943,323233997.6235413
944,111726459.52259846
945,303805034.90583926
946,276003053.7086018
947,449489928.57939124
948,161146453.3067378
949,1304234579.8881776
950,174845146.70108724
951,207395076.28729293
952,543313771.7482954
953,434187663.2204414
954,72882695.5239073
