,Difference (|)
0,18591856310.340126
1,3628936.5314304177
2,27481.093997000473
3,24230.032497107793
4,3120.2867332513943
5,2177.7281046457465
6,519.6778441568498
7,883.6380798394405
8,572.801810854875
9,195.1703444275025
10,1259.12976176275
11,241.4458314452196
12,189.1838176838408
13,377.61623096035595
14,226.70364933486277
15,69.81262169450282
16,384.7258729503155
17,232.23410281511653
18,254.04622004977472
19,199.60144055773796
20,158.06884255970462
21,185.35508495402627
22,388.460457816476
23,107.25140591514199
24,109.73456977168884
25,174.24877595580648
26,203.27107364847978
27,84.04177369598881
28,205.23986643368607
29,385.70559506682315
30,85.02902660592905
31,62.987113816758125
32,125.26780882921966
33,208.4593978641662
34,172.2841646396546
35,279.82107631908485
36,150.644538600569
37,426.7037806916712
38,100.65674188751552
39,163.8581482585861
40,308.9777663890707
41,209.74208416075436
42,72.66289119448267
43,192.90336666672928
44,106.98489930587537
45,94.25785021460396
46,265.3935165399291
47,142.81662766332144
48,953.5497455865984
49,89.80802224620923
50,138.49968877892377
51,81.02055121845028
52,78.3304979913192
53,64.59493530463203
54,95.07614373900314
55,130.6044190054303
56,102.63152735553754
57,121.37774918217421
58,56.35994599505121
59,92.14657604701786
60,54.05566637132068
61,258.1629539501388
62,89.96016226755337
63,113.36682386656105
64,75.82584168163285
65,67.75125890519172
66,152.13587336009314
67,109.22229584261329
68,94.51020700357232
69,61.1576500012198
70,173.6343340532372
71,70.03050347007114
72,54.16175672968134
73,188.16969493922213
74,828.8863071205927
75,153.9113610492809
76,113.1956587530502
77,137.70077942693425
78,69.21480925634032
79,195.29400569327433
80,169.37822907533675
81,173.34958136601085
82,89.54658322243883
83,76.9439151633564
84,158.35881715150396
85,117.22125511055212
86,112.34048349985758
87,165.3498646441542
88,69.27246671941386
89,78.70336966836332
90,107.528519877269
91,82.38798331213962
92,124.87859580707796
93,195.00064775690495
94,113.63391173164088
95,61.67126812153279
96,51.19253787139229
97,83.61369257693957
98,34.762012688770874
99,58.82083486693666
