,Global (|)
0,14769355401.766996
1,1428338.385053377
2,1303.4281044160216
3,346.8676857762062
4,189.85570704641944
5,327.48012827442926
6,130.31346802517726
7,157.44548598050477
8,223.73951372378255
9,159.04478303293448
10,148.71955723100197
11,258.99905293175414
12,365.2067457963166
13,125.5653154390999
14,120.35525062571637
15,422.1963437865147
16,176.67567850478116
17,372.0121717446542
18,123.70958418797481
19,108.15714176067682
20,115.24255830315549
21,144.27368918266473
22,110.17463472037173
23,103.91272688346159
24,654.2762685845609
25,95.79532585844265
26,199.19152282071832
27,64.30358755535056
28,162.95657507979132
29,234.9463694182345
30,8055.887361640667
31,129.75252511583804
32,100.49247240261697
33,121.92247037081601
34,1508.305654391022
35,107.80451350276586
36,193.34636454114388
37,98.94526969088052
38,119.11018529239328
39,378.01064268714777
40,215.22586796885932
41,184.4612148825501
42,126.0491565726626
43,99.27193606462488
44,218.8697104499715
45,219.03860608074473
46,415.6308357480322
47,80.56474252740004
48,116.56142983768885
49,109.12493912635118
50,107.02655658249964
51,199.35682039564216
52,191.28905330092854
53,91.07815893301577
54,164.41609241781484
55,86.1366065507999
56,283.9601034631425
57,131.20492865270228
58,184.3135460084927
59,240.37811105830306
60,129.66796286006266
61,164.86008809462436
62,598.4184206905717
63,321.1207783160704
64,188.24155039395555
65,65.6517590964369
66,115.88555831917611
67,101.66555549017363
68,107.92496319893291
69,114.68478899765277
70,92.18928616004553
71,1849.2866033513512
72,122.24817737016362
73,112.77832029804112
74,119.08521498671877
75,152.8324031435222
76,133.72901944371745
77,87.7559454473414
78,70.07029630125403
79,122.58642276608379
80,123.40782134016189
81,195.50254093170992
82,176.78700257995737
83,110.4444546940301
84,208.8879211177142
85,268.4134513326822
86,180.18818904960605
87,308.68288641231254
88,166.13011127034622
89,291.5469477913911
90,363.60252781763916
91,148.8381304120289
92,93.77792853779262
93,146.35432150511417
94,144.5110312677185
95,1630.487569816315
96,117.2068128666693
97,106.61138691812066
98,162.08158067170945
99,238.81862170336427
