,Difference (|)
0,230250693791.70816
1,196956119452.55923
2,228392086769.85602
3,140290172659.29425
4,194436080665.36148
5,107340357162.63701
6,177699051574.3173
7,125109568139.48062
8,114630120968.16208
9,73742603678.37854
10,97335573019.9733
11,80150909685.1267
12,47294545733.67905
13,36316862210.6944
14,59544201158.438576
15,65505300670.934105
16,60801693127.88237
17,61698646997.313965
18,63526137477.51403
19,42821652722.76137
20,45263968869.28197
21,30772174471.68799
22,31322342643.765823
23,34439105121.02111
24,49498560684.63108
25,21183744715.619137
26,22788467741.015766
27,48867602824.39586
28,30214573463.978996
29,48101097841.47895
30,49754334003.135506
31,44610880600.003654
32,44020795613.017136
33,27302655639.75137
34,31879682005.440254
35,14996228399.540688
36,17933012620.66607
37,41617914678.909004
38,39797932289.912735
39,16295505501.723995
40,14919489197.51417
41,11206294680.735476
42,28572092358.738766
43,12653740087.940601
44,21056592001.617527
45,23531915962.40601
46,25102148598.82767
47,18221524019.852886
48,16565308105.433893
49,13389920253.316044
50,25946378920.14182
51,31173884358.986572
52,7955327113.04343
53,16659210648.6361
54,10678855030.783731
55,17947549431.46387
56,31116838963.616436
57,16786760087.011965
58,12775337443.7987
59,16830108162.563696
60,7773293767.325619
61,15423820279.90934
62,10823503689.759695
63,10442685300.72699
64,10359846072.598799
65,10765392018.190779
66,7481818909.331179
67,8960893461.008902
68,9184827045.739752
69,7089389782.750309
70,10115354065.38893
71,7347605408.558938
72,12877228803.854807
73,21697595566.64503
74,21965807392.212196
75,8779751076.925854
76,12128460426.483929
77,17684217674.89272
78,11295351882.253933
79,7220794389.732654
80,14834530245.2964
81,13129052194.569387
82,8798557122.387114
83,12013091434.279116
84,8037512646.190702
85,6802672570.976885
86,5926219376.20816
87,6563916809.223818
88,10277874988.303894
89,3034372760.0815005
90,3526700754.1664886
91,4602668587.620924
92,6618758379.209894
93,4384721531.23171
94,2819849575.6365714
95,12366879613.13052
96,4835745180.360315
97,5155953120.49932
98,2709709830.8719754
99,4297058478.858204
100,3925909902.3695626
101,4145714337.242221
102,1945873932.602026
103,1611009187.119544
104,3712833641.5259585
105,3425245484.851119
106,1209744286.0155103
107,4067749120.916745
108,1140178961.489537
109,3491519314.0654006
110,2357155969.40258
111,1884463754.156412
112,2290008679.448253
113,2467439426.7934866
114,1885354321.7846384
115,5454635958.379694
116,1166254156.4107776
117,3497717064.669935
118,1159651442.3556564
