,Global (|)
0,248553909561.48358
1,134945065299.25537
2,93867373489.46071
3,105425789089.01477
4,141861624163.78372
5,83357058461.2833
6,102768264199.53476
7,86601240768.73326
8,71014774647.42096
9,62811846272.84928
10,74696883864.02588
11,54396970827.07941
12,72900479168.19202
13,69290334239.00468
14,28232033877.597267
15,47258115809.35544
16,43383076737.890625
17,39355516113.24352
18,71515861093.42206
19,36345463552.20218
20,63010576421.03493
21,74751288004.7569
22,50500523695.02211
23,44757762113.9507
24,57132794710.82958
25,64771466936.83992
26,49775539303.920105
27,33062195151.502228
28,41111816800.76048
29,40220163963.47522
30,19513233461.73417
31,51317055495.04747
32,33628309251.28653
33,22826205639.871048
34,35795837294.15186
35,43744271989.87309
36,16653578749.445354
37,23330808565.443943
38,20323312377.639393
39,11875103397.847456
40,28184435775.639626
41,21998062068.836666
42,27180079575.672752
43,18034790050.519855
44,10507304090.170317
45,15855810218.794836
46,16742042502.801786
47,12240192111.430449
48,14879014489.593851
49,18312109656.174656
50,15026490161.99975
51,9949071660.163303
52,14698698403.468826
53,9873346712.784437
54,9264160644.300323
55,14213847635.447302
56,10655518437.606155
57,6155865693.775314
58,7060363230.96015
59,5814343414.434591
60,6489487091.028923
61,5860075754.782257
62,5849952660.671003
63,10095884133.834265
64,3459928508.262203
65,3585826149.180749
66,6008847783.249684
67,6721769438.559348
68,5283513362.28379
69,8034225283.3674
70,4070854552.237168
71,8345796929.76552
72,4208998661.685553
73,4801841694.610562
74,5600593588.642515
75,4960509736.788086
76,2586822333.384087
77,2350006945.2151823
78,1771124503.5521104
79,2478147722.3676705
80,4752255929.595822
81,7153448129.087786
82,3491891449.5508757
83,2794873094.1430607
84,4013699464.6480865
85,4688248271.586711
86,2898771655.253155
87,1105259265.962659
88,3009355661.4155226
89,4484540906.758153
90,3128375301.187091
91,1882666059.5735114
92,2904049585.0774856
93,1249576179.5273652
94,2103902046.5200312
95,1582080604.240601
96,2061246368.6944292
97,1826994715.3598554
98,2103428556.9050756
99,1944293351.64366
100,2163686848.318374
101,1104171476.9471633
102,928721492.460159
103,2204227741.7086306
104,668578270.0192982
105,1825798459.1603289
106,854042219.1262152
107,856097438.9816488
108,852521463.9302791
109,1132756489.3757255
110,1798211719.618977
111,745811606.4452934
112,1656954984.6836948
113,590952255.6696749
114,522108940.178274
115,961506313.796871
116,598229301.0505323
117,379160643.6390368
118,1012009027.8246864
119,582659162.2342552
120,847912195.636616
121,1145226417.2181115
122,640558400.8157634
123,746629189.2026739
124,1221535404.2706838
125,614488695.5802
126,598161867.4274216
127,849174454.1978996
128,456376349.0763494
129,508049265.4004241
130,610302355.7135557
131,306392103.60999924
132,271062824.0768818
133,299101478.8224918
134,341548534.7355201
135,173293482.31195843
136,350132805.7772419
137,427870000.8023224
138,289600608.25082916
139,256685339.3238836
140,168425990.82501593
141,344149495.3917603
142,236695410.44276768
143,289223152.63700813
144,119238045.90384859
145,366332495.18416244
146,110877857.66433056
147,166190715.46602175
148,196674246.6129241
149,306736237.1310364
150,308818591.2293853
151,147732229.4546493
152,121369608.6453322
153,143306546.8062373
154,193141612.7089608
155,254002929.9586036
156,259721620.78374115
157,138490049.22110572
158,74079370.80105227
159,167580977.43671492
160,53098642.23034164
161,91063154.3919346
162,62451705.094677165
163,139214449.2908669
164,189550106.63501123
165,121616518.12122059
166,113454012.19071084
167,62596345.05751198
168,76366925.20434354
169,80247209.335809
170,125750253.51668188
171,54585841.42598019
172,88407350.78006695
173,41189669.42584686
174,72286057.07958001
175,57854479.40757061
176,74358044.66874658
177,76991612.74005656
178,77765625.29811908
179,52721824.965503044
180,31177322.598530054
181,44253280.10801335
182,48351530.64411977
183,37977109.90321156
184,33877199.49263476
185,20121839.458824385
186,15714755.609556355
187,33061569.40052829
188,43732350.94503055
189,50501528.661899514
190,26014686.05000591
191,22673968.1315232
192,24772252.38373954
193,27702134.472693227
194,14183195.386116488
195,22614746.589769267
196,13962873.560185656
197,22482111.022402555
198,12751298.142631242
199,36255438.21468106
200,14591256.407984635
201,36267837.128373444
202,14325956.72417427
203,7461376.897341089
204,6690452.794166516
205,10479001.741935873
206,7914719.128515928
207,2947614.8797894577
208,6739892.494939275
209,11472768.44607777
210,8944173.846167596
211,3757809.9031110224
212,14730843.818135109
213,6938585.51727708
214,9564542.693807011
215,8739460.1645211
216,6964371.320641843
217,4693303.966244444
218,4329409.363632136
219,4434953.144477039
220,6218428.8516404405
221,5482505.990623858
222,3607488.850934185
223,4129082.886021718
224,4077987.5501031876
225,2937064.5100817108
226,5504133.475686
227,8269600.609833203
228,2096796.5188911594
229,5066858.481705678
230,1290540.5185775482
231,2972313.3006116855
232,1986045.2072022746
233,1297247.1014081752
234,1269126.7377009047
235,1183120.1626674584
236,1662761.6560275347
237,1355062.5479230233
238,1065297.9967454674
239,1695532.5665712894
240,1835447.7152426075
241,611039.2376233612
242,1177278.4936646838
243,1429316.4764200626
244,989604.3363323093
245,625579.479437167
246,3409694.756816609
247,446516.7677991011
248,1471685.2952818573
249,774569.3418257971
250,387207.2224444229
251,1403066.8874410437
252,781205.2697409926
253,551316.1239604028
254,468690.75334463804
255,550009.0214078123
256,630802.6173103596
257,432829.95736683434
258,228644.9197676208
259,319050.6037332973
260,450754.84481377504
261,1189265.0679123949
262,179270.39766851824
263,193291.42698256666
264,241489.42913728612
265,148090.14396572992
266,683056.4876818941
267,198842.08480664776
268,174578.85516109626
269,246949.13636713606
270,206307.01299511714
271,533394.2334675667
272,155857.31927208893
273,222388.89945153685
274,252319.0297522291
275,206003.80647785336
276,82310.07750702427
277,116374.80892378911
278,177484.84692988262
279,124988.07629802254
280,443928.243484508
281,153340.47609276438
282,157951.80320987542
283,37159.24513496362
284,70122.66823825326
285,92876.99351330545
286,92404.02581346453
287,104917.1082313842
288,51076.8896561733
289,195878.08620119977
290,62263.82696309851
291,154965.12984250835
292,72380.25587519596
293,57811.607492482275
294,82940.57121728722
295,67816.581910847
296,70916.22065258688
297,94516.05203043495
298,36763.69895585697
299,427815.2918739483
300,44626.17586913735
301,48259.88720360387
302,162767.56876702709
303,27869.65532290832
304,69257.08822598621
305,67808.91215503603
306,50861.2115039543
307,109383.68776615096
308,70558.64966727814
309,32307.12918242394
310,37934.300323277974
311,95820.57394454611
312,64349.541536928504
313,214677.4657683994
314,34173.25082846242
315,137271.20113683512
316,60845.31242365852
317,96471.63079042605
318,787623.7549796816
319,59658.98452208669
320,31111.042348735547
321,11345.337344370137
322,36482.51612326828
323,35668.81706596061
324,14453.712681283147
325,38622.70105241875
326,66709.09229347539
327,14695.422942089397
328,12585.054708936414
329,57962.49046979967
330,24869.469183092213
331,19401.698532336533
332,19681.326760212352
333,10478.945324465662
334,42551.15797089784
335,53820.17093773815
336,19314.909880730935
337,34976.468947185895
338,32438.342217091846
339,37121.20378559071
340,36465.977192758604
341,81490.5855273146
342,24757.03963103913
343,20484.177010206782
344,14928.090500546978
345,9564.60693595381
346,9357.837095970775
347,7688.842797612257
348,14596.616603254868
349,14070.034682982518
350,24324.0755477604
351,4412.469212165525
352,13324.499702198102
353,28413.208305786073
354,7685.592430697764
355,5706.765974411415
356,16194.027987076177
357,10840.067868566442
358,26738.93850570364
359,5679.2386499434515
360,6483.621118265499
361,16142.231819871084
362,7661.431505387592
363,27806.094984318246
364,3299.2830011302826
365,18465.880054096542
366,10715.21629601663
367,21708.976774355942
368,15476.541571829062
369,20887.899984354026
370,4768.524611375552
371,6160.609947204131
372,55527.654055242325
373,5877.007290143068
374,9010.72165020465
375,5890.324788603813
376,27239.67203169428
377,2606.8516837623306
378,2141.195109530746
379,3056.4390575770276
380,13427.999437765082
381,7708.523870452269
382,6420.9559564350575
383,2982.665521872876
384,5445.715294753058
385,2134.0180014062125
386,1404.68423639222
387,4093.865100602524
388,9161.549227607578
389,2568.29064821747
390,2964.649069221555
391,2329.264803055871
392,3276.559480957946
393,16393.323243850376
394,4432.330716639351
395,23713.195431601205
396,3155.71627043334
397,3092.7852615491397
398,5354.998732663274
399,23409.247192953775
400,42131.35155233797
401,899.520378742261
402,613.539900572519
403,9612.30559690108
404,4043.6191216667007
405,1504.506525703181
406,581.8533684123238
407,1526.6885945744405
408,1978.6645121030967
409,27790.381770391887
410,973.9642008459022
411,3444.108028592055
412,2705.020856467599
413,2504.5669197194675
