,Local (|)
0,290.47606937686515
1,225.50400113614043
2,206.05942680513022
3,221.74735985188036
4,238.00967742400618
5,252.71380488261332
6,269.2796973287201
7,280.5793035211316
8,288.87103923010716
9,294.5393772691681
10,301.40526299356753
11,311.80916283635275
12,320.1373111910145
13,324.4674463255001
14,330.0998002971505
15,335.10896367523276
16,340.31675012075493
17,343.393592769479
18,347.4238509244017
19,352.02771113751174
20,357.1546262387439
21,360.2764438263844
22,361.12703581626823
23,365.29683984177484
24,365.4660930152833
25,367.88854853406224
26,370.6533534730596
27,373.06421283413613
28,373.61230822314906
29,375.96149076550523
30,377.0089695780589
31,378.44084742310173
32,378.959400734907
33,379.4080543482905
34,380.57711450955895
35,381.5957020861889
36,382.65817812266084
37,382.3815046599153
38,383.35440188466265
39,383.88414311769293
40,385.83377024314274
41,385.8533161058751
42,385.9870199276767
43,386.48683130659595
44,387.4185563269793
45,386.37380134250066
46,387.7334323163652
47,387.2438478483925
48,388.7981486434019
49,388.81580189768806
50,389.3628937591797
51,388.8815778149635
52,390.06109406159555
53,389.761623875216
54,390.0100180857013
55,390.1061385159281
56,389.6082994814998
57,391.165132239687
58,391.8203770829299
59,391.24581234335494
60,390.99360993779993
61,391.1844993595069
62,391.6442350248875
63,393.19161710298414
64,392.3010321417767
65,393.40867961073127
66,392.4833532365004
67,393.894505941017
68,393.59847882847845
69,392.9506293435025
70,393.20537378525654
71,394.3468728888189
72,394.3681615602538
73,394.85318768388885
74,394.6087372131047
75,393.8578146894065
76,394.7340656895779
77,394.75018261068885
78,395.4167715058263
79,394.28625453889794
80,395.101722128267
81,396.48392562807356
82,395.5740739909696
83,395.7757838685643
84,395.0777986655041
85,395.4800607309307
86,396.03117758310555
87,395.9098773040939
88,396.3447498510352
89,396.0322092716968
90,396.52306962291806
91,397.5340334811433
92,396.9065565090231
93,396.1105256931794
94,396.8672016606514
95,396.7390852142677
96,397.32023857746395
97,397.1719557998606
98,397.1361013539443
99,397.72712541564744
