,Local (|)
0,409.2505749931124
1,399.9029884009344
2,389.3586246584934
3,382.2854074149213
4,382.9294264031545
5,381.849429855686
6,378.02422010921805
7,370.19337094923
8,370.4601908522306
9,358.47094551203605
10,371.09063711003296
11,369.16288101465886
12,363.9373253313782
13,368.88510099564064
14,363.3478896476296
15,363.5073912410738
16,361.71355037771855
17,355.9563349242637
18,354.54629745971005
19,348.7899343390609
20,355.7318846596076
21,353.6816514432341
22,345.38947847302103
23,349.85068767742354
24,344.47168348453636
25,351.34494805934634
26,343.25888846962465
27,336.3119104313341
28,336.0020251584526
29,331.9283783602082
30,339.704076400328
31,339.1298077696269
32,329.5340697021944
33,336.844235932243
34,329.7530766506049
35,329.3304956894468
36,329.0736947812292
37,320.3203553081936
38,332.78487356432015
39,328.8213271895344
40,322.49152395260484
41,321.17825049517154
42,323.9884787527013
43,322.10683183605164
44,329.3357906753442
45,318.89329558688144
46,322.9824651198806
47,316.52578905096124
48,320.9982625818392
49,319.30063835397794
50,316.6725239786353
51,316.2861418041495
52,315.05215591372945
53,314.40038278957724
54,321.23052665835223
55,320.1359794118132
56,309.43152597843164
57,311.1520652282219
58,307.5372505903462
59,309.04007017725564
60,307.07273841792176
61,307.72139403136
62,312.7882247757987
63,300.41871954695137
64,302.74559455800085
65,309.2272442032798
66,307.51404008199984
67,301.9463769920109
68,301.317300372332
69,302.9976602622757
70,307.85998907660723
71,294.0450718760176
72,297.1661488770282
73,298.5943278659781
74,295.85514914451136
75,302.4991466771145
76,300.53637523952625
77,297.52397363373717
78,300.2107371509023
79,290.68843225973944
80,295.30752098167835
81,294.43661820740584
82,288.78737271841635
83,289.3391587527301
84,294.017590574208
85,296.70851276815256
86,292.6848171715938
87,283.66000658851
88,286.001940214914
89,286.7290770039998
90,282.94956976499043
91,288.46083821508324
92,288.83786909219185
93,292.0917283643315
94,288.57984095755546
95,276.7580529336682
96,284.2721949287361
97,284.3881467181836
98,268.70473851582943
99,277.26248574027977
100,289.6032139681957
101,283.34225105617486
102,279.82377320294523
103,275.25572288035465
104,276.5079820611034
105,272.2496640180127
106,275.11891501592265
107,278.14450422200383
108,274.96594541557596
109,274.93844464387115
110,264.4996669944994
111,271.99212209945125
112,274.25752192169875
113,271.51452369362556
114,266.15201928063453
115,262.821423650433
116,271.3875810478637
