,Difference (|)
0,-282.33704811870894
1,-134.894132038217
2,-79.01895820331215
3,-57.65738284349146
4,-44.34292215173699
5,-38.31911525114974
6,-33.91980648524704
7,-32.80573766588531
8,-30.14651534617569
9,-28.630846512998765
10,-28.619188824081654
11,-27.18168849008253
12,-25.319132428711487
13,-25.303312002891406
14,-23.430666092556798
15,-21.479714498693212
16,-23.07621871503868
17,-23.10207081912943
18,-22.595526214859007
19,-22.530626510244183
20,-23.87746389926282
21,-22.597370085843366
22,-22.634813561573495
23,-21.336914552715903
24,-21.601316493859198
25,-21.50235245497863
26,-22.16915828818349
27,-20.939803210433666
28,-20.47105778599716
29,-22.127743911417394
30,-20.90499031445791
31,-19.904433481980504
32,-20.638164037558358
33,-20.836465427063082
34,-21.513896332404993
35,-21.374349876115097
36,-20.342780053626004
37,-19.576996103644333
38,-18.780534059150025
39,-18.975204381977377
40,-18.924817226562904
41,-19.511120060385032
42,-18.48205880883362
43,-19.190042537757748
44,-18.235051465292493
45,-18.6878541935463
46,-19.47937121176893
47,-19.584193205672975
48,-18.48987852215024
49,-18.812856119410597
50,-18.153681874309203
51,-17.164924975125412
52,-18.122990583564828
53,-18.199463999479743
54,-18.161277849761532
55,-18.512873442595026
56,-18.500781406148885
57,-18.95162223359217
58,-18.914910806282695
59,-17.9452518236746
60,-17.090097636960305
61,-17.9983075904615
62,-18.07046216757501
63,-17.5353053426831
64,-17.586841700853267
65,-17.70826239644788
66,-16.314580919137
67,-17.68512669204296
68,-16.89501799111347
69,-17.265241116824196
70,-17.026939722936532
71,-17.269123069413073
72,-17.45891530561632
73,-16.535521118537467
74,-16.204859426498757
75,-17.373694621016813
76,-16.604815042681466
77,-17.10943145045218
78,-17.107194120196105
79,-17.25649623280535
80,-16.752082960925865
81,-16.471848649775367
82,-16.999831569740806
83,-16.767236685724
84,-17.573258029765597
85,-18.279554478938326
86,-17.915023553892993
87,-16.979226309187553
88,-17.274463181074633
89,-16.869003417998602
90,-17.300829957930908
91,-16.607252933870743
92,-16.411646329672728
93,-16.3243781459245
94,-15.478232071133787
95,-15.757920562286673
96,-16.75425680360739
97,-15.948160030722208
98,-15.312891081729925
99,-15.891081072885244
