,Global (|)
0,271.1980444301252
1,144.16217972773336
2,89.04848399246525
3,83.4702718889381
4,79.96251986915487
5,72.64000614029507
6,69.3478528290513
7,66.79701790484937
8,64.48557415747236
9,63.82165775688548
10,63.44155775720355
11,62.80124445016691
12,61.90309972935432
13,60.594256363229846
14,58.24705302623352
15,55.13211048055845
16,54.168029934948464
17,53.662495769040405
18,52.84846623506692
19,50.13869198490745
20,47.985751307726
21,46.87370979212467
22,44.92569589385858
23,43.12947019670089
24,41.46167172179168
25,41.50181900535403
26,40.192497354766026
27,40.26527588350385
28,43.20349937800457
29,43.486287774905875
30,44.44432376749153
31,40.32139542318994
32,40.83590431986864
33,39.943439032650794
34,40.34739177197645
35,40.03308323779294
36,40.11673858512065
37,40.14414669187716
38,38.44924552279479
39,41.86397888716222
40,40.3983415691023
41,42.15116040557571
42,40.18424354142984
43,39.490434771443056
44,41.26252599830951
45,39.03307983655687
46,39.05406065462255
47,40.76108989997036
48,40.01040789990387
49,39.29907212959966
50,39.16198200050981
51,38.12163702203942
52,38.971983595868316
53,40.3694492526418
54,38.28159186534287
55,40.3796938912849
56,39.95724786837456
57,37.67424360099942
58,39.213902332812516
59,38.317722979014306
60,41.09436509744754
61,40.257486281048976
62,39.803721290537915
63,39.5964880158771
64,39.25860258411729
65,38.06893312564298
66,39.20898804860602
67,37.142794025897736
68,36.70322549902231
69,38.36258927066032
70,38.40544893189173
71,39.073136319016214
72,38.68254840019287
73,39.88008552396455
74,40.40654726220936
75,38.17315935167484
76,38.71429267400066
77,38.04304276808273
78,37.682554863625235
79,38.60388575183456
80,39.6017853639747
81,39.74202085018428
82,38.33925473217468
83,38.48606701525971
84,38.91387697273005
85,37.847717602316294
86,38.42111190537823
87,38.44680002990387
88,37.955490569997735
89,38.4678741664029
90,37.748713439066606
91,39.979780968301476
92,39.61860790401097
93,39.352635344690505
94,39.58571599666956
95,41.029858892334104
96,40.00590434663989
97,39.93454303673509
98,40.362324565817765
99,41.08093985291836
