,Difference (|)
0,-410.47060856438964
1,-410.3418836825755
2,-407.3100964420406
3,-392.8987619570827
4,-397.7685768460091
5,-394.0692041761977
6,-392.95193638435745
7,-386.82906993237634
8,-381.4157485038325
9,-378.8061710624194
10,-373.2612107682742
11,-374.1705703972364
12,-372.2704710866203
13,-363.24111505787425
14,-370.4842446702194
15,-367.3525713713635
16,-370.434413112861
17,-364.65142004709014
18,-361.8036736073177
19,-363.3750126144027
20,-356.56926379864274
21,-348.78960659655974
22,-353.9543309820569
23,-344.2358431120075
24,-357.1734056993885
25,-348.4266491548236
26,-346.40161727203144
27,-349.6971019620951
28,-347.693756305995
29,-353.0885986637747
30,-348.8890811349269
31,-349.3966326332768
32,-346.9760460799123
33,-340.43022940246743
34,-339.0499457163213
35,-344.1852780400096
36,-338.48115457961626
37,-342.0340329143999
38,-344.80566683947694
39,-327.80077761664677
40,-335.8594201756982
41,-334.5365485633482
42,-327.1444680326228
43,-328.72438881955384
44,-336.4649155351846
45,-341.9311244679294
46,-328.8845091404573
47,-325.6163230608331
48,-324.255223157954
49,-326.3978510982415
50,-324.8981884549453
51,-320.3613031047953
52,-318.3699726621371
53,-319.9275122287625
54,-315.352917408574
55,-319.1792187610937
56,-319.22094236990245
57,-317.0862434255156
58,-318.3208513758102
59,-320.70862281880085
60,-317.8017109427136
61,-310.804523901707
62,-320.23562624903565
63,-304.52737676051476
64,-310.3232926653943
65,-308.40323614144484
66,-314.34938157255027
67,-308.04606938465525
68,-306.84039146111326
69,-305.17084941872093
70,-311.1344577555894
71,-299.3698234595005
72,-308.3989859386736
73,-308.2392488172986
74,-307.53154533000793
75,-300.30165791829603
76,-304.4598582430668
77,-300.00119418660836
78,-299.95969552041043
79,-301.91497043228185
80,-302.0213970152054
81,-296.65958326845646
82,-289.74368542431154
83,-295.3863494893759
84,-292.2878359935743
85,-287.94478312314226
86,-279.56944198988305
87,-293.6701905375133
88,-288.52319052418596
89,-289.34754137007366
90,-288.9740491178283
91,-285.48711761674804
92,-290.04657514725204
93,-287.56800080622065
94,-285.1400942617164
95,-287.2731855127894
96,-283.22041245535837
97,-291.4104046924342
98,-284.8237607636406
99,-278.6031714157402
100,-276.7444403633867
101,-277.34751791325675
102,-269.7655814801223
103,-272.7914545656623
104,-280.4688152736195
105,-279.1432781298913
106,-272.1831177844031
107,-272.644192918412
108,-270.0291791323445
109,-269.5966355234514
110,-264.0162292555209
111,-266.1014332410443
112,-261.1310070082658
113,-269.9971566474098
114,-264.63039020386276
115,-264.8503952461004
116,-259.89692237337414
117,-269.7841078115928
118,-263.82030804949073
119,-256.1485124503554
120,-257.64216992567873
121,-264.1374372487284
122,-257.7812739432648
