,Global (|)
0,415.06805795894496
1,396.73256237773813
2,392.1054991075019
3,391.0495604627494
4,390.0191128486317
5,386.42639913786115
6,375.4853068908585
7,376.0574216878124
8,374.2704009613151
9,361.11455035447204
10,367.4314844343077
11,372.60329981501377
12,357.2436625765872
13,365.3275637065761
14,351.8131188347691
15,361.07900718265927
16,360.0225226319763
17,350.3011055569653
18,364.5001623358973
19,351.36500836899125
20,356.95413826229526
21,356.43142182284674
22,348.5389191688005
23,347.69609740953314
24,348.8052388410452
25,346.7919543055202
26,345.7013649226419
27,341.3302754469722
28,339.2225097085781
29,331.0523461904013
30,328.6179861062538
31,340.32385641361924
32,334.9837356722027
33,329.6981136168387
34,327.03371954722456
35,332.24613096422496
36,322.61019689487233
37,323.97200178632517
38,319.0581248281075
39,319.14443728521076
40,318.86198497963824
41,314.72919785385443
42,323.2012947107533
43,319.98752403339233
44,317.2196717563513
45,307.3411495517495
46,313.5147262460725
47,313.6041496616233
48,316.69213358798646
49,318.2099342885719
50,311.35266851458465
51,310.15825154196773
52,303.182704112558
53,310.0482855498062
54,301.9923638676507
55,307.2422959072033
56,300.18430959645605
57,301.5973206667892
58,303.5633481595463
59,297.61183595587767
60,298.5975800908567
61,298.4486347995583
62,295.61802053989635
63,308.05707791357815
64,287.3759524824079
65,289.1829947129861
66,289.0327806180403
67,291.2519738220557
68,288.5815168887424
69,292.1900288726327
70,284.3452628698076
71,291.96192265647244
72,294.002713843393
73,289.61229612574186
74,288.745287665263
75,291.358279883392
76,279.38074386798604
77,279.10280807614015
78,274.8878728521911
79,278.88747949043926
80,277.5940910677758
81,283.9140600009465
82,281.01435617963875
83,275.3239885897272
84,272.24568077401864
85,272.90241312233957
86,274.5605397081984
87,266.4257516640876
88,266.5644744107151
89,271.92122566666757
90,269.60493030805793
91,271.58378018997684
92,270.7496575130502
93,271.4742652016218
94,269.3150123505739
95,267.83801940746815
96,255.904859123838
97,264.921782021309
98,264.07615367836763
99,262.58008967382693
100,265.63245420177515
101,254.50199936989696
102,254.86894740799826
103,257.2197107261583
104,247.706658980476
105,256.1458800234776
106,253.34605613500685
107,253.9396168736593
108,253.07606439923887
109,249.49194989119917
110,249.4230740044632
111,252.49214044983634
112,254.9496703653891
113,239.20871799953304
114,246.8721206962521
115,244.0260681883636
116,239.32849754660202
117,245.04111250425044
118,244.7062088854162
119,251.1186040679435
120,246.59211023377054
121,241.95827843748395
122,236.8169515557093
123,242.27034452795309
124,242.76507196219086
125,242.44140206606804
126,233.88130101525576
127,245.28594455931324
128,240.44992223649868
129,238.13485141410746
130,247.38259146973633
131,243.27163278391663
132,240.66084422302436
133,235.65453987968922
134,237.9468983901666
135,233.7221866076351
136,242.41825539308675
137,232.26173726471987
138,224.84729212019883
139,232.38399595150463
140,230.47312169925254
141,229.82224342011028
142,235.88990558119187
143,237.5481975279851
144,223.27415003615675
145,231.45580959992938
146,232.715874181852
147,224.53930638369425
148,230.07951030526496
149,233.12559202917043
150,228.0038091441639
151,224.0816167895382
152,218.59830324555637
153,215.49467054375134
154,228.06806682251246
155,222.6881043861575
156,220.06601578729158
157,223.09297408322192
158,219.9749143899606
159,218.46376862446314
160,212.82899212030247
161,217.84367688515806
