,Global (+)
0,5.454487462052485
1,3.6748428730128095
2,3.1054535152266562
3,3.011361264138982
4,2.993253837715594
5,2.9856683181912826
6,2.9800633328514516
7,2.9845508583209024
8,2.978443584203804
9,2.973330389301436
10,2.9664724680667245
11,2.979054858003608
12,2.9816361690967237
13,2.985044176681417
14,2.9902870648359907
15,2.972893520167048
16,2.9712500123447008
17,2.958725740566922
18,2.9623294874390433
19,2.9615609719898526
20,2.967821618643266
21,2.9688947372397076
22,2.964581130114037
23,2.9695901457065603
24,2.956665432751241
25,2.9570744322920994
26,2.9533257556683417
27,2.948940341468745
28,2.9308873094858465
29,2.9315653753992064
30,2.946391514841691
31,2.942719010693651
32,2.9431265210970254
33,2.939134200232664
34,2.930239304690988
35,2.9391623197917074
36,2.9471441372074247
37,2.9430301730514
38,2.9439859754101434
39,2.943637457856495
40,2.9446661551635276
41,2.935510946620036
42,2.9368496044471986
43,2.947937445900081
44,2.9443827818392716
45,2.949355580827646
46,2.9537048017750482
47,2.950826582121276
48,2.9534566070988224
49,2.944695445667166
50,2.94051146919438
51,2.9323044799063225
52,2.9388151025377414
53,2.9310587147612255
54,2.9294577141800766
55,2.9306449471319707
56,2.934075520642506
57,2.929253459453026
58,2.936743278291363
59,2.93238419719367
60,2.9250866879800608
61,2.9364257931225013
62,2.945331476630349
63,2.9386330532522633
64,2.931029578886867
65,2.945205139030956
66,2.9489178514299135
67,2.9412032767806977
68,2.9543747565975536
69,2.941585513740755
70,2.930609675403663
71,2.9348258620469583
72,2.944640502534698
73,2.9214770511959745
74,2.9348761304916304
75,2.9423425373175824
76,2.934166936722073
77,2.9368819525973193
78,2.9426448980831577
79,2.9388583029522044
80,2.939160162152206
81,2.946678520727266
82,2.938216757011704
83,2.9326629380909917
84,2.9380097825810805
85,2.9266329107327675
86,2.9328397438703537
87,2.9383369833438877
88,2.951462886343326
89,2.9474232677152723
90,2.9329101258078594
91,2.944029781394095
92,2.9430100579217173
93,2.937899232849468
94,2.944484306102559
95,2.948862296051671
96,2.9365113864154013
97,2.929903104275841
98,2.9369436308553083
99,2.9389405944140083
