,Local (+)
0,5.827457735052394
1,4.840239571065385
2,4.577297740870782
3,4.794075903535697
4,5.103449984950865
5,5.297572750866282
6,5.567598909098439
7,5.771751184178024
8,5.8773253631825515
9,5.968042688599669
10,6.055050433050798
11,6.201074002431434
12,6.327306191100978
13,6.453140123132198
14,6.507770164798969
15,6.582519931204282
16,6.687604712246213
17,6.714928457836461
18,6.8040445089373565
19,6.855221377397165
20,6.913147910547512
21,7.020058362508346
22,7.034986821337315
23,7.093940195052113
24,7.117216193169045
25,7.131334995800307
26,7.166456342537774
27,7.200430515241713
28,7.246938756617903
29,7.254387795404365
30,7.28092445603234
31,7.294771654008173
32,7.3145175328081145
33,7.354045252772478
34,7.355332081306548
35,7.378451915310319
36,7.396671651334189
37,7.403465543771667
38,7.407536793851542
39,7.4155058039523105
40,7.432929428792138
41,7.42333116418363
42,7.44802698374387
43,7.454892672463734
44,7.463536901088913
45,7.490755978365582
46,7.494561061197038
47,7.504665929229212
48,7.510689558617875
49,7.494204681379929
50,7.510772442632917
51,7.502971994529989
52,7.508013909766727
53,7.519582687653713
54,7.536916964128999
55,7.5242398018693315
56,7.546989151431608
57,7.528923070369648
58,7.531160806017352
59,7.542116612000125
60,7.5398886127830735
61,7.55754752886291
62,7.542714003922381
63,7.558657462996016
64,7.57884694552193
65,7.588995080672529
66,7.59399257054277
67,7.579749333056104
68,7.591028449453067
69,7.620230885006658
70,7.622539360947192
71,7.612463577934876
72,7.618764166348934
73,7.633001862065297
74,7.629353904580455
75,7.630284414594427
76,7.64017681264107
77,7.628783924382139
78,7.6338927874511135
79,7.628524594092764
80,7.651942527181201
81,7.651301222415866
82,7.6413636717525
83,7.65106356842187
84,7.652947059856765
85,7.662807184687235
86,7.64244298871423
87,7.639557149535546
88,7.657741498652118
89,7.659821968835777
90,7.672216225934263
91,7.668187587345695
92,7.662094949099265
93,7.667222067277291
94,7.684493548713167
95,7.67835156386347
96,7.684454155432534
97,7.688101029774838
98,7.684930450554691
99,7.682670910036976
