,Difference (+)
0,8.011439677806178
1,7.968080719248335
2,7.679739124397583
3,7.717930088132623
4,7.614017393828642
5,7.6351077579456526
6,7.505723764880772
7,7.4250916153373225
8,7.491271485087102
9,7.3307506254194825
10,7.33495008242518
11,7.221901219232371
12,7.241615359943176
13,7.257507653894123
14,7.137053748477144
15,7.106226447464536
16,7.163240466659817
17,7.097318507407464
18,6.841220825915848
19,6.96054550299933
20,7.033927529314089
21,6.906539968817524
22,6.937817210409981
23,6.842609865826587
24,6.9799696948795065
25,6.924002683073243
26,6.890397346501872
27,6.792253422566192
28,6.7099088237912765
29,6.741667759872828
30,6.733626932920783
31,6.75996292529124
32,6.739613357136138
33,6.581413272688585
34,6.719485033833205
35,6.624521332976842
36,6.56391516052022
37,6.62153634260445
38,6.4688670178980034
39,6.637763247152273
40,6.347438769851947
41,6.51116976832946
42,6.493559517101718
43,6.48241938963436
44,6.440716892808088
45,6.373980383264692
46,6.482712376320936
47,6.313494155169703
48,6.514985207397893
49,6.297758819782174
50,6.333874733422379
51,6.405023702291009
52,6.326081164647762
53,6.307578154919685
54,6.2946129615192135
55,6.201652582677893
56,6.371901819639182
57,6.310465762766009
58,6.2537844867091925
59,6.354032961064338
60,6.215256947220171
61,6.121113935488937
62,6.232084394034794
63,6.183097114814437
64,6.130174770082392
65,6.0904692526293385
66,6.162712310426962
67,6.12633268171293
68,6.069403015197185
69,6.219283553163108
70,6.185529376762522
71,6.007439666043009
72,5.97031881651017
73,6.0327149715948245
74,6.043679429739136
75,5.880879197293073
76,5.984424401932796
77,5.98170533784978
78,5.9450581280821595
79,5.903534529824565
80,5.991788939593503
81,5.966126888530817
82,5.9804063790165305
83,5.9842032673375725
84,5.813908444998456
85,5.907055325046931
86,5.966787040915982
87,5.9928608372834695
88,5.810763667779266
89,5.757610606511849
90,5.830625356168242
91,5.790540786799145
92,5.768519089488413
93,5.772359677446001
94,5.8269191464184
95,5.7181234925961775
96,5.76944824492616
97,5.705079355129639
98,5.71944159527864
99,5.7067208006674885
100,5.7416251487908525
101,5.781485254388189
102,5.668999652053903
103,5.714602944942256
104,5.702159538519369
105,5.743492872812515
106,5.655805971154413
107,5.675500944888094
108,5.581507816649281
109,5.62524694913968
110,5.56086546286382
111,5.557419742852165
112,5.592426282849038
113,5.534377519726193
114,5.36729498134631
115,5.517002936637339
116,5.501903878184193
117,5.375126028877048
118,5.472092499142567
119,5.445482508717915
120,5.486444161339105
121,5.3994050258772885
122,5.444322243451158
123,5.465601754960562
124,5.420133489132933
125,5.2832332343213055
126,5.420755922813667
127,5.468075229123475
128,5.351521394460609
129,5.3841246113101535
130,5.250413386442497
131,5.326243088417581
132,5.297223424910179
133,5.2906510555944175
134,5.315430955582893
135,5.213784025361019
136,5.112530111982035
137,5.160233801913437
138,5.259727006568807
139,5.337207592263148
140,5.1973229618094505
141,5.155704401678931
142,5.246939193346871
143,5.181973316966656
144,5.14082324367172
145,5.227824867900943
146,5.24513962543136
147,5.232448102867914
148,5.109114385268492
149,5.13166796391612
150,5.148607254822493
151,5.091840170320792
152,5.049779955817951
153,5.134569138406049
154,5.077141471827464
155,5.0925391029141505
156,5.080868029334967
157,5.094038369385632
158,5.053842008248685
159,5.077117808495388
160,5.0199717376292226
161,5.012779087938231
162,4.992379020560425
163,5.0467731330463605
164,4.954235516084665
165,4.989243423425102
166,5.01343714379334
167,4.9027331307453474
168,4.891314143606091
169,4.974426405983569
170,4.919602368314433
171,4.8848840099043445
172,4.854294825832998
173,4.965723873480343
174,4.8083758761739235
175,4.891257251194385
176,4.933483737042115
177,4.950185850609867
178,4.8199956456336706
179,4.8368956666074165
180,4.752535907571945
181,4.718835427835187
182,4.8349810215101225
183,4.735871145611865
184,4.605817424538417
185,4.738105372377158
186,4.714090914691941
187,4.710363715811902
188,4.5902158901365615
189,4.661696238981703
190,4.599080073733998
191,4.68532570397498
192,4.758785704122096
193,4.633015891567943
194,4.667068114638785
