,Global (+)
0,7.937742361045728
1,7.583476746259558
2,7.586627879987468
3,7.467610321034502
4,7.414765409446185
5,7.289032450074538
6,7.193475154830647
7,7.237956783419067
8,7.01838927853816
9,6.980314431071961
10,6.926758191571539
11,6.863102625732365
12,6.888832888105799
13,6.84092251681913
14,6.752245279558838
15,6.807810847318423
16,6.756548423623426
17,6.6010863934062
18,6.7718562569469825
19,6.617039886629535
20,6.62504576350509
21,6.555980855101915
22,6.5205341597195545
23,6.509141750335626
24,6.517192938566966
25,6.474825934790192
26,6.4574661833668925
27,6.458704835596668
28,6.349031778254204
29,6.496504935907051
30,6.329410291988205
31,6.3186761701575564
32,6.450292520491692
33,6.3563179585496306
34,6.379880411040319
35,6.237862064191229
36,6.170036488162105
37,6.21334595544814
38,6.237863157809967
39,6.200575040240968
40,6.3136721771146815
41,6.235394078634275
42,6.1573760669269015
43,6.067194681059104
44,6.1350340071404545
45,6.148871733704777
46,6.0721010868603535
47,6.106152557743837
48,6.029410306946817
49,6.070448389010434
50,6.071875748046969
51,6.000518530052781
52,5.9853559839499795
53,5.934735309785233
54,5.926046300705326
55,5.9621757252554275
56,6.021801472455168
57,5.96094073467166
58,5.986267290688217
59,5.851239651294432
60,5.9348962615421135
61,5.946308647119008
62,5.86711813565757
63,5.872408987582811
64,5.782467776162056
65,5.803741656551694
66,5.8653374606745485
67,5.798536055976803
68,5.785932582140116
69,5.738003663778989
70,5.71010941964238
71,5.642962258299047
72,5.7180424271181165
73,5.6611631322762275
74,5.606870581185045
75,5.778647729997705
76,5.61366143320691
77,5.64624636727185
78,5.674442911435716
79,5.5586718401940685
80,5.570644244232273
81,5.55254210438743
82,5.563747710822171
83,5.55225168577246
84,5.540360817560843
85,5.499024042722022
86,5.4547578196979485
87,5.403955042488177
88,5.449682169994362
89,5.482601520853339
90,5.511949378135058
91,5.450851539741577
92,5.39021061183183
93,5.398906215543736
94,5.362628249934787
95,5.392606286710417
96,5.283304759296129
97,5.320483248517749
98,5.34943001706547
99,5.33699946494057
100,5.261390170963832
101,5.231113319398371
102,5.290877517089436
103,5.276272251705721
104,5.2592267760584095
105,5.318105379944867
106,5.234898022573836
107,5.2389591818213495
108,5.153978715868786
109,5.142123153539269
110,5.1296697247368455
111,5.106477734155318
112,5.180634667389011
113,5.140631281583438
114,5.067116361095071
115,5.0580734276635475
116,5.070879501686042
117,5.101341865573951
118,5.069605097314457
119,5.088413640400449
120,5.181608905297002
121,5.036156504882564
122,5.068640785321265
123,5.035709654607293
124,5.009062124134576
125,5.0833220073394685
126,4.99915236502696
127,5.0473378228839785
128,4.948607889674141
129,4.925382767943526
130,4.9896845952047775
131,4.94184739428793
132,4.906372413589214
133,4.873721134625855
134,4.95267705175783
135,4.939673737093863
136,4.920295100416844
137,4.893058945369949
138,4.9177967489217425
139,4.839582754742889
140,4.887906033857646
141,4.845927456548879
142,4.819483793481676
143,4.845430687640252
