,Local (+)
0,7.911816963660968
1,7.656111203522091
2,7.501460090134743
3,7.331405141606135
4,7.4069404139087816
5,7.269928986486649
6,7.238593368358269
7,7.08080024828401
8,7.086617222363773
9,6.961377193573969
10,6.9797652263958625
11,6.904734630893568
12,6.823602585450953
13,6.994299056758685
14,6.80114102891442
15,6.7432894014049225
16,6.889754680935649
17,6.85550978727813
18,6.698172542260453
19,6.780995115528606
20,6.795362855723728
21,6.8082666192670915
22,6.619909970117642
23,6.58031544372309
24,6.578667930563381
25,6.618721156155993
26,6.595879014053956
27,6.3957998110550465
28,6.557341686740726
29,6.505003071757955
30,6.561104477230766
31,6.451449467499565
32,6.528391498681576
33,6.541081471386625
34,6.46105742556534
35,6.441572184276049
36,6.356621604811097
37,6.354970602677871
38,6.393609882757176
39,6.363560685632547
40,6.328590195162025
41,6.366586646200624
42,6.334452125864711
43,6.316506715093626
44,6.335228695318962
45,6.345498455084101
46,6.328702775946541
47,6.29762777736763
48,6.276484977212746
49,6.263141517146645
50,6.127483098976193
51,6.221198008789314
52,6.1861730020565
53,6.151662932491412
54,6.15312110069293
55,6.189164361912337
56,6.196738266293926
57,6.177091960588118
58,6.187674018160154
59,6.179667179660053
60,6.137341784502426
61,6.095312572155686
62,6.129611159954499
63,6.048687312377983
64,6.120178029218824
65,5.9459010836606305
66,5.915709835027193
67,5.967030697603176
68,5.9079225866639495
69,5.98909296351845
70,5.953749933599983
71,5.884695546412077
72,5.923344867333939
73,5.972527035505696
74,5.841219035587998
75,5.9089188214624215
76,5.715941632295996
77,5.850752321498494
78,5.910874001618175
79,5.836974541444939
80,5.914125536944728
81,5.71771870434919
82,5.770947415047952
83,5.8156202243208455
84,5.7772951614875145
85,5.694850059557895
86,5.824405872912673
87,5.7977877743601525
88,5.833728985606553
89,5.790967633709204
90,5.731832134598408
91,5.698335219367698
92,5.807569793518651
93,5.76050152655343
94,5.715964948173061
95,5.7033051561396775
96,5.644748530186752
97,5.655490888691033
98,5.656764724329645
99,5.719266425617287
100,5.651678309543592
101,5.6718275056329395
102,5.659022941959558
103,5.591442764527305
104,5.636465334833977
105,5.585793795132723
106,5.606265351142453
107,5.609567783930799
108,5.534337440812074
109,5.609309749126319
110,5.620931317973888
111,5.577835849166324
112,5.491336742724783
113,5.541481077647584
114,5.569622873881374
115,5.553312632827364
116,5.591480027773707
117,5.4857818830984
118,5.5606162996410955
119,5.543009756309654
120,5.521543171896164
121,5.510186644940789
122,5.552663450138241
123,5.392574642790132
124,5.487571897628088
125,5.49516348553087
126,5.532471710387002
127,5.548758566206198
128,5.469984228771575
129,5.582190685813354
130,5.387846554827869
131,5.399164847595585
132,5.373650037779107
133,5.512916484798446
134,5.426569356992309
135,5.317627524323829
136,5.381647400251519
137,5.416846947323775
138,5.354173528575
139,5.435651332077004
140,5.367714142798083
141,5.427205480969021
142,5.488219620672322
143,5.553631947653585
144,5.375912246418839
145,5.392659977858551
146,5.310634726772872
147,5.417130153317377
148,5.361522323500367
149,5.297982850328857
150,5.259737512643664
151,5.328499996208285
152,5.281080263795866
153,5.298920832736646
154,5.305330060573898
155,5.312027837578091
156,5.277943396758832
157,5.211732290902992
158,5.284874923985267
159,5.295602288467468
160,5.228038637033129
161,5.2151166480242885
162,5.350647775113394
163,5.290982090936594
164,5.118904775222628
165,5.399400974987047
166,5.178809871710156
167,5.311767902016098
168,5.213773354960662
169,5.256671876737496
170,5.130332680655434
171,5.183775527234984
172,5.257929894309892
173,5.165776614119292
174,5.280059224049386
175,5.038730278140312
176,5.149937458567312
177,5.206900056734125
178,5.194272200190486
179,5.130020441360006
180,5.121930197374701
181,5.096012088809861
182,5.103426109472708
183,5.016468465534719
184,4.99894359523043
185,5.216424251903667
186,5.085453164507222
187,5.270856954222495
188,5.131081068564946
189,5.12063581469715
190,5.180375103708544
191,5.076760422476257
192,5.100915181095432
193,5.029564173198391
194,5.105687842365409
195,4.996620791347064
196,5.07963978068456
197,5.17258740338521
198,5.108662601687098
199,5.064160873505505
200,5.032693059225984
201,5.099495223126778
202,4.9121074639117746
203,5.021436453738753
204,5.0431280708516
205,4.99261494878001
206,5.043883288298711
207,4.96561766158128
208,5.0481406905288635
209,5.052997574920309
210,4.969581325300763
211,4.9676874317529
212,4.990012042629314
213,5.072412025229633
214,4.96334029562149
215,5.025579049401966
216,5.0142131378407155
217,5.060653566138795
218,5.112843497372382
219,5.007568154219413
220,5.118907551796624
221,4.956772020970499
222,5.0752440547771975
223,5.0028003784281445
224,5.218441608848419
225,5.109867714048933
226,5.089620782844342
227,5.105666788414006
228,5.1233875399217705
229,4.969700533581968
230,4.941394234405777
231,5.002663122229199
232,5.052857659288694
233,5.0546918662086915
234,4.954253850806783
235,5.043683330503729
236,5.003134889054608
237,4.894998460132742
238,5.026148226578538
239,4.994802443182007
240,4.994189648799776
241,4.899801986998066
242,4.9005579137362645
243,4.949742520930202
244,4.888241462086534
245,4.975970412332183
246,4.9310492090212765
247,4.986059960219374
248,4.847943103367234
249,5.050086132749898
250,4.990331371789807
251,4.900536181659076
252,5.0514523967110945
253,4.940226885323306
254,4.797840076792174
255,4.864819468691683
256,4.841321440491507
257,5.059023962832561
258,4.791251520435018
259,4.943489703273229
260,4.76636297648173
261,4.760141622831293
262,5.028110378594188
263,4.9494778744293155
264,4.837154185115585
265,4.7851315908897005
266,4.821206661586842
267,4.852990350180088
268,4.696848557531382
269,4.886859494660793
270,4.725935451998238
271,4.965160710967203
272,4.837371651850385
273,4.918202853723329
274,4.768812195940308
275,5.004028849952491
276,5.139748184349068
277,4.897821026073645
278,4.716338317626693
279,4.811352142095569
280,4.921619319265408
281,4.733163374118497
282,4.97791288712289
283,4.8060790053094316
284,4.879463749417426
285,4.850530376929215
286,4.742835614620827
287,4.762318957056029
288,5.018668577431701
289,4.82597333910336
290,4.86422035225453
291,4.7509745245211175
292,4.800983508816859
293,4.884785137112557
294,4.770421614627177
295,4.777868686404294
296,4.852590443917129
297,4.868832475165384
298,4.9238209083438935
299,4.854003579069811
300,4.814490143113981
301,4.9103315552283
302,4.913006147440581
303,4.887723509962791
304,4.772813404445607
305,4.872535124699801
306,4.912660744575485
307,4.675269500004662
308,4.78206244444547
309,5.103885602577784
310,4.841365319851248
311,4.990311894976259
312,4.694606749554994
313,4.804178213043483
314,4.551012178136873
315,4.7788547219972815
316,4.6551009991082415
317,4.865519128594177
318,4.697477420177821
319,4.778966655481958
320,4.8896709429869345
321,4.810627941542551
322,4.751277568621431
323,4.64482586681234
324,4.848158392250607
325,4.899255635844245
326,4.750930508291222
327,4.929466107388383
328,4.609378527129498
329,4.7281790099747525
330,4.687410582043377
331,4.770014514074414
332,4.798278540574216
333,4.720620442991866
334,4.81245410145513
335,4.691175640159212
336,4.741768463878507
337,4.712818942410689
338,4.653435478809601
339,4.604202850531478
340,4.8290922666697425
341,4.694983228776651
342,4.693043043540696
343,4.756731342268303
344,4.686368290762119
345,4.655235627292508
346,4.834812474138641
347,4.626797544791019
348,4.707519064709069
349,4.689451414711396
350,4.723568747766143
351,4.629892468914722
352,4.802813168169157
353,4.7267965028484475
354,4.914109077118181
355,4.773686752889918
356,4.793630422987225
357,4.7893631612047685
358,4.6861555015288925
359,4.777410919401583
360,4.711461193491866
361,4.764765996889839
362,4.764947230927343
