,Local (+)
0,15233671247.891586
1,49841459.96288399
2,63969780.5072816
3,147915338.60522717
4,587170172.7259316
5,1290489368.79954
6,2574437219.1937833
7,3642005375.1562333
8,4843633345.920733
9,5306038419.115334
10,6081369277.880929
11,8739293413.499607
12,11378125707.474947
13,14171145316.964195
14,18975833040.96701
15,22259235216.740093
16,27718606463.249268
17,30932232114.99841
18,36329840859.19994
19,39608207957.56051
20,44127840107.27493
21,48398276813.22092
22,47674167503.292206
23,53766867369.618645
24,55453039018.94668
25,56225843782.775276
26,62323754562.30364
27,69239225370.2188
28,73339702749.75136
29,75793707415.04114
30,76441420191.94696
31,82715476092.37401
32,86098188339.40671
33,94019896961.7615
34,90626541646.44391
35,94072386778.42924
36,93813348299.76514
37,105783888031.98363
38,102285993021.85344
39,111055813324.84935
40,114606038053.82805
41,106368190744.57137
42,112943620734.1667
43,111996927231.17725
44,114572309537.15674
45,118016208777.48123
46,117105109122.36826
47,115048512718.39574
48,119208089878.29654
49,116127873575.87878
50,118845500733.63217
51,112799651130.92525
52,110364219272.65485
53,110008388252.81717
54,115478670724.18222
55,104088410865.05063
56,114758500768.14377
57,105514474353.10469
58,111710511982.1818
59,114816368741.65341
60,112913448534.52112
61,116165923520.256
62,108947377824.81795
63,115482522181.8568
64,118835607215.13617
65,127521483802.1819
66,123855542514.10442
67,121344775362.0837
68,125497379668.03831
69,136943976334.80289
70,130037441485.54764
71,132746991912.17151
72,131119393560.85442
73,137479398668.51968
74,130649751996.04901
75,132155306635.12465
76,133474301835.87993
77,128778099450.53497
78,135565412990.90125
79,132178488339.45955
80,133296784644.64249
81,135352409454.33177
82,131466774894.67653
83,134824715869.93605
84,133583838485.66504
85,133379392825.72922
86,135763108478.98534
87,132204871000.47935
88,135013503396.2147
89,136518213245.60806
90,139491545258.0297
91,137076910653.68225
92,140612994713.1629
93,135068198296.7374
94,142926747763.14554
95,140593456391.28568
96,138037713519.2132
97,142037708766.03918
98,143127274768.01282
99,139781739363.45944
