,Difference (+)
0,244332829788.49683
1,206383705003.6445
2,166130150122.4606
3,139255837069.83328
4,146983445392.10077
5,152220791154.1601
6,107110867619.99345
7,98979485314.64545
8,148169700916.50412
9,113218218280.41496
10,130658648466.50525
11,73136693554.91766
12,62062448344.95838
13,104601476163.65459
14,102307759463.30673
15,80029773491.45053
16,62835777823.56485
17,28917960982.774452
18,47028860908.64105
19,36004219088.38526
20,44123364109.11437
21,33387933529.397717
22,55506210325.13882
23,16927858137.96242
24,54667608006.10725
25,47485908918.607056
26,51378476474.21904
27,27502932810.92982
28,29176586532.391895
29,21504597352.557533
30,21555635818.475433
31,25241704316.323643
32,25449314779.42818
33,11744715887.103931
34,26609016974.81959
35,13541903467.508726
36,31479973156.20857
37,31267601722.216568
38,21807321754.33833
39,10027742199.407785
40,10679296703.46899
41,16269745461.138016
42,23265872121.346786
43,42993442316.821625
44,10464953202.931782
45,14976004528.03658
46,16347506519.435349
47,9636452909.777645
48,18974427212.920147
49,7855026346.549117
50,6965624654.667479
51,13263018307.762852
52,23098878754.51714
53,8172877160.837043
54,18906744071.326645
55,15426167546.993517
56,11703716810.18586
57,15080424132.797115
58,23927066703.385017
59,11913324593.518822
60,7030413954.572698
61,6421936600.560155
62,9162055057.02176
63,5204548418.915464
64,7736178300.239862
65,11825918687.223223
66,7157071797.108109
67,9555431911.179852
68,8806567258.403336
69,5045154924.626691
70,6569929639.521576
71,5063401644.891135
72,3796884086.158368
73,4344624970.73342
74,8533901817.654638
75,3023441146.45348
76,3365121046.081618
77,3834268425.236611
78,1788270342.3907537
79,3929904938.082128
80,6308344780.534077
81,7639469937.970586
82,9350006515.731203
83,1656290119.1451778
84,6833068041.87458
85,6859136495.721466
86,9314207395.700396
87,8325044235.898518
88,2796285088.456164
89,1295827337.8697555
90,3770530660.708432
91,3309509945.7383237
92,5656478250.553332
93,2231741932.4078574
94,4480124931.784898
95,6887653287.372607
96,3645106266.5914416
97,3920213770.317213
98,1885157305.1505084
99,1146454813.1788478
100,5979672416.879683
101,6875076053.054726
102,2633879307.1599174
103,8489195601.217701
104,1997222278.110938
105,4687837193.82873
106,12036547826.524174
107,2861109085.9474716
108,1159261041.917623
109,644483716.3613164
110,1305327654.3089163
111,1114368438.775663
112,641688602.645412
113,3062937318.675172
114,4360121845.029758
115,1465421220.757538
116,1534569654.3184676
117,990616367.068908
118,1154337806.180491
119,1274497090.655731
120,1644685016.0955906
121,1457214263.2968109
122,1142727764.861963
123,1011579646.0432078
124,1637033248.566729
125,921762500.694753
126,2112731218.5046976
127,1597517723.740161
128,450855714.0696023
129,470298839.9880933
130,870608710.135646
131,782954394.0769069
132,714753463.1779888
133,542380534.6842972
134,941150402.501773
135,740686443.0739384
136,54178319.98762564
137,660304815.8932348
138,580329416.3600433
139,1446142799.691462
140,183743667.29762626
141,117420440.60625428
142,705627775.0479114
143,595867066.9364508
144,108836359.75252141
145,238098063.6744387
146,1299539136.9806116
147,279843767.82719094
148,372941832.85020465
149,285103199.49144584
150,343032575.236411
151,520874809.4093248
152,175128696.10242826
153,543955054.9370341
154,186985252.34907308
155,132419057.67168255
156,255580155.26665542
157,226254266.14548126
158,203597579.3504079
159,125108037.40663125
160,139502096.6998883
161,86981425.63629203
162,100499952.00595354
163,169935747.87043628
164,218184458.05263868
165,58036099.2087531
166,191650712.8295027
167,57063334.46776561
168,36813461.904548444
169,289711649.4836862
170,120508417.40583321
171,121916212.96038754
172,50941195.3747795
173,85986774.09488265
174,57008749.61639258
175,692545903.4767112
176,194060070.45468056
177,380804857.62180984
178,67501743.42158005
179,56108514.65180283
180,61600371.3530653
181,62781213.438502714
182,100836297.78224865
183,35366315.01214136
184,58415024.37197654
185,77435470.3175469
186,71305135.42850757
187,20033969.32433921
188,96237229.28143698
189,11372513.751342628
190,6084455.566733062
191,44672186.60351254
192,59416588.37489842
193,11799629.847222544
194,49661314.6587396
195,16015113.924061082
196,68805725.5609538
197,30974817.723955955
198,84333174.65855233
199,54241543.01509744
200,11672234.177845228
201,48112622.46112866
202,5227379.426104553
203,5121234.086351398
204,9145188.157447308
205,37129533.328001685
206,23538928.64697273
207,33487782.856239613
208,1409249.1262898704
209,15260961.488284938
210,6039015.30885188
211,10839637.09782131
212,20045746.802514397
213,68802114.82807061
214,11154687.238245035
215,5988128.835675112
216,32274476.054462094
217,6384103.902888897
218,14929554.252543287
219,6505761.257439111
220,4613024.065695925
221,7396700.971268146
222,8293665.893653361
223,3403758.3813714823
224,8126448.620046851
225,2087493.4133469712
226,4135496.0413081315
227,4759444.585483445
228,2120972.778356246
229,9193481.095141733
230,3187712.3588925367
231,1007726.4571684293
232,3199413.83192939
233,1989194.369702595
234,2625559.7647467162
235,3923085.0521186525
236,2446105.4408348408
237,7151194.128892612
238,2739002.7821021625
239,5815047.9157331325
240,2094356.5812369857
241,1762453.2308645137
242,1157019.5440864563
243,2008710.3428872845
244,15462627.21431521
245,6469115.854858277
246,2063402.4527330676
247,3537260.896107543
248,4507425.46866677
249,1187628.344438973
250,1825178.4631402183
251,947951.6234373428
252,1807028.6315261973
253,1872739.0611263644
254,679953.8278850125
255,617774.0173225224
256,782458.63583541
257,245879.9136594457
258,436722.2404211168
259,1621417.2457376835
260,244071.40048985195
261,717444.523066238
262,1648519.3511674108
263,168466.25168445747
264,562064.6856696579
265,862745.6756621014
266,1729341.339656124
267,419786.31845502125
268,1012054.4746283444
269,3115646.427526329
270,556689.1308043819
271,188541.75677070135
272,317746.55983653764
273,372740.2703094536
274,138108.0355832614
275,2103392.6280959668
276,471478.14637605404
277,930996.3180365901
278,2142245.5943104536
279,710641.052352076
280,175654.9000480296
281,74266.99483839041
282,146610.8688441464
283,91754.34588420145
284,327846.95914896915
285,86862.9013977322
286,542614.4059353251
287,126319.90839198022
288,290938.56611356104
289,169111.83159730805
290,368694.07595367247
291,171072.95718165278
292,258899.56656713516
293,329316.6936596756
294,260728.5844548077
295,557740.8353161082
