,Global (+)
0,283262649148.1616
1,154401463693.14078
2,135181274637.25266
3,125737459866.41199
4,93608931849.57239
5,51194650691.81244
6,52470832578.46818
7,91780700889.42946
8,75190568948.95152
9,61016891634.35313
10,73657407212.72943
11,69427648105.35298
12,69795434319.591
13,41311013922.183266
14,52737229539.52823
15,43223073824.18966
16,68817476038.64008
17,74291404977.57686
18,72767694040.77336
19,66745342411.50116
20,43993590271.016174
21,47804163908.926414
22,46624357967.93378
23,59898629106.859406
24,55692447645.51478
25,64173410431.69051
26,40093034941.65284
27,67447199590.19083
28,28999836736.36309
29,55034392557.501816
30,25218705496.15535
31,30933073043.804073
32,38382886339.174126
33,29812934012.399113
34,44944328242.67248
35,21569325767.805805
36,20493071265.31838
37,24080415786.17414
38,24662975234.210857
39,23632867589.339382
40,26846277196.560734
41,23357172745.703533
42,27967016588.940155
43,14189843641.749043
44,13876182417.587511
45,23433392878.09378
46,17333651583.891792
47,17235668390.047302
48,11162129144.79597
49,11142693532.408875
50,18656846577.046265
51,11854733434.850477
52,12548651305.566385
53,5135082208.536008
54,9392139135.189592
55,9986100508.148483
56,9551485620.560781
57,8407631688.523683
58,12535377128.928486
59,8545510210.61273
60,9612982877.318226
61,8775870076.403677
62,6376704874.394194
63,4241684239.596163
64,3139782140.356157
65,9556508233.649712
66,5278328772.586492
67,3420325958.544049
68,5126824930.336097
69,4725154371.141162
70,5487978009.230329
71,2731897546.780415
72,4053993562.97226
73,2048731152.9165936
74,1362447055.0682738
75,3896106508.908121
76,3720450639.6500654
77,3999648272.509111
78,3211189765.931888
79,2742503366.366401
80,3358648738.602571
81,1795556632.2221565
82,2712987109.624231
83,2333442387.1468015
84,2496420398.7121897
85,2107597440.4637127
86,2723181570.252417
87,2679770639.527147
88,2893953832.297589
89,2763522726.90238
90,2447635925.929784
91,1749875258.8735907
92,1738702004.4156663
93,1506006297.8285763
94,1590346350.7370403
95,2153141685.5891824
96,1673994123.0321968
97,1801462460.5793948
98,2754876494.6405745
99,1394326784.3113315
100,1594443507.5710597
101,2985345181.2801843
102,2001707914.1020427
103,1282558685.0289657
104,2054347440.926172
105,1434293105.6183696
106,1555979675.72246
107,1419443318.634755
108,1383651347.162573
109,489463453.9627082
110,833078522.862691
111,811394225.6503698
112,1710880798.945742
113,1030018713.7692447
114,662475248.9067781
115,570256774.1965656
116,795463125.1922436
117,505161138.7211693
118,1016141443.1890167
119,722666182.5836573
120,728512968.5480202
121,489498494.8630864
122,749771521.8560998
123,566035117.7053745
124,392930307.04926986
125,866203201.545893
126,520096225.108218
127,889445983.2667938
128,769838581.1869777
129,393539647.8143059
130,399649715.02205235
131,341364321.1068086
132,361802229.80901676
