,Local (+)
0,216945275413.36328
1,158396957616.92728
2,116515439291.68848
3,114188486910.93239
4,106391071117.25546
5,73467030233.56694
6,77217356888.37012
7,88572373375.5541
8,92934025544.04256
9,68890363087.34526
10,69418303927.91982
11,49470641957.35908
12,62386757817.687935
13,79329101552.59279
14,55987191437.36555
15,78713596175.02852
16,80494252660.77463
17,71781202978.84012
18,47937760462.26582
19,63416464755.14701
20,60038724892.29414
21,66811800220.24911
22,53443980157.61336
23,43124012225.62597
24,47619765197.42888
25,45964256108.590546
26,41661097748.623405
27,33172528115.641953
28,35539982858.28289
29,48266708854.547165
30,28590688395.234695
31,29120023925.388855
32,37153520318.72192
33,28413669480.350037
34,16663877504.528076
35,29990283218.11332
36,15079285673.958492
37,16086754352.89593
38,18185618906.89758
39,13240527878.077217
40,19780579159.888332
41,26478267867.733444
42,34415947002.78795
43,18808204286.72407
44,14907445719.549307
45,19228366127.2012
46,12735325898.77533
47,10528564065.030884
48,11685988994.544176
49,9557205701.027683
50,4726763461.983137
51,12067879700.597195
52,12084471720.738562
53,13514244413.165226
54,10256052490.450275
55,9868542292.273855
56,16683621633.384533
57,9554960653.90905
58,8354505466.895869
59,9663727062.117628
60,12525864758.934109
61,7096444389.371322
62,12740912213.408684
63,7055511359.562747
64,10296526657.546652
65,4016906743.196728
66,4537704987.780746
67,14810348447.814524
68,3653046836.1851344
69,7097512621.016683
70,3656026289.764416
71,7163539896.224891
72,7009699598.222056
73,6172469755.074428
74,4203796173.9292493
75,8140847919.609872
76,5652037738.282509
77,5965528527.934686
78,4484931030.217702
79,3906318600.808691
80,3952453386.748737
81,4284682780.59802
82,2715936739.981978
83,3263132753.6550946
84,3268560721.205603
85,6858857556.077546
86,3090374152.0548024
87,4838005185.373347
88,3535181723.7680035
89,3726670913.114579
90,2007281030.2311268
91,2706396996.666296
92,2849900824.9531717
93,2435417780.5343337
94,4597786751.404854
95,2263925854.0349126
96,3388438883.830983
97,2317205296.1391134
98,2208612863.104644
99,4590959527.385282
100,2572300358.043141
101,2539211581.2967167
102,2257680183.877837
103,2715235190.7364683
104,3983166453.528239
105,1932226038.8539834
106,1980672561.2449708
107,932510502.9288868
108,2357824542.515797
109,1604995881.6965916
110,2193856374.137621
111,1254673462.376617
112,888142262.6880832
113,1241130889.6622765
114,1331453175.030472
115,1347134842.8972547
116,907543887.2447317
117,1130629877.0957038
118,2284511433.0503163
119,1169709344.88515
120,943604985.8199594
121,1391319305.0746865
122,1205095888.5359042
123,748162590.5023022
124,1191172512.1028936
125,1149314590.5641565
126,793116404.6871879
127,1373039609.6137183
128,1050973937.8832978
129,1489210848.3310885
130,582602075.1135932
131,833676437.7897135
132,821539684.1470182
133,1250702407.0819027
134,537544489.9610742
135,775615423.428188
136,786100474.5234098
137,795486895.0720328
138,458446969.83560663
139,550481662.9526696
140,409725591.4956819
141,443834237.9460541
142,502636421.82562566
143,713344635.8752966
144,499490438.25209236
145,383988319.84760773
146,321921642.6856602
147,847198641.253648
148,249577150.96921244
149,470600422.21452963
150,317580387.3053124
151,443855201.5336286
152,335048330.773054
153,328827731.39892095
154,220920041.63787046
155,331217562.5337147
156,329512342.18902105
157,404003197.2579801
158,518328905.0543695
159,407974104.71230704
160,186976827.5035666
161,409312729.0086787
162,390134671.93062156
163,268026224.63893995
164,155674912.31328118
165,1048808285.0681454
166,318944950.4287176
167,313729536.81215
168,340786605.1277613
169,214638464.66590038
170,117484886.96777043
171,128907279.74133097
172,213281770.45142338
173,243640199.55148157
174,202932058.63893124
175,166926544.34932098
176,206651018.7296614
177,155378845.00812408
178,153584582.30072662
179,129163436.12787358
180,219741942.4293536
181,197753005.31870264
182,198909793.49096426
183,164212791.8568847
184,106220020.32166795
185,242699775.06987068
186,134826174.93709236
187,191479212.12302607
188,117913539.0289745
189,122160410.70715696
190,106565049.66852175
191,151038404.55836317
192,73084803.49044697
193,56184336.37560355
194,114947067.65265276
195,69939910.55761288
196,147513526.90036055
197,158347148.77288994
198,197781625.47452095
199,159366645.028364
200,161919725.69537774
201,65363920.36449435
202,73433496.34808204
203,76373423.3782298
204,132264406.28463696
205,51501770.769317605
206,74644683.95792055
207,100716447.6171789
208,108619407.54244944
209,91462834.44325359
210,79041895.1127549
211,81094086.66249268
212,134664627.25032696
213,122041490.4079673
214,41623701.50680528
215,78823547.90928508
216,52414469.92846414
217,56032356.45533645
218,73446491.89354286
219,140765459.09051335
220,146146781.01207373
221,68590324.2385461
222,86721451.23958077
223,42089825.31509406
224,107994723.78841113
225,91329252.63113177
226,175816621.56655538
227,80195581.22709106
228,54640705.75049319
229,62749361.42245488
230,47872272.73240145
231,61327172.0583174
232,107734742.44538382
233,56240474.95826975
234,71818043.38249925
235,50613574.38424383
236,68212296.18799902
237,121436053.02415784
238,40903829.80161351
239,58864461.432115965
240,44299778.92069572
241,41494557.750249766
242,44891575.28871156
243,37371125.76576543
244,48634767.62740423
245,41768546.07548808
246,68663618.1571432
247,27889914.94858083
248,30134287.283862323
249,63328182.85350238
250,62171706.05358092
251,31943480.643503968
