,Difference (+)
0,-0.32456146526137597
1,-0.5355177748119572
2,-0.6001658376112261
3,-0.4848607153701145
4,-0.31744476797814025
5,-0.2797492801679144
6,-0.12688279412704953
7,-0.11565380467990587
8,-0.08456777097862364
9,-0.05089825140814619
10,-0.002674598995591963
11,0.0003263626858275376
12,0.0835576381274562
13,0.049049224667826366
14,0.013281438677545181
15,0.011236585342844187
16,0.030366931736476234
17,0.002113907165754078
18,0.04613039906377812
19,0.06698804227250087
20,0.07394373831881809
21,0.11566766968698645
22,0.10563225287324031
23,0.11337929760939575
24,0.13247015266698287
25,0.09920436923030085
26,0.10471893981883426
27,0.09373313245991921
28,0.11488194360656472
29,0.06749061772728393
30,0.08402977260870075
31,0.09367945222520056
32,0.08313406150877396
33,0.13954648229791475
34,0.15481304853026456
35,0.1008024372671103
36,0.10760137064715174
37,0.1345847065593757
38,0.16905057106944293
39,0.1410628486846561
40,0.13359912863752885
41,0.13388792035958585
42,0.11772927183135602
43,0.10219672604998471
44,0.12438653090609009
45,0.1535834201789355
46,0.13508233069193004
47,0.1132640249616553
48,0.10742625229359196
49,0.1694478889947643
50,0.17205124467566457
51,0.14275143907293708
52,0.11902227521723166
53,0.16404840070374654
54,0.11014542655423616
55,0.14520308752176514
56,0.12107265583818616
57,0.166356588412749
58,0.1395907440867571
59,0.14985675648276184
60,0.13687541972162273
61,0.11878686348935309
62,0.1614363106824862
63,0.10703545918367326
64,0.13781194818868664
65,0.16150048298409903
66,0.1673237197827968
67,0.14698208042999172
68,0.1767855367998061
69,0.14718577791317172
70,0.15488649984617367
71,0.15568119065266212
72,0.1184976084285476
73,0.1261728882529105
74,0.1407879234033061
75,0.20971680802797274
76,0.16082046083143325
77,0.1655783161776691
78,0.19585031914719217
79,0.15788282543959725
80,0.2145313888930468
81,0.20427223712080544
82,0.13957254737935992
83,0.1249837812368038
84,0.1627175648130833
85,0.1799138281203205
86,0.18814389933837514
87,0.18751855228753492
88,0.21675460242174638
89,0.1901194852189439
90,0.18362378576355204
91,0.17283344975860873
92,0.2149084281147426
93,0.19721305558498986
94,0.19157182781211568
95,0.16263028883177316
96,0.20114108278886847
97,0.20386906459904894
98,0.17599316887803748
99,0.1937019945604477
