,Global (+)
0,135.58282027812436
1,72.08641165140662
2,45.31568182912871
3,41.98692070874372
4,39.23416835260661
5,36.115285316697545
6,34.55810731239121
7,33.487826509414965
8,32.46654188863126
9,31.760900727413695
10,30.543088675678042
11,30.18290690249569
12,29.514208461223433
13,30.13053401322316
14,29.354899465619994
15,28.728874849370165
16,27.081377602994554
17,24.75324767571895
18,25.157594574038125
19,24.245120294610555
20,23.410784608133362
21,24.909762804814562
22,23.388126180804814
23,22.39853934878173
24,21.10171586465619
25,20.435074673028957
26,20.46556555284616
27,19.569027563264413
28,18.629229524415237
29,19.36167299538486
30,20.061547027990915
31,19.81588737163568
32,18.91588316368483
33,18.095824971804856
34,17.733335211275442
35,19.63872497923421
36,19.844069604480154
37,19.348193634571132
38,18.517018698576347
39,18.785310357051618
40,19.428148543727133
41,18.653620790578675
42,18.631977510497837
43,18.56580589235988
44,18.81406277806169
45,18.10623951018312
46,18.03504454603374
47,18.323716488744342
48,19.13183626568602
49,18.072661912378695
50,17.805686233432503
51,18.017922416588465
52,18.600725292845695
53,18.714004975792196
54,19.407071437972554
55,19.110211571374418
56,19.159497919715076
57,18.059775023203166
58,18.23498836329174
59,18.194531288208108
60,17.598233667551764
61,18.497680286642026
62,18.639590659707302
63,18.001554451159723
64,17.11595466831617
65,18.240189357015943
66,18.058436586666918
67,18.104748915900924
68,17.847333398541014
69,17.5865665911983
70,18.133519005539696
71,18.08180697453561
72,18.363065378756264
73,18.247342449640954
74,18.38761484545368
75,19.587474861399937
76,19.552350208933372
77,18.608687082151906
78,18.30669046442878
79,18.977765427583552
80,17.854293616211798
81,18.480702044327092
82,17.967696648600032
83,17.92586369756341
84,18.258252961810438
85,17.73506328538089
86,17.41386269179568
87,18.324046912884054
88,18.82204022430747
89,18.485432977033366
90,18.335231610460202
91,18.672302936855004
92,18.213144254379632
93,18.96171967008758
94,18.198922427071025
95,19.331413300892255
96,17.686942805694052
97,18.999577803301793
98,17.834678124414324
99,18.21756373819816
