,Local (+)
0,290.9495548893356
1,226.84863910017054
2,208.848739551851
3,224.7764182075158
4,244.27398401595102
5,255.4222879922827
6,271.79141357124524
7,284.3679452897264
8,290.69149827360457
9,297.3517827775355
10,303.3176696502149
11,312.4482010569904
12,319.6092778240024
13,327.02009027838767
14,330.299193755626
15,335.2525789400877
16,341.59284954260875
17,343.35298706815405
18,348.8965523663634
19,351.6024131056003
20,354.35402960863445
21,360.45524619035876
22,360.3957166190951
23,363.9870731216378
24,365.2959568711139
25,366.2247554406271
26,368.21012797660245
27,370.4430470884815
28,373.24756426970566
29,373.68871418845737
30,375.3828463524485
31,375.9957255218892
32,377.20646783856466
33,379.3866310228963
34,379.3379654520382
35,380.54083179104157
36,381.86019845604244
37,382.00625483964313
38,382.1576779191891
39,382.6033562292641
40,383.6393903918057
41,383.19612708441343
42,384.68364431792645
43,384.867669760249
44,385.5671505098273
45,386.9059533239696
46,387.1400272176638
47,387.55574061907356
48,387.5916146806609
49,386.9001151847118
50,387.71683766482516
51,387.08091810661836
52,387.4102575922467
53,387.9333674979186
54,388.7959814713114
55,388.4195125073722
56,389.5225993398684
57,388.39539080224824
58,388.3318776620717
59,388.77028631914874
60,388.8959653277858
61,389.8081754396267
62,389.0878701021864
63,390.1265554459506
64,391.27964305679683
65,391.6267018323087
66,392.02977375024244
67,391.1819224384243
68,391.8641133542992
69,393.2447924118142
70,393.24680766238055
71,393.06565010251506
72,393.06576137646124
73,394.20517876842445
74,393.8278564369557
75,393.98638361933473
76,394.71693953513903
77,393.92005184742976
78,394.2897253204727
79,393.9074648700436
80,395.1376295106968
81,395.19037701551775
82,394.4960256541173
83,395.12085397398283
84,395.22819928507823
85,395.886217022918
86,394.7895015038825
87,394.657509982426
88,395.50087974407523
89,395.7200795142726
90,396.4314849051048
91,396.0651686338595
92,395.7203932205517
93,396.11318372649544
94,396.90529831077276
95,396.90777220050984
96,396.8383433325508
97,397.03458048867157
98,396.967415335845
99,396.8612500806954
