,Difference (+)
0,-0.1869368209267403
1,0.09903389820636282
2,0.20860131692628167
3,-0.10292211830888656
4,-0.20050701837907814
5,-0.0911992050877695
6,0.1413216550686089
7,0.4159716072166176
8,0.03368907185021187
9,-0.5519496664357556
10,-0.5239971822458525
11,-0.04009167778164067
12,-0.3944260324216369
13,-0.1891409525157896
14,-0.5515657273966169
15,-0.5042566651178111
16,-0.7226024901819255
17,-0.09129251067977379
18,-0.06748404595136494
19,-0.1675791449273519
20,-0.37828080665564595
21,0.11125343574406696
22,0.19198468811154595
23,-0.28685284160276325
24,-0.7062128199899669
25,0.05791033892778218
26,0.011829547160297656
27,-0.4759049040187254
28,-0.7716419612516278
29,-0.5359648877518837
30,-0.286713008236816
31,-0.5363417920653646
32,-0.7283744868581198
33,-0.06434818539594607
34,-0.45535322756330093
35,-0.344225227082336
36,-0.6521005023337783
37,-0.49653799402467474
38,-0.12267884811115738
39,-0.3370390975570818
40,-0.3821454371357792
41,0.06758337087360726
42,-0.06817991443866514
43,-0.4841051209520815
44,-0.48739756879154905
45,0.16720226704162863
46,-0.3151488943443048
47,-0.4508280893951248
48,-0.47647513105655964
49,0.21904369133028667
50,-0.07448370545253934
51,-0.3674470848418111
52,-0.31922117468493166
53,0.18899153275464098
54,-0.39604145314166056
55,-0.025201485159654834
56,0.14783973619189805
57,-0.03996887936770101
58,-0.5170177343549601
59,-0.08026381341250789
60,-0.08035449651972737
61,-0.5228824828176588
62,-0.12908478375741816
63,-0.12486527973719272
64,0.03407657136254038
65,-0.4626111004370734
66,-0.3332771578916257
67,-0.47957035679950344
68,0.07049152797270995
69,-0.44315823190970616
70,-0.16982320650334057
71,-0.04983381686698294
72,0.035445381238011504
73,-0.07447816657456306
74,-0.34300011967464317
75,-0.2573918473651712
76,-0.6056833584270759
77,-0.48774727513653393
78,-0.20279840404057983
79,0.17893150986885434
80,-0.448560201054318
81,-0.3040213832999169
82,-0.6237097372235291
83,0.03013909818570197
84,-0.5578396171620665
85,-0.49958011592246326
86,0.2889119141389195
87,-0.16683107815654577
88,-0.08271557168089842
89,-0.5417912692209593
90,-0.4512859958820107
91,-0.32013753388386806
92,-0.111276083313078
93,-0.41917025613191433
94,0.036785381640589004
95,-0.6276702614200054
96,-0.1056455719049413
97,0.07281584530220375
98,-0.19927156632160686
99,-0.5992420605606882
100,0.23353928264233847
101,-0.25981432824731066
102,0.1521490084662858
103,-0.5997851198902542
104,-0.3041998064446058
105,-0.15659853378044822
106,-0.3549394836305014
107,-0.42449505457209286
108,-0.5964505303516919
109,-0.5064678611304906
110,0.13152600512742862
111,-0.22184288097093208
112,-0.41491505154684455
113,-0.9927145156621369
114,-0.5500434699427998
115,-0.647725330536941
116,-0.28705850967541907
117,-0.6062678174366762
118,-0.4321776850431288
119,-0.4909001392436167
120,-0.5764311932374979
121,-0.5869990139508543
122,-0.34962829774305504
123,-0.05072112883042055
124,-0.7468945127107508
125,-0.5660526629747322
126,-0.5459923052744775
127,-0.23021469148532558
128,-0.3675687314904172
129,-0.20013561142473804
130,-0.4552876225855996
131,-0.43762028111714607
132,-0.5532612601963462
133,-1.0082837553127855
134,-0.30405819474034385
135,-0.13830220688192763
136,-0.18535481508633017
137,0.09751349478625065
138,0.01599360205102351
139,-0.2635056316401675
140,-0.5275270640639734
141,0.07094675718657072
142,-0.5893225037112422
143,-0.8781437842691917
144,-0.161547135263298
145,-0.2737385618970577
146,-0.2525187092925541
147,-0.5135095678791212
148,-0.16299044073627397
149,-0.2042800010582466
150,-0.21387151969248258
151,-0.42925221576646005
152,0.28307717021445455
153,-0.29430003787510844
154,-0.5276924436020174
155,-0.46643248927080666
156,-0.7005264933374316
157,-0.8002516655696419
158,-0.12642678040459415
159,-0.7137593965208329
160,-0.8139963761515924
161,-0.7247355429179926
162,-0.9146830264501479
163,0.14114710760874347
164,-0.5307569780679833
165,-0.0976496884031723
166,-0.5501310833735954
167,-0.4543982408580462
168,-0.6518451847817016
169,-0.353704648239063
170,-0.6818498687084217
171,-0.6497897545278123
172,-0.629645864239359
173,-0.03726976663349371
174,-0.4594428022287657
175,-0.45303655968571743
176,-0.32948854236525227
177,-0.15853088628082446
178,-0.21528588847404329
179,-0.4826102994264573
180,-0.146510846694615
181,-0.5403850442472224
182,-0.47675399435565957
183,-0.3381657649879946
184,-0.22260401700329235
185,-0.6507442491593605
186,-1.0973322643189207
187,-0.5593489905538365
188,-0.6946362694960831
189,-0.4770583768929993
190,-0.5757051005162892
191,-0.6392462506415962
192,-0.37182081077074947
193,-0.7409152015131776
194,-0.6899627968174902
195,-0.03359439048034731
196,-0.2813450867523725
197,-0.7628096030667322
198,0.02941969126803009
199,-0.26711393067378114
200,-0.49842031534212994
201,-1.2517701383824922
202,-0.16276516365058674
203,-0.48150156613848255
204,-0.12788799514303167
205,0.1570395812337378
206,-0.551041357715424
207,-0.13864595834896906
208,-0.06146546358903129
209,-0.40384143389531185
210,0.1524511189437066
211,-0.5711807752133302
212,-0.525152335896599
213,-0.5553548445046238
214,-0.4884578208024854
215,-0.36618371497471025
216,-0.564610931300239
217,-0.958018930445659
218,-0.5306964694555283
219,-0.5292249209648587
220,-0.15698329024206797
221,-0.21226679340945473
222,-0.5021228209768577
223,-0.7865594275516424
224,-0.6917962856293836
225,-0.06785953939011045
226,-0.13950054096845008
227,-0.4065152836321867
228,-0.42619649645655616
229,-0.33232385243918355
230,-0.6733873317422439
231,-0.37797106930515906
232,-0.35235636098151174
233,-0.9062592016014367
234,-0.302460078615061
235,-0.5912823732930066
236,-0.6527511490829954
237,-0.8502245870291057
238,-0.2488648153226749
239,-0.896827783148285
240,-0.6084060186002781
241,-1.0343536036673158
242,-0.6183516875614563
243,-0.38344595242811075
244,-0.005292774776480813
245,-0.6770421921841944
246,-0.5081585646682216
247,-0.5440582091067051
248,-0.5116889876450483
249,-0.5827592175239866
250,-0.2014345319749267
251,-0.49827581363833995
252,-0.5983390268115104
253,-0.3811456258005379
254,-0.3898421034218034
255,-0.25914699021250764
256,-0.48728630807193646
257,0.08104104148944996
258,-0.6759432465768349
259,-0.6862331790657448
260,-0.687220621112551
261,-0.9934885239592716
262,-0.40956764642073434
263,-0.5450795886059076
264,-0.6208239896057614
265,-0.6451113839082468
266,-0.7814351380034938
267,8.414080289854319e-05
268,-0.5750726251887864
269,-0.5583779790226082
270,-0.34425962549744743
271,-0.4356700328415606
272,-0.3342022133758513
273,-0.5717326476005964
274,-0.6205068724136515
275,-0.048597357800281245
276,-0.12956668481805125
277,-0.35365917698072213
278,-0.630480895941203
279,-0.3498137839465076
280,-0.4875427890236749
281,-0.6446434200704831
282,-0.5256663319799825
283,-0.6259438860120128
284,-1.0699645874424148
285,-0.7169675323906669
286,-0.28089269576997467
287,-0.2795862021926485
288,-0.19888196986077053
289,-0.7788806666039441
290,-0.6951792459293881
291,-0.8240181089970945
292,-0.3847513732009829
293,-0.6402111723190577
294,-0.792302377900514
295,-0.9639351339313995
