,Global (+)
0,207.31003918912074
1,199.32597867264914
2,196.72155497666614
3,194.09494529407795
4,193.89556757693015
5,190.0556696350152
6,188.248485971844
7,190.5180194699765
8,183.37616205355252
9,183.66802560234999
10,184.07470894805306
11,182.8388248293026
12,185.29788625997742
13,181.60972882481468
14,181.36289050393603
15,182.18441439285854
16,184.01655033951926
17,176.36252413225347
18,182.83197100908464
19,177.13882977189692
20,175.35027498189027
21,173.7834346113916
22,172.59132749049533
23,172.29588192504022
24,171.04293242394706
25,172.3523213630883
26,170.05353488391103
27,169.83561722734467
28,165.05757338248966
29,170.04629926482332
30,165.91106017642028
31,165.42328588932827
32,168.89591355123417
33,167.55991855115013
34,166.8760882954469
35,160.60622714695546
36,158.9497956547185
37,161.05984469569785
38,163.72445836346355
39,159.85826815193693
40,164.29521423058083
41,161.58601592318635
42,158.90699960851583
43,156.18428394978483
44,158.49497831115204
45,161.2529046533614
46,156.80333793040512
47,157.3032420828183
48,155.2203160839424
49,155.2166025866735
50,157.1213331476039
51,153.46544210619882
52,153.6948585082831
53,152.52938354023775
54,150.12811882157516
55,151.523307009199
56,154.4674708593951
57,153.82801897965007
58,155.78424763320857
59,149.52152419027823
60,151.33617629280258
61,151.69846068369696
62,148.71665590532413
63,150.2136974326899
64,146.0435193123197
65,149.85575813751768
66,149.3109265889324
67,148.00785133495086
68,146.83834199347248
69,144.88268685944254
70,144.67134550624405
71,141.5689191924795
72,145.3830228449793
73,143.5909419057374
74,140.07985121056905
75,145.54947970969204
76,140.41753390250705
77,141.70441650754276
78,143.64935324873494
79,138.40673439178076
80,139.42884093680982
81,137.32164583297362
82,140.9921414447711
83,139.38286991284266
84,136.85239231107718
85,138.32687497438172
86,134.17536189247016
87,134.38263849810454
88,135.5090430783851
89,135.14723751412612
90,137.3240102341098
91,135.38478475610017
92,132.15998296514832
93,132.5387574125071
94,130.98836280264922
95,133.3073292953919
96,129.8814146205058
97,133.57080024486075
98,130.83968609667335
99,130.44684248684112
100,128.80623687626883
101,127.12102969734899
102,129.17183578483557
103,128.49967398611076
104,128.01294646091932
105,130.20398267976373
106,126.94505462402937
107,127.83819601576236
108,125.52203583923158
109,124.38890584216664
110,122.62708430290738
111,122.82807098739548
112,125.33376991579732
113,123.80753511086897
114,121.2647619651099
115,120.38731755167774
116,122.50399237222472
117,120.99721623351684
118,122.3333408154974
119,121.09398767114612
120,125.70488824688825
121,122.52996395658147
122,123.18776366665783
123,122.11291452924159
124,120.59280237905374
125,122.50362869024343
126,121.22293551520488
127,120.14276992910436
128,119.55673347306296
129,116.03159869155947
130,117.75152207237775
131,119.54303483206942
132,118.4662911663454
133,114.78976290584484
134,117.03321120658481
135,119.06155950142748
136,117.66784362826252
137,118.50583961772891
138,115.66874976192477
139,114.05384394282612
140,118.58418378189698
141,116.62946418482336
142,110.9595901194628
143,115.71255305495885
144,112.38930591438803
145,114.04212695938597
146,111.80092649882822
147,113.34348297763232
148,113.81204527435696
149,111.7057896781936
150,117.58302730776974
151,110.5691965862624
152,111.07871704811112
153,109.07690837480907
154,111.39363764260206
155,112.13967981798164
156,114.66555811756778
157,108.6226610687625
158,111.51596115706762
159,110.28834802317927
160,112.06568000418318
161,110.22165424193632
162,113.39454604541602
163,108.97395736475737
164,104.37049000411966
165,105.89191362316656
166,108.39671255297105
167,107.0556739819746
168,107.80108758817217
169,109.22221627162448
170,108.45957641863993
171,108.23917068129178
172,105.91442713394615
173,103.03369902770747
174,101.68003653789185
175,104.90257004364128
176,108.19752384609417
177,102.49663846662614
178,105.75853511068871
179,103.81954971035397
180,101.95438415145037
181,106.96029932633603
182,105.86186697534957
183,106.27156846454535
184,100.10250810016805
185,98.77362597699015
186,107.47860234845285
187,98.51502602521023
188,103.01633033032098
189,101.57970848381494
190,101.57620228996701
191,99.44310222224877
192,100.07077210572137
193,97.51512057854431
194,94.37348291252773
195,99.09656902879314
196,99.11476732100813
197,98.99795543389389
198,93.04148877493164
199,97.77609417293944
200,95.97057414712788
201,99.47748054005633
202,98.19843456415944
203,93.65568094407234
204,93.60897431634972
205,92.62632980246933
206,95.9811187504728
207,96.84485008041408
208,92.6084012331388
209,97.48603207774305
210,93.40558371980279
211,94.90548089038751
212,88.31888972833443
213,91.6288258519048
214,97.26773596764585
215,92.584520966827
216,95.09047204099494
217,90.98493839435065
218,91.77226845709086
219,92.61139666988892
220,87.78209287968296
221,92.8759796077663
222,92.49813275249048
223,91.77751941347546
224,87.78218516764193
225,91.92000336505166
226,93.67347878266928
227,93.02906585862631
228,87.60480846890496
229,86.41549387387188
230,88.97434925239759
231,87.98612300808946
232,89.77036474352414
233,88.93499112093748
234,89.17832208718778
235,85.00676229623959
236,87.881413132768
237,90.54066040516996
238,87.93499677620306
239,85.90136453383727
240,85.05196802036451
241,85.92190858637356
242,85.42315306734952
243,85.50229863145438
244,88.17189695590591
245,81.50716702966086
246,85.32062283353874
247,81.87739983816302
248,85.53851058696735
249,85.22418894622824
250,82.8857407199429
251,80.57795795157745
252,81.94203184597029
253,79.30613588407914
254,84.5075432627368
255,78.97326250140773
256,80.01475567198446
257,78.49605578782518
258,81.63986125699745
259,84.22057722579459
260,77.14752664350469
261,87.13697706693524
262,78.16422804432273
263,79.54410110521631
264,79.76448752439539
265,75.75072912106845
266,82.57774940645284
267,79.04892575897476
268,75.76528186573675
269,78.67370304292741
270,82.09140611395273
271,75.44895294495717
272,76.01386340832174
273,76.15538852067273
274,75.02617421767691
275,76.89138591035965
276,76.37580532690276
277,75.59452761691585
278,74.11620932828657
279,74.17965329458949
280,71.6415994572633
281,75.44100191974178
282,75.4325786047007
283,76.474442614349
284,77.08794702598902
285,72.56927869714826
286,71.44265505638823
287,75.76104876536051
288,75.7307943689131
289,72.5991131388782
290,73.62335272021495
291,76.91807439723856
292,69.98842344292157
293,72.10853697883006
294,73.17557010612776
295,67.9778716369526
296,79.60137573481242
297,76.64419081642131
298,72.4674473575243
299,71.6428835857737
300,65.20202275679891
301,66.94779995976148
302,77.76059468139495
303,70.95024689628833
304,69.7018837448571
305,65.54388915776582
306,67.64107402251798
307,72.33826843281757
308,66.61032795258365
309,68.95615823638578
310,65.49658155391305
311,72.59520019066584
312,66.14449125924276
313,70.77374342537186
314,66.97135633438779
315,68.82967048693571
316,76.44637361933427
317,68.678410010253
318,67.8382324350907
319,64.51800335421638
320,69.67282621466987
321,65.86115431582171
322,70.00008941029087
323,65.38573351419072
324,65.83347858461455
325,65.31799215001834
326,68.20265544452715
327,65.57692045134534
328,63.21372824285098
329,68.91529212434494
330,70.65174342847048
331,67.56243101706758
332,66.77074881392424
333,57.05468603244879
334,66.38637110631126
335,64.9428219858481
336,65.4533147703808
337,63.39762501968974
338,64.2900641238004
339,64.38102576207106
340,59.02046916285566
341,60.19310679932229
342,58.93575337955196
343,58.5436343439397
344,61.5935847102683
345,67.17682228706201
346,59.10156504237441
347,61.04407813646158
348,63.41633345915317
349,57.63111915531691
350,61.05290170148629
351,60.27682115831045
352,62.5187034316005
353,51.570681493173645
354,63.96481360419873
355,57.978592549976305
356,56.2236320579461
357,57.72598481331661
358,58.568704373669824
359,57.04233422282932
360,53.65774627197094
361,58.72831146298887
362,54.72662348943557
363,54.799804682159994
364,56.64262832612077
365,63.305133781609754
366,62.44385057639296
367,55.968402196855244
368,56.500211012740195
369,56.07161915793345
370,55.936895197394264
371,53.92322200020204
372,54.50971806092863
373,52.17718270209719
374,56.43041684844128
375,56.092186931985
376,52.721371161904194
377,50.58644736664098
378,47.98173353070338
379,51.49717768179365
380,55.58441937109591
381,56.11609255742366
382,55.080440684527076
383,50.87778850719249
384,54.38544370994334
385,52.65244385120835
386,52.314724014238536
387,52.09075798492221
388,55.812942320843575
389,50.99259641467966
390,52.24937811199324
391,54.98944228579118
392,56.687347521897394
393,50.997178202219246
394,46.92137652275687
