,Local (+)
0,413.26219554518536
1,395.77994118452966
2,388.2975344157656
3,382.38653417593
4,385.7244594652617
5,377.4928355724592
6,377.6868439458542
7,365.91261572449065
8,370.6758231351853
9,367.5082505244637
10,368.48401667796526
11,361.04773898733646
12,362.3598049276486
13,370.26191043300514
14,361.4190499379697
15,355.2944108352058
16,368.683997683841
17,359.4334895220488
18,348.62823569267823
19,358.825788962447
20,358.8878086568104
21,356.7500619944607
22,343.7860461573692
23,339.5464010748295
24,343.5903363989394
25,343.9573816835055
26,343.3714452699564
27,330.38669161974826
28,339.42495034173805
29,336.41643526406125
30,339.62721186110934
31,332.02196383625784
32,342.8429703587595
33,338.4812072358893
34,334.3513934501772
35,331.89017672851526
36,326.1654730431679
37,324.1941971633982
38,330.25638514613365
39,328.32451924133426
40,323.652969441898
41,324.9770360910934
42,325.9942805321122
43,324.4222296113686
44,325.1139108022913
45,325.165604308837
46,327.3070759947842
47,318.6754125433866
48,318.5501510366796
49,318.7315195383352
50,312.4124981210471
51,319.68280150738553
52,315.08925220002175
53,311.91592586068276
54,314.50265008666526
55,314.38733660467466
56,317.6272430537181
57,312.6813029369161
58,317.8288079354732
59,312.0494066827324
60,311.6425934173994
61,310.72669497042847
62,312.21038732544906
63,302.329037924579
64,310.8885057324017
65,302.5079475508437
66,297.32963691906525
67,301.8986409844691
68,293.5341330378703
69,302.03346873068534
70,301.0871640008196
71,292.83186272437445
72,299.81880801744546
73,304.72950010066035
74,294.18904953458775
75,298.56145812725987
76,285.44829017219223
77,296.77310897248066
78,295.8719463936277
79,292.6928429564312
80,299.7296334048559
81,286.36230009507506
82,289.14015031501066
83,291.243334505513
84,286.37988066724597
85,285.1726464951006
86,291.0273759959985
87,292.10541311952824
88,290.2791972603265
89,289.8586915492272
90,285.80503897962757
91,284.2175058184311
92,289.2576682186703
93,288.6613762829523
94,288.3245594697183
95,281.42420523209915
96,277.7885187393303
97,280.1730111402107
98,281.31348666704827
99,285.603333913638
100,279.89494759954647
101,279.6896615761148
102,282.673602755926
103,272.7979566052062
104,277.80127105249994
105,273.82020125486315
106,276.45677408932846
107,276.0658034017123
108,272.527471782646
109,275.33343715189875
110,276.7467536192132
111,272.4051233203919
112,265.66524241710886
113,271.48708037573164
114,273.5801841718653
115,275.5703877993568
116,270.5759912546242
117,267.9571389036892
118,272.0417080536051
119,271.7802613563484
120,265.96667856788923
121,269.0038014322476
122,270.4970928037307
123,259.82761974007997
124,264.4485637888739
125,267.2574190995457
126,268.24331015508045
127,270.45693649233857
128,266.50107015794293
129,270.55414699806795
130,260.307495862449
131,261.66018003261127
132,260.1727776731351
133,272.5834619059941
134,260.6660157943347
135,254.79075714744425
136,259.6918096245665
137,264.7791852938643
138,257.72435834134546
139,261.75386050883884
140,258.2193531147828
141,261.76747718355904
142,268.20702541252035
143,273.7641628432938
144,258.6189715140428
145,257.18361901093635
146,253.67740634663576
147,264.9163708180203
148,257.92689940592305
149,253.80947452320726
150,252.73556281165918
151,259.21271361672717
152,255.1808424833383
153,250.71136641030813
154,254.87372941095228
155,252.850944373303
156,257.7910627838126
157,248.39439755273466
158,259.0754467943104
159,256.8919750201851
160,252.4003450244457
161,250.062909465808
162,259.15506861779545
163,256.34432741132326
164,243.60942200088374
165,265.3663697161107
166,247.04659723518063
167,258.6190297501981
168,247.84856723954235
169,251.05889195091717
170,247.23940018425003
171,248.36257379554374
172,254.21190324898592
173,246.8931482327582
174,256.69856690698543
175,241.54079249545654
176,248.38281432239785
177,251.85654872081298
178,249.89955735919284
179,249.31649457243114
180,247.62791399541683
181,244.87485185653767
182,242.85159391293305
183,236.70248720952122
184,236.62867392771267
185,255.69797768935322
186,246.58298851138878
187,256.4011599950003
188,246.98368842363547
189,245.0647296162835
190,247.82644575139508
191,243.6894510111304
192,243.1921955481341
193,240.6506453447453
194,248.8501670985667
195,236.91723552328045
196,245.17925983710987
197,251.84150986597973
198,244.2972402795523
199,239.39273859791962
200,245.86012564361687
201,244.24224639176114
202,235.39797916363773
203,240.54551753752105
204,243.2335859648963
205,237.79292007092303
206,236.0748214763772
207,238.24451340485953
208,243.14372221158848
209,242.8110064229001
210,234.39088742995395
211,236.7937505696377
212,237.51437281516462
213,239.91962128105098
214,228.3059290309824
215,239.51841500614333
216,238.2861736931364
217,241.96987776307304
218,244.4517241821785
219,237.61489219626523
220,247.29028687061205
221,237.7632842766592
222,246.99929130453438
223,238.87897787533635
224,251.40267274097823
225,240.96953520001213
226,245.80661409464412
227,244.4141530283886
228,247.27009095761514
229,237.24074176267092
230,232.47693810494684
231,241.9901740378252
232,242.9666021972699
233,240.33237866104585
234,237.17516195702945
235,242.52578024480027
236,237.57945580613608
237,227.1545413919851
238,242.95677822191047
239,237.97310096583377
240,239.58455981705754
241,227.59707258036175
242,227.72749870314803
243,231.35243643597985
244,228.5862985161559
245,235.54159206868428
246,231.05119696196587
247,237.94911682359177
248,223.66499982555374
249,240.7479671715106
250,236.42344413057785
251,227.92400509205072
252,241.49872926252587
253,235.2588436361725
254,220.15808602033084
255,232.83704615273007
256,222.96098851219136
257,245.4574539538699
258,224.62284657017003
259,235.78464829852575
260,224.5469036793833
261,223.0040218408126
262,246.14185102815597
263,232.78210136339507
264,227.82096855031253
265,225.69666343561641
266,226.93713925850287
267,226.00833298124726
268,221.00381849559975
269,233.48060201338689
270,220.53009239782253
271,234.04923743508743
272,222.75437152949013
273,230.32957776538944
274,222.20998873938936
275,236.88818511361885
276,244.74687508352156
277,235.511576949757
278,215.40302118715198
279,220.15330840038305
280,230.45914160316426
281,217.55204925147046
282,239.89439843291177
283,224.52167415980944
284,229.1599509805685
285,225.586435239703
286,217.2280174792338
287,221.95488779715524
288,235.4617159734598
289,228.77143395088595
290,230.9304517030871
291,219.11635315567366
292,224.73053327954952
293,232.16306115222446
294,216.12083714494366
295,222.7631579101343
296,228.51659824622473
297,226.79143730494707
298,233.40277866860677
299,223.22521152571218
300,223.7983691136364
301,236.54262409145528
302,230.77073619188423
303,227.23512061829663
304,224.56221404112392
305,232.89142461575975
306,231.08595817408008
307,216.88843314550914
308,218.97302145761148
309,246.57958606293383
310,229.27088029201622
311,237.42853824764532
312,216.82038588942973
313,224.11166111212387
314,198.8539346137451
315,221.73000676960993
316,215.1169590782342
317,225.37781873234883
318,216.50585440327453
319,222.62122575847079
320,229.39269481152613
