,Local (|)
0,7.86427179601526
1,7.424421241074696
2,7.54590438217212
3,7.563898711088771
4,7.339385954976952
5,7.256180599198857
6,7.369370985150015
7,7.17602931250334
8,7.06965303891678
9,7.103657030915281
10,7.071094528027798
11,6.910517369652418
12,6.977609117055908
13,6.875162305770127
14,6.773363306285237
15,6.871619902754913
16,6.746138451534136
17,6.731991107551299
18,6.833330388685991
19,6.648810315788518
20,6.779525147582615
21,6.64789587767656
22,6.642083076101121
23,6.651213262381295
24,6.623109266107334
25,6.6121877986736965
26,6.612263933580532
27,6.622481936508526
28,6.554506380516352
29,6.558343554143862
30,6.529989129349956
31,6.52355455862797
32,6.451635562453162
33,6.353304044294787
34,6.407413942633675
35,6.398400388680323
36,6.421917333699016
37,6.412406928340562
38,6.405214943325361
39,6.373620059587569
40,6.360487291754789
41,6.348146995244272
42,6.325420296057116
43,6.256520054212756
44,6.2387168898438405
45,6.389557372206213
46,6.283039582612971
47,6.22759415771117
48,6.2859783872254695
49,6.235591460691382
50,6.272000371931065
51,6.175254989592269
52,6.088183939705132
53,6.188065598997766
54,6.193210322369831
55,6.218479974645184
56,6.242561123157754
57,6.163929622158801
58,6.16714161445878
59,6.045842843067602
60,6.130427724610496
61,6.060985978545005
62,6.098946487342414
63,6.0196820289947635
64,6.089780764530135
65,6.030655895452479
66,6.050043639852676
67,5.9660020605391395
68,5.988866128789408
69,5.861787139879517
70,5.986003164400354
71,5.89661867582055
72,5.8853743105772764
73,5.8755583823606985
74,5.879711775120003
75,5.882617881045902
76,5.955691045821636
77,5.826302681830533
78,5.696586487089954
79,5.800422147695691
80,5.843547439851792
81,5.804527502775286
82,5.7011350318904235
83,5.880074784581852
84,5.775598281512462
85,5.827535958697058
86,5.796800706765315
87,5.798041388467073
88,5.767999961282019
89,5.785147019641869
90,5.779849625205147
91,5.716082051810246
92,5.8276795792336635
93,5.72357986147928
94,5.730007393244123
95,5.687046454817131
96,5.698700781673779
97,5.683064551759878
98,5.752340150410471
99,5.663651638701351
100,5.607405180768349
101,5.747528217115406
102,5.7238387610749575
103,5.7968790366747545
104,5.664785529412147
105,5.5657575144329465
106,5.546744651069956
107,5.568413317812961
108,5.5968224164937155
109,5.612232250301658
110,5.5045486745764896
111,5.666389274761061
112,5.535374744006762
113,5.5756115201851815
114,5.5142061164227005
115,5.484625431441609
116,5.427918739537934
117,5.534596522077983
118,5.4836830567230335
119,5.489965361539258
120,5.495664698693311
121,5.476562004347927
122,5.431836798151264
123,5.483331223855153
124,5.43365459516107
125,5.486205677515906
126,5.535462331331739
127,5.4788195666774895
128,5.35940911861798
129,5.39908710925691
130,5.362571697211089
131,5.414945576871285
132,5.358254722013247
133,5.394454982052548
134,5.363317448858735
135,5.518886597146824
136,5.395503542023726
137,5.347425057940672
138,5.4061835144552
139,5.308537837588461
140,5.23909317406774
141,5.425723892784367
142,5.316670696375628
143,5.302727954785659
144,5.352602204210443
145,5.388942242738789
146,5.325235928687474
147,5.274764060582698
148,5.232719882976507
149,5.338554250264968
150,5.3151749076989825
151,5.28757321689829
152,5.170683404638202
153,5.263247692139748
154,5.250510828645147
155,5.265590718010892
156,5.235265958175132
157,5.217055159333272
158,5.186708211519651
159,5.23580310513506
160,5.165703074090233
161,5.229257752205076
162,5.198088618309697
163,5.224829938346693
164,5.285236587656384
165,5.3604357432167715
166,5.201242317987322
167,5.335410501894487
168,5.101862103029202
169,5.155407700210901
170,5.186182991905893
171,5.3410731779766305
172,5.192697171464133
173,5.188144317647936
174,5.191938245375618
175,5.187196790724422
176,5.200014278812384
177,5.125140946082949
178,5.118023372769493
179,5.210470440560473
180,5.136412800682982
181,5.107540166986468
182,5.085684901157454
183,5.254117540915476
184,5.268950811079826
185,5.154188809894735
186,5.133876179972534
187,5.131992148295661
188,5.238309421821751
189,5.115008056406477
