,Local (|)
0,14697695585.088333
1,48280267.71342492
2,41202035.4903578
3,132158835.34672007
4,451322349.0513347
5,1137354606.849305
6,2248110629.2456994
7,3474739612.2566357
8,4291409576.330342
9,4491317444.135913
10,5868728617.338065
11,7919802818.600918
12,12309291077.827564
13,15725427041.960396
14,20588658846.656803
15,24424279676.434513
16,29330250593.529243
17,32352355835.92095
18,37483148084.268265
19,40014423219.73978
20,45015158395.59311
21,53309470095.43528
22,53299601102.50999
23,57071560230.457726
24,61444621720.00258
25,65797185119.05981
26,71349773142.56111
27,79822645177.10616
28,78366873642.34383
29,82042478392.58408
30,86598120661.3925
31,85777182947.53333
32,89504112368.36752
33,96796721361.57109
34,102000651814.33412
35,104911965247.9439
36,107783705424.15941
37,108551575985.59453
38,112907034951.40707
39,112292326555.71361
40,114912347504.92598
41,113337278732.41003
42,105771424517.78134
43,114020290747.60701
44,119581677083.34492
45,115902305872.82472
46,121922398112.91936
47,115161683730.62042
48,117060992792.8995
49,116364148534.18231
50,114416832963.50839
51,126073118209.43172
52,117767588113.11847
53,119899811803.77135
54,124398195491.30748
55,124412277687.03894
56,122806787123.05708
57,126084628045.32657
58,123975220857.85513
59,126757307055.89258
60,127437981192.28246
61,127787390948.61453
62,125433254960.2968
63,124160335039.98381
64,127349028299.56956
65,129127877928.78894
66,124885849407.53091
67,130372641060.76184
68,129709752501.10931
69,129144171412.72322
70,125657564421.31194
71,130816489553.33551
72,136550675299.42123
73,132505365550.49644
74,129388760871.67154
75,132192976358.72968
76,135912039133.0607
77,136945092875.09863
78,133902553026.65
79,136659056973.01306
80,132726065857.9775
81,133791710387.76337
82,134259934251.70702
83,130502547429.92975
84,136714449554.49289
85,139661165188.18237
86,137754326470.58353
87,140111304325.10046
88,143111260571.29956
89,140313124278.89856
90,139172415010.82684
91,140200440616.56064
92,140235306765.52444
93,141465421254.9629
94,139882598856.78766
95,141618328116.16113
96,136324030098.69128
97,138548695351.52774
98,149301777923.8208
99,145726101193.0396
