,Local (|)
0,171875335494.91116
1,97718985136.28056
2,80432468207.26537
3,143226953394.7455
4,125692821874.96239
5,85039271347.59058
6,91690475928.17633
7,66364955059.19775
8,76232314053.27866
9,95797510226.91895
10,50089047629.07955
11,57318869440.09571
12,87466720233.9684
13,39454292063.63577
14,20800536873.21827
15,79104476663.50282
16,77585721504.43633
17,45574506370.3554
18,46312242186.98862
19,46013564814.99102
20,42593853942.90118
21,39893377264.79768
22,49190194098.12425
23,51356508425.287415
24,45634983298.32247
25,41436308388.48619
26,49457606976.06933
27,41665585093.555756
28,39275385673.694595
29,44892027767.39834
30,32555003074.2558
31,34541896886.298676
32,27786020836.42052
33,13528453659.704449
34,20992731043.43541
35,44202918730.01093
36,28884646175.016693
37,35309543454.54999
38,21025637423.009785
39,31934634644.33257
40,21874140528.99119
41,49857285727.38035
42,24197563382.798622
43,17668087633.387726
44,18850615292.139095
45,20886839432.59775
46,24462852904.548817
47,24462161213.39858
48,20229218099.626324
49,13289378347.833841
50,22489853477.386967
51,11952152487.673464
52,11713197754.912594
53,13297272191.732183
54,11869980972.86097
55,10557708148.73453
56,14550091056.57111
57,13977977149.358505
58,12031614245.51229
59,7715254722.970512
60,10649204115.758232
61,9315220696.008444
62,9399126448.961695
63,11490393422.551222
64,7630717470.165054
65,10573750054.1631
66,5803993564.702174
67,5980477882.158938
68,6787739551.372661
69,5303255345.826394
70,5064753808.523238
71,4004111452.097909
72,5397526945.175739
73,4258729890.988115
74,5152689252.133866
75,6294895074.150203
76,5512516467.831774
77,3244695467.2210135
78,3136638148.2064533
79,3469212964.099829
80,4750070790.433547
81,2568761142.6119323
82,3563271798.45733
83,4613159417.984358
84,4328444423.52336
85,2892970447.801985
86,4533525629.529488
87,5121890042.615697
88,2827582836.5683203
89,3035985148.008245
90,1582008490.7330902
91,3124236556.114682
92,3142620108.634261
93,2983204807.2198176
94,3100976029.0258193
95,2502306988.8439536
96,1886919117.221002
97,3079866726.2955017
98,1843352825.1201746
99,2060423426.683114
100,2767302773.095137
101,2085262284.9147847
102,1354922410.1796079
103,2320197282.291979
104,1377359506.3558855
105,1526725007.2984223
106,1084700439.345573
107,1223914721.7396715
108,1340042770.3634064
109,1376464442.3817797
110,1626892434.7818894
111,1574422215.816396
112,1046302966.3373053
113,1515125642.310249
114,1311257122.204377
115,2247920417.1716204
116,1305323401.3030217
117,917962255.0759248
118,1204652936.0914176
119,990282186.367657
120,1188862117.6970923
121,1033713180.1601673
122,884141487.4893469
123,886003933.5637993
124,853760895.4182011
125,1823398073.149462
126,853855089.3760452
127,647610160.3357738
128,771568642.1766562
129,753440329.8628963
130,450222025.4795788
131,1076895513.9513624
132,567064904.6973348
133,1229837728.0152066
134,450443729.74527764
135,850630594.1771117
136,795488231.5131388
137,659094262.1572479
138,367581391.4716699
139,356924175.951781
140,478657692.9772151
141,448701505.41803896
142,561759362.6750922
143,508494622.0536288
144,409426526.797499
145,242805894.04132214
146,525802790.55915284
147,309952108.1269586
148,491837269.9679321
149,263675763.50564
150,491762457.7201564
151,236142287.59291893
152,131383184.63453472
153,327991630.2643898
154,295279223.5273051
155,276322928.9154639
156,309210890.4456289
157,178022597.20977816
158,393625121.5597131
159,224257469.3290968
160,168567672.16467798
161,170003143.1518624
162,234917694.02056625
163,299031242.2565848
164,226617772.24783015
165,237678350.35501283
166,179405016.6651702
167,293211054.2916239
168,215527569.13811666
169,187317919.93197328
170,384695279.27717036
171,151989490.3990555
172,308718612.39331853
173,147279877.1052671
174,177997265.35921603
175,372391019.7397775
176,334515420.33210254
177,124376265.4004606
178,118825767.6299057
179,94729493.60706578
180,153833220.27277657
181,136885306.55310747
182,101872912.10625716
183,181461560.8177882
184,358312615.3223926
185,152930742.75773352
186,119894011.01491895
187,169940598.29158157
188,193680495.2200487
189,247634408.64184624
190,220969123.79430118
191,93728743.48220463
192,354449611.889627
193,134751039.43933633
194,164652437.1941607
195,147636148.27978343
196,131601280.297494
197,115095391.89026172
198,150277507.52521542
199,86178023.06266855
200,146668072.0489718
201,143375732.09973723
202,141539997.76533252
203,76690827.91860019
204,51370878.05613672
205,116906898.61656582
206,78177236.92059541
207,111341566.99429369
208,109270272.02487801
209,117976075.24495308
210,130966625.23413892
211,126058466.97030497
212,137577703.26978046
213,87116711.9749451
214,68559322.78565302
215,74477573.10481721
216,71639622.19475934
217,107537596.9217405
218,62592229.51031242
219,119857638.17700854
220,68486784.58683342
221,96757126.517316
222,42169238.50626594
223,94777310.81951994
224,29581732.8089172
225,122328353.01718888
226,41590776.62459489
227,103407777.21772775
228,63404897.39077076
229,73271245.25441822
230,71143012.28386715
231,37446347.2793287
232,47488089.26488552
233,41265316.37364842
234,163346030.25694674
235,48656667.422438435
236,97555996.53087205
237,27866573.097913448
238,43165456.598549254
239,31494737.102193512
240,30029841.45481492
241,36243604.4270085
242,115630382.0939543
243,67410739.27255557
244,19351548.522468656
245,15792102.783679465
246,109904605.03249142
247,34850515.105755135
248,26534749.21577108
249,96507376.9602965
250,12535835.74714739
251,28322230.60939176
252,44614068.59668117
253,67294614.69730392
254,43165877.66204792
255,35576399.24911728
256,112230742.33931537
257,32097232.25903992
258,19977746.40658058
259,28894515.76945873
260,52859307.90752806
261,11457989.296985378
262,33238351.521311533
263,12688366.796762418
264,19865439.83415551
265,17546788.30562467
266,58933609.772698075
267,25563641.53118609
268,41309646.560048945
269,17975784.565372586
270,22731387.248850275
271,16325597.225808918
272,32634444.648831867
273,16856906.559766185
274,14412977.360680245
275,35072887.91760805
276,18826026.021013256
277,62199290.28115634
278,14025851.08822262
279,30373828.27200108
