,Local (|)
0,290.38863214303313
1,225.4813179341731
2,206.14756711494417
3,220.69786195342175
4,238.47803180848746
5,252.37317235601043
6,267.0694007554759
7,283.95532099809816
8,287.85282801712543
9,293.2763700764978
10,302.73118747928487
11,312.16759516717906
12,320.01984848921353
13,325.5481510276261
14,330.43324897937987
15,335.4419774216188
16,339.26189793504136
17,344.21259889049594
18,348.0122834202375
19,352.2456877735374
20,356.6562741790048
21,360.12343697039415
22,361.40633731371656
23,363.1636822582127
24,366.48467365120337
25,367.17528927862605
26,369.51627552825244
27,371.9157241313176
28,373.2752157295201
29,375.30150518463876
30,376.6894221317576
31,377.4199359384977
32,378.8442086504705
33,380.4692335602785
34,380.0091939046946
35,381.73375236340763
36,382.68638327004004
37,382.3696158681952
38,384.38771754463465
39,383.3072188049054
40,383.84715636453745
41,385.1047065778664
42,384.7066906672485
43,387.3118767196195
44,387.7362348663248
45,387.18380109744487
46,388.99430583765184
47,387.96261714347804
48,388.79401912495786
49,388.3904400683927
50,388.2881862470645
51,389.9876814799434
52,389.36057708348477
53,389.37449087469975
54,389.9374364930128
55,390.0838700792872
56,390.6214623670758
57,391.0867331254253
58,390.1191532109452
59,392.41826265399374
60,391.48734023503397
61,391.7068257988542
62,391.6144133651613
63,392.62825684849196
64,392.25467217678636
65,393.5254450530303
66,392.64698965640594
67,392.52966611722985
68,393.3401680032202
69,392.6595690898987
70,392.8342643005889
71,395.00286318425316
72,394.47377099186167
73,394.08852015079566
74,394.3139720888781
75,394.79613302833843
76,395.0501420705917
77,395.37350833625135
78,394.33967269959453
79,395.40349692600495
80,394.46310028791163
81,395.13348548924944
82,394.86714147005347
83,394.9486895927874
84,395.6000539559092
85,395.94824334471724
86,396.4969577788111
87,396.7609149715135
88,397.0762969295706
89,396.8889264064227
90,396.77197820537424
91,397.4700704081809
92,396.5538189980154
93,396.60250529864885
94,397.65867379228206
95,396.9422159630519
96,396.24172200657335
97,397.83840009072105
98,398.09705071826363
99,398.21521220403656
