,Local (|)
0,411.3865102680511
1,384.43569041066564
2,389.98552425383224
3,392.2736107121693
4,381.4766112289179
5,377.3656969891237
6,386.62638252312115
7,375.4311752832871
8,369.55352764100303
9,376.1123586482812
10,369.4488122990314
11,364.90825849395736
12,369.45142183420444
13,363.4144371885804
14,355.68039205976976
15,364.20156129525026
16,352.78673790326536
17,350.9539538689842
18,360.95514119275197
19,342.8401238346184
20,353.88305378028355
21,345.8466911554916
22,349.41289401747594
23,348.1968294436473
24,345.5067135160005
25,344.80002962730066
26,344.1446976636244
27,344.0301188853762
28,339.67817421708185
29,342.622676382195
30,337.1656405218097
31,339.13634208952493
32,332.58358372509684
33,326.05780950709664
34,326.8695727754698
35,326.9849487301826
36,330.8172464260527
37,334.13145653609894
38,330.42361027616306
39,331.2545572153765
40,326.5294648017738
41,325.9361990473448
42,323.6746387983366
43,320.7521300781596
44,314.77843982601394
45,330.9635750523027
46,322.40490773144114
47,319.4948417127514
48,322.5894776283529
49,317.74516876084687
50,320.3469218898986
51,312.30176083793793
52,309.7987659121984
53,314.6384904837336
54,314.5174153932862
55,316.50404798635043
56,316.01144329522526
57,315.4093263659043
58,313.9968124317616
59,306.6954394526394
60,313.5242210159793
61,306.0710107829554
62,305.6513237484215
63,305.2633846889557
64,309.21851560740674
65,304.48127412140803
66,305.9545610226245
67,302.23237827730804
68,303.65435705904144
69,292.02445303320064
70,302.5147155952689
71,298.75386782435163
72,295.7178858852818
73,299.76320686407917
74,297.9324575514411
75,299.15574035044983
76,300.8422989320659
77,291.69456065195914
78,282.15594849527974
79,291.0524960920049
80,290.01511355011877
81,288.8082031996285
82,290.33494123105845
83,298.89335336331067
84,287.9067276335628
85,292.6296426907457
86,290.4314199289459
87,293.30109345531207
88,290.3193840511736
89,290.3784762499126
90,286.9468042140161
91,283.9021102859961
92,291.5068633195355
93,284.2249143651756
94,281.3980079195371
95,283.59318371538524
96,281.91107988253844
97,280.90250430708016
98,282.55991081984905
99,276.2269835919656
100,278.35732428056895
101,281.3958132029065
102,285.73765170491583
103,290.9430410736593
104,279.4371915025538
105,273.3745263465086
106,270.8869359215294
107,275.33942939765177
108,274.47839570224124
109,276.2020508919763
110,270.3501309812776
111,279.76331780198143
112,272.34972550804366
113,272.9504835932625
114,267.71148381377157
115,267.1299925156335
116,263.4519530010086
117,271.9868858522666
118,263.0088122028943
119,267.3300665338323
120,270.91960322455174
121,265.11143643330536
122,264.64162144047094
123,264.93555728665007
124,263.876927404494
125,266.44565811364987
126,270.6765987556262
127,267.0750646934408
128,254.99003648704243
129,260.32654471905084
130,253.32767637903794
131,263.77633968674667
132,256.4556060863533
133,261.1364900136921
134,259.5302869053752
135,266.0558661377831
136,261.4751362097989
137,258.0959884364694
138,261.04337100053453
139,253.28645689264067
140,251.55488278173144
141,261.9387257987977
142,251.74941579868454
143,255.32191918877353
144,260.51528018040386
145,257.7762490330168
146,254.95111647002355
147,254.47529258704893
148,254.1318861781923
149,257.38318307094914
150,257.0079010041202
151,254.31444315085014
152,246.2894666534706
153,250.33188554345045
154,252.19352814577073
155,254.56093583195806
156,250.3537489154799
157,252.1868228255064
158,253.06577007177972
159,250.76428673342116
160,248.411153553044
161,251.08413856298827
162,248.39943825716574
163,249.36050847935456
164,253.03339504532514
165,261.7890375983297
166,251.36819544577608
167,260.9707288264782
168,245.7253037190596
169,248.10436291508188
170,251.27142508238364
171,256.6013075535333
172,249.14810741380768
173,247.63753063668457
174,250.62291548475815
175,252.81330217468658
176,249.42752170528402
177,245.54134638418526
178,243.33405330653483
179,253.58919229189007
180,245.5537045829808
181,242.30608401083322
182,243.1138881219473
183,257.14768922695663
184,257.3252570970011
185,247.99782594789616
186,244.76233953744082
187,245.12806826245213
188,254.42986782959733
189,245.13918756532365
190,243.27093331770268
191,238.9226072772127
192,256.42631775276374
193,247.19024172252932
194,244.456397191096
195,242.1641161710046
196,242.38020226630363
197,245.259159391208
198,244.89679991956487
199,233.61534159906736
200,244.89984617748394
201,244.92931902645444
202,246.02376704040566
203,235.31759374057498
204,237.97134339283824
205,238.40428223572522
206,233.24460305034881
207,241.51845833463173
208,236.29195797301855
209,241.71059908169443
210,240.0454592949671
211,240.34097068953247
212,250.95711217594084
213,238.69339276074513
214,228.18253732390713
215,242.50728765706796
216,233.5709788146835
217,243.16508882994637
218,236.19422313351106
219,234.71968602436934
220,243.69848106572397
221,239.1400580267934
222,233.24549947367888
223,229.37594680812066
224,235.5943703661225
225,241.32550546072872
226,239.48354984501705
227,250.10936856185475
228,237.77026643757313
229,236.68820840325094
230,233.00053957227325
231,228.54064882859126
232,227.3371157649292
233,235.43322619922282
234,243.06070167128144
235,243.60442217693844
236,235.36266052571028
237,232.10352296104614
238,237.89853546503954
239,236.07086666728168
240,222.59636893937295
241,233.45797397144452
242,242.3860879872581
243,230.3632390585506
244,237.88277000941443
245,234.70215341455864
246,236.8301974781341
247,237.29798736033925
248,227.95523560769504
249,242.4893362158657
250,223.2280375715199
251,223.84026716838042
252,229.93766450357504
253,231.23531450646138
254,225.51386586365444
255,226.9764298665226
256,231.1370020981033
257,235.61260470769972
258,225.58502637230043
259,227.93701731470608
260,236.74106227917147
261,220.3599652029559
262,227.91787130547695
263,226.49619845676685
264,232.43318241674797
265,226.04427806617753
266,227.84651360354823
267,225.66150514181103
268,235.90215174216286
269,228.89336258689795
270,226.74438344217867
271,225.28263535750622
272,234.2273112565766
273,222.78902005677233
274,223.42114352679525
275,225.80828215679455
276,221.84234856745243
277,232.98266139011258
278,220.6325610838565
279,241.48693839860067
280,229.29749990346193
281,226.8406675120863
282,233.2966667582415
283,226.484319820373
284,227.46402221232455
285,225.76997464620223
286,232.86350073624104
287,225.62537241992527
288,222.4072593899582
289,214.57962879596306
290,218.91082106173698
291,231.80442620579566
292,235.69980122306663
