,Global (|)
0,5.458087872936464
1,3.663732648070216
2,3.0816681545457785
3,2.983992327642539
4,2.968360121869156
5,2.962889838975105
6,2.958605046349953
7,2.957587765535327
8,2.9459291932421383
9,2.9394398335102263
10,2.9388618948943503
11,2.9307365862844112
12,2.9263729967390795
13,2.9307395146239825
14,2.928290517690458
15,2.9174358522894006
16,2.9222398580891356
17,2.9196701376332834
18,2.915927529179707
19,2.912721394074925
20,2.90434283528422
21,2.915789322506726
22,2.912037923926809
23,2.9113860723546963
24,2.9076753167244305
25,2.898731047059745
26,2.9076606362855473
27,2.9064631387351456
28,2.9037829661654935
29,2.8971073298997028
30,2.8878598524772205
31,2.8996128415079006
32,2.9004870605979995
33,2.8946785619256974
34,2.9015553819890254
35,2.8942091011516413
36,2.8959489471370854
37,2.9033138323639154
38,2.9054356697872628
39,2.9084034239868726
40,2.9093547870261802
41,2.900566432959481
42,2.918051333430638
43,2.9069457523189635
44,2.9105742447818828
45,2.9044559928315663
46,2.8979691299810044
47,2.8968084299295795
48,2.894385073487116
49,2.888879806554899
50,2.9001652269162435
51,2.8953380020404684
52,2.91043399612259
53,2.9055947146494288
54,2.903845835402336
55,2.8985435624776734
56,2.89878889305103
57,2.8884013621098643
58,2.8927301423231
59,2.8899169662513176
60,2.900537693529158
61,2.893294174496431
62,2.889580840126344
63,2.8951408504827856
64,2.8953483091484844
65,2.8937554335936175
66,2.8943205661250873
67,2.8982348180652533
68,2.900581837936377
69,2.901718941815761
70,2.9079840577603475
71,2.902980517521624
72,2.9002650278029596
73,2.900287540577168
74,2.892161260904388
75,2.8889013723539536
76,2.8920883480746613
77,2.888288541827169
78,2.880249066130347
79,2.8879244099798966
80,2.8918330695453833
81,2.8917171261135
82,2.896620714362198
83,2.8980827027252287
84,2.9006292085409484
85,2.8950000027400655
86,2.900546909298532
87,2.9050014091691447
88,2.9036950252091844
89,2.8963225799354713
90,2.895241737027293
91,2.9005779275371206
92,2.9028331967962218
93,2.8952830640069336
94,2.8941715943552024
95,2.889270415792349
96,2.8938839756194104
97,2.905393104182322
98,2.9072503269275645
99,2.9058515444007513
