,Global (|)
0,7.805785477210032
1,7.600485766426264
2,7.521706322151326
3,7.326288192829363
4,7.3414530446688735
5,7.301168257365055
6,7.158432450443102
7,7.162193146764969
8,7.090285618219994
9,7.136502956896031
10,7.011475802100092
11,6.896351165145037
12,6.917111988681734
13,6.905226798004682
14,6.739913517423909
15,6.772360089914463
16,6.657592682062786
17,6.708891650835374
18,6.671401681275526
19,6.563823995474537
20,6.551088309130261
21,6.584974570392912
22,6.527903818894686
23,6.479856940881388
24,6.593658405875697
25,6.547102359898373
26,6.507448554656149
27,6.388993270286254
28,6.399692176062016
29,6.387370657789325
30,6.386852221514587
31,6.366439902906054
32,6.2729372461736785
33,6.359662203827338
34,6.287384163542924
35,6.238307437002474
36,6.357104205460574
37,6.257393591496689
38,6.31049853441367
39,6.268789649011076
40,6.112652669823723
41,6.1740857572289825
42,6.153043586286884
43,6.1890322369096324
44,6.2203925146324135
45,6.065208614043114
46,6.092425504649456
47,6.096383117955673
48,6.1378777599047325
49,6.029689389728896
50,6.030815720228554
51,6.033935655998875
52,5.974670540709588
53,5.912024567541532
54,6.043550416080901
55,5.943367801715919
56,5.973674132816858
57,5.985709177452923
58,5.913979067547455
59,5.960294151569825
60,5.902945527806969
61,5.801357443351157
62,5.853440329103419
63,5.841203524511209
64,5.800958617795579
65,5.762223125153339
66,5.823326196694673
67,5.738702680809656
68,5.789393537130831
69,5.704678552170005
70,5.681324002337878
71,5.720422342349113
72,5.67599845356851
73,5.687884101988812
74,5.653021506657704
75,5.687766122527388
76,5.577207632776848
77,5.644383064162596
78,5.709731876876353
79,5.6206635969730225
80,5.552434870673469
81,5.63049829912113
82,5.540113891357374
83,5.46886499851682
84,5.51356184275309
85,5.491573967834391
86,5.4275531707295945
87,5.342865681292853
88,5.484668526936293
89,5.44433104952879
90,5.431893873029695
91,5.478926483719398
92,5.4549847404179825
93,5.456128215673581
94,5.37573425065632
95,5.404483365061553
96,5.333791225379838
97,5.374114543119883
98,5.330548778197117
99,5.313590880078694
100,5.331998219684024
101,5.315545320556187
102,5.292676066649293
103,5.2106631523071005
104,5.252008541702049
105,5.27181887233463
106,5.203262563651513
107,5.198268164730538
108,5.199740242315446
109,5.213646530276268
110,5.136874731045084
111,5.098251145302953
112,5.0819240840551165
113,5.114209237290569
114,5.073246136252118
115,5.140102094646211
116,5.094489013124695
117,5.062883623597052
118,4.998566615331862
119,5.014485428560273
120,5.0864185329435
121,5.082658440871715
122,5.014114317333818
123,5.045779606059857
124,5.0783370517837785
125,4.987480088908074
126,5.0015822343916225
127,4.946979756505407
128,4.9834386872385
129,4.937831714723274
130,4.971643515560181
131,4.95396561466265
132,4.9360747311012165
133,4.933743230071241
134,4.991414822964555
135,5.0026201391658836
136,4.913595808612404
137,4.909757725717736
138,4.909739138726519
139,4.8732450999448655
140,4.878233104523106
141,4.838362116058926
142,4.8527889814457685
143,4.853582080075384
144,4.878432944264475
145,4.8412865749184295
146,4.815049777560922
147,4.735827979882094
148,4.83837653932223
149,4.837245375982043
150,4.773085673665911
151,4.839370393314461
152,4.748840762397666
153,4.764722613455335
154,4.681138180695767
155,4.695006039552975
156,4.682848988118741
157,4.709473508776016
158,4.68420853402591
159,4.583313121370994
160,4.666091875318235
161,4.6211046483048355
162,4.657271743637422
163,4.611670775039129
164,4.598798314846122
165,4.521134520620946
166,4.666203437291922
167,4.6041551546167305
168,4.623642533537539
169,4.585776403851223
170,4.627336604180703
171,4.549951389962132
172,4.566680427985554
173,4.527817930095224
174,4.552377336184131
175,4.579438767538924
176,4.54085127750256
177,4.511106110012985
178,4.4308935217145775
179,4.496355193449447
180,4.44141604594929
181,4.5168836086538136
182,4.490553899040667
183,4.468400429690743
184,4.503330418764127
185,4.465712828094913
186,4.399423321706097
187,4.327804356413136
188,4.385779827215023
189,4.383203499560933
190,4.413149010495897
191,4.331549441519152
192,4.354764916622584
193,4.357317706304294
194,4.3342839438173755
195,4.364793420796391
196,4.317110146886597
197,4.362021756876864
198,4.231224605043549
199,4.3019040132862125
200,4.319514336773411
201,4.322145275602645
202,4.317760169633507
203,4.293598488615381
204,4.225389057960672
205,4.292887239937545
206,4.306282124805824
207,4.1589134565691595
208,4.272688943872841
209,4.236912088773712
210,4.169582410571494
211,4.267060561785287
212,4.1520550461216486
213,4.17427755870761
214,4.182220993662888
215,4.0702818266860215
216,4.17906043705448
217,4.10783380021811
218,4.102557350608881
219,4.126975283808033
220,4.127002782180583
221,4.148924579173145
222,4.086250669993813
223,4.091742697402466
224,4.132335013284779
225,4.075338699609334
226,4.016559839329754
227,4.060569417140165
228,4.052641968008156
229,3.9801923217402546
230,4.042755619926822
231,4.0836363164925045
232,3.935049697291016
233,4.034697915407835
234,4.000647704658446
235,3.9769432527995825
236,4.0423287394306255
237,4.01680586465311
238,3.991582935225862
239,3.960540552412854
240,3.9631256714592613
241,3.9761933203544864
242,3.954705572803242
243,4.007717725692487
244,3.879507683859364
245,3.8752853452942917
246,3.940690748642031
247,3.9142359138156424
248,3.9568623891236485
249,3.8658239143559
250,3.85346835710775
251,3.897318822327515
252,3.900099557407585
253,3.8981136252087505
254,3.933635222939867
255,3.841807401353012
256,3.882299291325918
257,3.808473931818365
258,3.8181872269995214
259,3.8535512171777153
260,3.874363220740869
261,3.844065179861511
262,3.826553739537023
263,3.8607484891373134
264,3.748629196288283
265,3.7429096780289846
266,3.7809981667552375
267,3.7627226129938847
268,3.7860549236946306
269,3.7375515373239345
270,3.7287885434537245
271,3.741302189079839
272,3.803180530807466
273,3.7885593942047304
274,3.715553197218911
275,3.7429621255334475
276,3.6935387175469883
277,3.668765652279121
278,3.7128501318003395
279,3.704800167432523
280,3.707535366033616
281,3.7418358642831384
282,3.7105778269546095
283,3.7346367880085283
284,3.6955056623858527
285,3.7006728246851064
286,3.67640776070799
287,3.678175030247544
288,3.6979514399981364
289,3.7061136010716536
290,3.7177998780495383
291,3.61572742248743
292,3.642356190772557
293,3.6282592866886727
294,3.616576185959821
295,3.6645311281977047
296,3.6018437231212186
297,3.5906637459352884
298,3.6688860182314227
299,3.5702200216382787
300,3.630071810752091
301,3.599172919369992
302,3.532534211817103
303,3.5857767926715276
304,3.585377581937884
305,3.5882770487698292
306,3.639212570434246
307,3.585523571151398
308,3.551886291998773
309,3.525724943576825
310,3.5706852739796586
311,3.530735884619245
312,3.488301472062891
313,3.54768182247822
314,3.5297519050811914
315,3.5395061598464164
316,3.545725965274451
317,3.497669234186354
318,3.4735669716640922
319,3.5877034663196614
320,3.5047705778622715
321,3.51295006078855
322,3.4470582652528075
323,3.5165606832267136
324,3.5070795239505648
325,3.511158583625519
326,3.490714669688004
327,3.4830284505381313
328,3.4974487109540617
329,3.4050793203514456
330,3.474542909911788
331,3.441340397628867
332,3.41406752905986
333,3.4989798613312755
334,3.4805674146086707
335,3.460251729687783
336,3.512460940134791
337,3.426215723749249
338,3.5341501851074995
339,3.422985422758761
340,3.421361803023671
341,3.446073789598568
342,3.4081971010073
343,3.3937073595457496
344,3.393069172142863
345,3.4244159783804764
346,3.41780897146635
347,3.461051051055465
348,3.405932675094893
349,3.4172843278382934
350,3.425336914986445
351,3.3714836570629227
352,3.382330591796527
353,3.3682241560045414
354,3.430754823403116
355,3.3785606446435206
356,3.390287149710521
357,3.428962003496705
358,3.399428971630686
359,3.3419639317072836
360,3.4313994428216987
361,3.354032178537806
362,3.3015362859802377
363,3.4381184078929006
364,3.402311664852935
365,3.3733372538381343
366,3.403799934083932
367,3.2637878538102534
