,Global (|)
0,140854749422.9987
1,163392352013.94058
2,100010961624.78181
3,71865067124.80252
4,107395335776.34923
5,62538879573.907585
6,84400106081.55725
7,83937781358.98325
8,60610048959.08315
9,76858219577.05911
10,126431952389.43607
11,68747973671.7241
12,95116959137.9212
13,81107273179.35884
14,58752011513.20964
15,84216822263.01753
16,51938558604.83047
17,52107443749.752365
18,37799754593.492966
19,48251781749.73202
20,44809128214.17225
21,54277891858.97805
22,32531941536.320877
23,37659046657.39761
24,62574809728.75624
25,35116946021.47662
26,39895847847.75258
27,36335948490.47493
28,38223395951.29908
29,46320280093.74891
30,30900183672.060715
31,28239527050.17737
32,21265579790.56201
33,26714569087.02149
34,28965799005.46913
35,26191187759.269524
36,28669330850.726406
37,24623045915.798447
38,27207306338.609753
39,19208563514.37292
40,18363077527.753338
41,26026891943.969826
42,27177551713.79322
43,22989124111.075573
44,27868293819.522285
45,11506630871.084202
46,16630096022.1361
47,14217817514.26841
48,12908192251.840122
49,17767965394.860428
50,10917013040.556746
51,9710058572.515352
52,7485131974.644635
53,7350324674.20432
54,11009766920.270584
55,10092913844.238886
56,11531421993.956675
57,9171251966.795568
58,7681599293.916362
59,7863652576.53432
60,9378431555.830694
61,6262889442.767662
62,4743800424.832665
63,6480076585.463347
64,5711602087.036627
65,4774771982.575191
66,5647145067.514453
67,4333863002.460374
68,7549195476.278149
69,4509449720.871867
70,3580548511.124472
71,3629109185.975431
72,5002184252.479337
73,4999080513.664034
74,4455417018.753278
75,4082373669.1835294
76,3352953891.174581
77,2145343190.0183287
78,4572659769.252636
79,7442966406.064774
80,2885019760.047216
81,2432808705.4774213
82,2542113364.131817
83,3326182615.0574455
84,2149828528.977172
85,2486322081.616546
86,1781437892.3395467
87,1068540516.351883
88,2870155335.3975196
89,3388757208.4654484
90,3577907202.701145
91,1644480154.2391748
92,3238408827.919931
93,2484552361.507405
94,1563860330.0659578
95,1837428045.59109
96,1126616922.1280136
97,4492196318.423765
98,1518211563.1949105
99,1416814479.5991442
100,831991791.8386313
101,1853913207.3453815
102,3041561451.090684
103,1179457382.6061366
104,2058591412.1565714
105,1987898944.8082547
106,980979115.0049437
107,1964193212.25199
108,1071542904.7232997
109,1510905571.4450865
110,1070000266.3913838
111,679380222.7451335
112,664014509.8401217
113,1881096252.367666
114,1126886256.729227
115,1424381296.6987307
116,798153925.3341407
117,905365939.5642072
118,592964796.8909786
119,659236536.7438188
120,777417641.4650705
121,670834633.4853524
122,526904953.7021873
123,362974026.5543523
124,447266725.18672305
125,949949335.2406927
126,621883975.7139084
127,367536014.86291623
128,474603241.3026907
129,311023123.617326
130,381775071.4018329
131,303270628.6961855
132,382361534.99945486
133,321479213.94319737
134,312801274.6559016
135,272219941.10475993
136,436022720.91147876
137,457352550.3178488
138,473127430.5267703
139,175002855.11485264
140,261552523.5387696
141,198657469.42492428
142,177904897.8525474
143,272460917.7539804
144,291196674.0498786
145,265057001.76904085
146,416689426.9421616
147,257598174.86445025
148,157922357.0533146
149,136551155.86373878
150,215341371.790815
151,389922702.54104686
152,262737367.613866
153,124586378.23760572
154,104200056.27911706
155,160276979.13602602
156,155106630.53958127
157,197291293.10547882
158,150622755.9204928
159,146420749.44809294
160,123204957.66108745
161,136083202.78834635
162,152305690.45382679
163,177672830.33252496
164,123297934.6913513
165,92762740.03837676
166,108511280.36503448
167,104839247.08270055
168,110804564.4929891
169,128534338.25910388
170,112859527.64190088
171,91286143.590715
172,66638538.93149892
173,50802412.847571045
174,32495745.67969268
175,47912761.670570634
176,44975469.893677406
177,34176374.949990146
178,36611833.28899885
179,36842893.15247397
180,36817512.17488164
181,57398357.97052446
182,45358771.657124266
183,32071020.64311727
184,34991416.13924992
185,22393740.055966377
186,30435917.644671783
187,22559397.77505294
188,19968058.36369929
189,21762912.082535263
190,30959082.45960135
191,10467007.708236715
192,19717237.761203285
193,18526738.96242733
194,18353298.476839844
195,41542853.74009517
196,20616218.29704766
197,56924927.19909366
198,13543002.42365152
199,16572277.55460152
200,56475590.79305042
201,9324099.107152238
202,11886799.044623824
203,29978907.320654836
204,8977552.804637626
205,9915495.976351434
206,7493278.631368717
207,5192917.514950462
208,9120193.724226493
209,8234929.319029144
210,9021599.840821765
211,10956247.63885823
212,7513130.560343102
213,10334461.85650375
214,5247854.91621379
215,2224683.705801217
216,7481501.685899297
217,2951252.190323334
218,2677027.6433730554
219,4484047.32712908
220,6517094.373781973
221,4782610.175103118
222,2543719.338364582
223,5903300.661066318
224,3241170.13074385
225,4064842.843906689
226,1285632.251299155
227,2582221.4696728196
228,1869154.2930291726
229,2846239.2956433017
230,3492559.7471642876
231,3483863.4349598656
232,1253312.3208183665
233,3530634.31803349
234,4880035.745082456
235,1093365.9444610677
236,2043323.004435192
237,1989921.007887858
238,1743812.1293569936
239,1579684.0046889458
240,1028110.7321057214
241,1443694.0402787905
242,1049725.1985023064
243,915752.4191029278
244,1832939.2150985503
245,1021517.2686555954
246,575784.6089486897
247,422942.87200486317
248,1224103.1681258893
249,1072902.2934835309
250,397469.35650221206
251,612110.6543303332
252,550512.75384849
253,2173142.6281671636
254,3337642.3587516476
255,498589.721236534
256,510992.85908649693
257,444703.34095235664
258,288257.43311143573
259,1056086.7152366617
260,625401.540652257
261,433007.5609679697
262,373621.1040404545
263,1004559.9791622888
264,443959.176887132
265,242819.81867145986
266,262933.30725901586
267,195175.05598191376
268,384697.50010651804
269,174019.21978873858
270,163278.50877155046
271,213856.50056422033
272,277060.92425229144
273,328712.7575940101
274,119482.2525919318
275,258313.58152093197
276,119619.10930519206
277,148078.96114818737
278,145339.01438348676
279,149247.562349857
280,84543.4024860912
281,211711.98204073394
282,123962.54949089217
283,124206.14221415095
284,173194.42975302946
285,129475.70167707202
286,102972.81361996378
287,87310.33641937329
288,139736.57544989962
289,131112.88793581308
290,115566.21150228805
291,48209.20659181072
292,74392.2817298253
293,57093.255589106
294,70394.08277015998
295,171177.80703843993
296,38440.631924198344
297,93013.92683424066
298,97590.49407614194
299,53221.58870050532
300,199162.56242638789
301,63493.39159231755
302,39078.66305409163
303,64013.966823153976
304,50182.92849043611
305,89196.3846154757
306,99650.42299729344
307,158283.49562867096
308,32981.822380535144
309,93053.2155192873
310,32809.827039675314
311,120440.10315236541
312,17208.74230156649
313,70851.6651739273
314,30311.746217968517
315,44358.90955919864
316,178145.99423760816
317,34963.07735677824
318,20295.61688365341
319,55787.39973790873
320,28989.396653373053
321,15890.26882399256
322,16816.77936151372
323,22318.324793342577
324,17995.08869603004
325,37561.320381852645
326,71652.99256472297
327,20908.49188792567
328,13128.435710589722
329,12442.0645664756
330,23911.456358002448
331,11752.334043725154
332,26434.80301199122
333,14965.363008719121
334,29068.472377989707
335,20039.971562030245
336,59850.67992404893
337,22140.908530170724
338,36196.315058133754
339,17413.835193038452
340,12499.975923280886
341,113343.1801027918
342,10629.961324549593
343,11760.130503523167
344,36230.2485976799
345,6750.678886490422
346,7445.460309869306
347,17350.853362935668
348,24021.383296308737
349,15227.362898696567
350,11393.069883636233
351,11753.533247592037
352,15992.837515635028
353,9373.478331301914
354,15994.744772705753
355,5820.6566163027555
356,14180.371026225726
357,13214.282737949034
358,7268.729326148174
359,3383.019676003634
360,9073.956028657798
361,15755.519910769597
362,6785.045646879217
363,31511.599485538372
364,6297.6201206816695
365,29602.047525883994
366,13250.270749225083
367,1657.3313567359685
368,3126.356963558564
369,1450.092735337837
370,2018.402388531807
371,4060.05469425921
372,3887.221833507566
373,3924.85759463627
374,6450.132930788232
375,4906.6593350789335
376,14257.819131903363
377,892.5190246753075
378,8572.624105846295
379,2596.3762057103027
380,12132.818477329043
381,2440.589683265153
382,8750.719376448
383,15655.050990234799
384,3409.2267161156146
385,19254.613293939954
386,3446.961874022374
387,2218.5914258434555
388,1389.1120634198728
389,4385.645684341192
390,3375.4574994539316
391,1217.0511126631284
392,4039.5934923239747
393,1362.5897691426374
394,1707.7796379180447
395,2249.882231203765
396,1793.3593808352566
397,2890.1700777027822
398,831.1883676562004
399,26596.854520328423
400,3082.340889525344
401,6416.5654828079005
402,1265.5795543122463
403,2879.3802144933343
404,1008.653390096036
405,683.9001646850205
406,917.2542823553302
407,5709.294530171462
408,1435.0152228293834
409,845.3969172142749
410,775.4917002894597
411,743.662319657512
412,638.3165241844686
413,3222.457999741284
414,891.9757839630745
415,1031.8311457641253
416,4865.441382066595
417,530.506409400439
418,590.235229273259
419,5394.463734263235
420,853.1026478481496
421,668.3690245579988
422,1434.4119094205116
423,526.8570211927544
424,178.14217315484612
425,621.663284635834
426,5106.01029510145
427,668.8400016020421
428,184.46991947406278
429,654.4576456992638
430,548.8030816148812
431,618.6562584623601
432,8307.469359835413
433,312.09759158955575
434,626.7915402607057
435,276.9973575168422
436,552.0337397772009
437,492.72743782092226
438,996.0217964819517
439,810.7334903098016
440,773.8138915202395
441,1043.3585965634713
442,176.12084806865028
443,127.14362540519245
444,454.87175938192956
445,148.5858705246526
446,155.52712501975637
447,682.2483826898351
448,582.4656050004762
449,273.526485747974
450,1273.3350373310218
451,121.49779173648163
452,362.69502238933967
453,1155.9183791833186
454,946.1749555641518
455,2611.862846595966
456,312.72226767198083
457,90.521502319536
458,485.84784158376215
459,171.94277502124436
460,398.37302896120275
461,1164.9831520292903
462,186.1525295082267
463,76.87461556145738
464,137.52997165072577
465,398.7865285136684
466,222.8565355273381
467,123.92406634569804
468,660.183657045503
469,144.76115349388715
470,107.54541340606958
471,286.9020666988537
472,89.0642587469813
473,175.08104966366267
474,163.85175582930484
475,197949.11269070284
476,119.36933603466144
477,682.8124962633908
478,50.83873602880718
479,98.02908775564391
480,167.06519447006477
481,145.92905737435206
482,92.59034910309627
483,365.90415555111827
484,209.4798055666383
485,863.5953304059994
