,Global (|)
0,27.17798677270914
1,14.326985597823281
2,8.976643140356968
3,8.52148312091548
4,8.223890847968697
5,7.800558385164956
6,7.549461535936929
7,7.235369349635358
8,7.179242945853623
9,7.021121389909914
10,6.95580746953086
11,6.836275279310788
12,6.744485625985228
13,6.696241533396808
14,6.6197665926326055
15,6.441032971879996
16,6.3694564907260425
17,6.266778193136648
18,6.0949972450415
19,5.92483212936191
20,5.797033845059683
21,5.816558759368356
22,5.738578185394529
23,5.710579039265118
24,5.61885513068278
25,5.539005909926312
26,5.589103669329338
27,5.618381159806194
28,5.566938816313399
29,5.390855003853016
30,5.421487158500936
31,5.536440303577693
32,5.374879411164996
33,5.213015953689288
34,5.3822952273192115
35,5.357410649732499
36,5.502470071324316
37,5.361577791331711
38,5.568481639956309
39,5.3651640397227345
40,5.303892319029302
41,5.323281728777566
42,5.251918859320873
43,5.4912143213619
44,5.3559457829783845
45,5.356443485808288
46,5.20404441771346
47,5.237079071460502
48,5.086062830920381
49,5.066530281475385
50,5.235519164445282
51,5.209585994192556
52,5.528300412551215
53,5.304914500625674
54,5.264448611098214
55,5.397902571101904
56,5.377004620524629
57,5.266426013403146
58,5.375665878823851
59,5.19700594152123
60,5.260387019875116
61,5.135118788375909
62,5.081482045784451
63,5.308205366442985
64,5.394254212288703
65,5.428315117785732
66,5.3970791423350875
67,5.340137819853456
68,5.2609090034323165
69,5.297929011357832
70,5.320526853320553
71,5.482732696860204
72,5.434268061311409
73,5.422645847307422
74,5.314961649358495
75,5.234249304407903
76,5.223427800347935
77,5.113057663711467
78,4.957827373994014
79,5.2661356978264475
80,5.079568689715608
81,5.094761684646687
82,5.2672546034768235
83,5.333380979383813
84,5.445515223791308
85,5.296478087706911
86,5.210146182840645
87,5.4181435748936755
88,5.432748197026907
89,5.233113752147749
90,5.446072526562115
91,5.386394486266377
92,5.412643904218706
93,5.424295163324527
94,5.256331323972798
95,5.3197857494705465
96,5.489482449698677
97,5.674139648181083
98,5.582973017789012
99,5.358867942949243
