,Global
0,3.5300045105150133
1,3.4670635664295633
2,3.4400435560245826
3,3.434913262569958
4,3.4104346361622557
5,3.397659195220766
6,3.3742231700118905
7,3.356152990913981
8,3.335970358753297
9,3.3201178176443373
10,3.2942735008483934
11,3.275654123368604
12,3.2726006721485015
13,3.2320369128846864
14,3.1827577825290256
15,3.1557561515613073
16,3.114903592255964
17,3.0664589623373844
18,3.0541675857520754
19,3.0314122082686903
20,3.014104069770789
21,3.0018220076505133
22,2.990657442696742
23,2.9920731310715265
24,2.9804708131091298
25,2.98661379645183
26,2.975742414456995
27,2.9708630994485254
28,2.96796573112543
29,2.9545278409296527
30,2.9504914560034616
31,2.9589443991373927
32,2.9566201507919176
33,2.9702379885178316
34,2.966561246368949
35,2.965617930427332
36,2.956790760571412
37,2.9575941659772567
38,2.9705495816538097
39,2.9642505473216296
40,2.9589120346485203
41,2.9617280368243746
42,2.9577268720012917
43,2.963447017330823
44,2.9629779423684823
45,2.9613312652689285
46,2.9432294896415425
47,2.95347385244391
48,2.944212453610717
49,2.960032937247943
50,2.962159906196871
51,2.9540178486760795
52,2.9537468813498218
53,2.953450325070499
54,2.958734397596564
55,2.9372108633825262
56,2.9608613607409584
57,2.959535234538817
58,2.9492613405123653
59,2.9562407809184763
60,2.938936848989595
61,2.9518301677470835
62,2.9464422984729284
63,2.945540073147745
64,2.9447510290385317
65,2.954598622885704
66,2.954359149580061
67,2.9610453345649033
68,2.9708213451621783
69,2.9700264422640403
70,2.973503647102524
71,2.961130412686933
72,2.9425881315751674
73,2.94057611038069
74,2.936791501864428
75,2.9409484270528248
76,2.9483805631974622
77,2.936752656389639
78,2.925758155878211
79,2.9284781057314695
80,2.9407650744405913
81,2.945821629579177
82,2.958517873666039
83,2.9531084729090167
84,2.9454656028229427
85,2.944184678015144
86,2.9474618495490033
87,2.955046112412001
88,2.9678942584259986
89,2.9570067824302946
90,2.955905585916799
91,2.9460142216374305
92,2.957895769018054
93,2.9541207231026094
94,2.951573670775037
95,2.937254272562129
96,2.9449198926183477
97,2.964995371504352
98,2.9528638849017366
99,2.9439967981196746
