,Global
0,13.467599973741457
1,12.510251676194752
2,11.634555587163481
3,11.65024088297932
4,11.250156294976135
5,11.097418796747403
6,10.715902048505972
7,10.484819133804267
8,10.20028831422504
9,9.923521116023117
10,9.564682179955529
11,9.193587678917297
12,9.123921277214865
13,8.41719773522158
14,7.463847314384435
15,6.595241539020367
16,5.584842267511717
17,4.691015595795308
18,3.936798392568523
19,3.5787463200041674
20,3.2927126524411907
21,3.1856356245921535
22,2.8328891128827367
23,2.7016162979915133
24,2.525633620623987
25,2.6217306943497154
26,2.6057964982247315
27,2.512986303285115
28,2.421303683204077
29,2.333777141356125
30,2.2823879137553487
31,2.35628046319916
32,2.394827726620492
33,2.507045108178051
34,2.530939086231391
35,2.4700977638339725
36,2.296891722111687
37,2.28646473536807
38,2.339900554833895
39,2.306080159506669
40,2.2766766665940765
41,2.199092169463205
42,2.089337332603363
43,2.0562823754808366
44,2.166902116917649
45,2.1431184298316364
46,1.9973774818477525
47,2.0636985654661557
48,1.993470446730331
49,2.129050525543526
50,2.0978296642789473
51,2.0394887089271316
52,2.0416333261240185
53,2.0800168092081073
54,2.1286072718407305
55,2.015477553628091
56,2.034670254767048
57,2.0527560983996045
58,2.0636676082799372
59,2.120133541796133
60,2.1030330083770195
61,2.0404026781834506
62,2.0529904505063232
63,2.1799086471701883
64,2.145074915392744
65,2.1143851789355157
66,2.244387115221478
67,2.291624661427911
68,2.2570450832194853
69,2.2365619067731886
70,2.1864358813739715
71,2.0696194915697705
72,2.048427031802471
73,1.9822558719133456
74,1.895754222795673
75,1.8897293196145213
76,1.9420410710639595
77,1.978322088939984
78,1.947304576491576
79,2.003967000608051
80,2.0285468085608684
81,1.9454931432509266
82,2.1015693093578496
83,1.8871866785782478
84,2.055838192660625
85,2.0111376688956737
86,2.0880748005046685
87,2.15812442214673
88,2.225344780774408
89,2.1537451198852717
90,2.158005833229162
91,2.093257784221335
92,2.1654889817252236
93,2.0544986588841834
94,1.9970374714959136
95,1.8244444784009248
96,1.9302562347078414
97,2.070384695329237
98,2.0280018694160433
99,1.9079080316552548
