,Global
0,200270.68764873527
1,136746.4466690202
2,83740.7784749706
3,56810.68535100057
4,43263.27903729078
5,36860.298371877696
6,31134.782795118103
7,39920.76476422219
8,22563.53857739552
9,19235.393269400036
10,15666.085857334969
11,17218.485410048313
12,9887.569253753707
13,6006.590203015086
14,3897.877541663167
15,3593.263785743728
16,1065.0378883133233
17,609.914063854465
18,717.4431994379322
19,389.4128952968085
20,332.9466595883733
21,294.540916095918
22,163.35445310783777
23,181.62224378956407
24,195.23400993864044
25,505.62875305530207
26,155.32480947837612
27,75.01324155599605
28,125.76126097093913
29,59.10344795371216
30,217.64692801694918
31,52.07790504166297
32,37.98342428796859
33,56.03785730680044
34,63.87155265483706
35,157.58680266016577
36,45.580214625419885
37,129.19361117085052
38,154.37012716565022
39,64.48856769414255
40,75.53322044915797
41,64.55297507240044
42,43.04318110771048
43,50.71156074992774
44,56.694822993819024
45,95.76363407913205
46,105.8321734691541
47,49.391098553023184
48,37.591187713809106
49,35.34821804978686
50,33.69448547806683
51,45.89763445481064
52,78.31372982627755
53,54.573153836387576
54,64.12447900959086
55,126.24451590067663
56,82.96056318198812
57,49.37585136940045
58,49.56906436028871
59,37.66288979275993
60,46.570551951288365
61,50.3252102771104
62,87.97897094734981
63,43.49780205915115
64,49.09326211736
65,51.50091146583451
66,36.12974074179358
67,36.77309555835097
68,115.67707018691362
69,51.57552321609089
70,41.42120266219292
71,65.22957628236732
72,190.28150564064006
73,61.55907608621551
74,49.573519039960445
75,43.02823184118076
76,216.90989497234722
77,37.644272309152235
78,36.676884292624344
79,90.043264480919
80,140.8373777933681
81,66.93666484170934
82,127.30135737885853
83,43.830790957508526
84,130.7814570613034
85,31.563173125549934
86,61.50140927465217
87,55.251606150253856
88,44.698720396786754
89,89.41768935844004
90,143.99042671732755
91,218.63010084955786
92,39.75291074806977
93,34.230154370698436
94,174.45873502760043
95,39.94787647404657
96,54.47217407456207
97,41.70233705377851
98,60.97797466983538
99,56.31277071558192
