,Global
0,13.53802890500682
1,12.394793551415901
2,11.725447818182948
3,11.604146073661912
4,11.309246438758628
5,11.129916562655035
6,10.825694166941354
7,10.585793314871992
8,10.263984285293075
9,9.848685421510252
10,9.826897766814223
11,9.061319772486444
12,8.65921122063655
13,7.989408865559468
14,7.1029476152293025
15,6.309819518903261
16,5.210034608395777
17,4.430367469556757
18,4.078142655921625
19,3.921371301071957
20,3.696103387312108
21,3.339533055098694
22,2.758937368967649
23,2.8052884672120273
24,2.665703095505001
25,2.6398867364619694
26,2.479927372646645
27,2.32966355807072
28,2.4917443555904826
29,2.290244912495578
30,2.229903407011476
31,2.1814436231166945
32,2.1717179549587753
33,2.2606283545752994
34,2.2172116022049986
35,2.3391237731303907
36,2.1824171263916092
37,2.1274245989663974
38,2.0574584103021887
39,2.1870047710994736
40,2.212344472490351
41,2.1693889168192606
42,2.0818685814263604
43,2.0258733019488306
44,2.0325140697129305
45,1.9330158882297053
46,2.1968993723530343
47,2.177072420260207
48,1.9326182877853888
49,1.9805367718993419
50,1.9969386768822224
51,2.112019370976691
52,2.012769696657513
53,2.1416088914836355
54,2.200365227220299
55,2.0783952478955676
56,2.0962967814103184
57,2.1667508752009503
58,1.9995827571565592
59,2.0994488083615424
60,2.047180385451447
61,2.05390932786362
62,2.092478855132802
63,2.120248295164615
64,2.028103246532732
65,1.9207117082148373
66,1.890008929045579
67,2.0577439773272053
68,1.9763311277012516
69,2.016129317399671
70,2.097072992709463
71,2.136592379993945
72,1.9634968240397979
73,1.976067099089288
74,2.062554259754211
75,2.0645620312497206
76,2.09939556420899
77,2.0694663525403367
78,2.0250687374238874
79,1.9902099804244124
80,2.080358264374734
81,2.0103711193567704
82,2.101040869712383
83,2.024217839659953
84,1.9605285360883478
85,1.8432251131451256
86,1.9521166064096491
87,1.987154402173158
88,1.9282100929405575
89,1.8922582504049603
90,1.993714969975541
91,2.0960481125182118
92,2.0561609350015546
93,1.883354278527233
94,1.9530185799551967
95,1.94698859420141
96,1.9243406856369807
97,1.8862832809363348
98,1.9838023796104045
99,1.9215289607918375
