,Global
0,99969.25090648184
1,385076.4197056058
2,62183.59630889236
3,68593.53029907832
4,149921.22865252668
5,51563.950015632894
6,31966.496934954957
7,138606.037855192
8,31197.427374841467
9,359295.3643172055
10,126175.70603551867
11,10355.547170365599
12,80176.16023886969
13,46329.833146898956
14,24229.226370281696
15,61695.300783747196
16,13826.748698273886
17,161071.7197274764
18,172605.7726346206
19,10043.028775003173
20,16126.462120628208
21,59112.27609488157
22,115093.0350106867
23,27797.842534770825
24,6715.837059621328
25,39616.339391189846
26,333529.781977463
27,1754112.6030356782
28,110950.88321276034
29,85937.78911128874
30,76939.12106412745
31,75124.13049325866
32,294353.4055805655
33,74721.18114975085
34,13692.157813013175
35,22755.8128267334
36,171021.2125341625
37,60870.18569775883
38,40964.937581939324
39,325884.9473073011
40,174011.4346644398
41,430159.3696717673
42,67540.4836125046
43,21464.601048754408
44,350079.6678079695
45,67538.67611706704
46,112838.0629869263
47,980787.6609039597
48,136484.0871319791
49,40607.941899607154
50,58646.488888306536
51,647606.9604661186
52,107538.68547827676
53,188384.21231360934
54,73974.34171376227
55,49098.16561567187
56,12228.776420691314
57,140057.5000052167
58,138857.04183243986
59,150308.91956705804
60,81442.92437679325
61,1855647.5451665558
62,170860.76158894526
63,203723.26197198004
64,156380.35892231239
65,4907.6408471306995
66,93690.51791281675
67,2366318.1389340786
68,143899.19440866527
69,791806.8761312532
70,105046.64882523828
71,43629.69353669303
72,18764.690515359183
73,84423.7368581753
74,56035.021304059155
75,14291.852247346545
76,58717.323832966016
77,153880.57974999925
78,106820.52583341025
79,21570.17824209951
80,19204.354645497813
81,1140265.5287716496
82,115828.88388738688
83,72859.5441093992
84,151401.31291452717
85,26633.762597868357
86,153291.24912934977
87,37960.921802913595
88,915891.0485201578
89,766578.8192432418
90,111925.83984947905
91,28736.23604353463
92,62209.380236017234
93,1917387.4675613153
94,101052.96480940508
95,77296.72481601474
96,37386.4819699959
97,25827.132290961144
98,77407.72506211106
99,192672.5891719047
100,220414.5828225533
101,45940.41939575954
102,1101995.7526986669
103,5901.482745581656
104,34167.738118608104
105,329282.9103647756
106,1183366.0541838603
107,375795.74816621275
108,40719.90683492908
